vervallenConcept,vervallenConceptName
http://digitalbuildingdata.tech/nlcs/def/de649dae-e46b-4862-8756-aa4b5f1b9fec,V-SVW-MARKERING_STREEP_030270_010
http://digitalbuildingdata.tech/nlcs/def/c20dfe34-17d2-4c60-9268-8edd78451117,WARMTENET_TRANSPORTLEIDING_AANVOER_PVC
http://digitalbuildingdata.tech/nlcs/def/04424bf5-a676-4344-aba3-fd51d591cf14,WARMTENET_TRANSPORTLEIDING_AANVOER
http://digitalbuildingdata.tech/nlcs/def/12b68f19-3744-40a6-b268-4a240299b946,V-SIE-WEG_PARKEERMAATREGEL_HUNNENBED
http://digitalbuildingdata.tech/nlcs/def/d6f351bc-5857-4aaa-94ec-a78fe6ecaf73,SMO-BODEM
http://digitalbuildingdata.tech/nlcs/def/2e36cbd5-0cc4-4608-982e-cd10a0d56a56,SIE-WATER
http://digitalbuildingdata.tech/nlcs/def/06e1c7a3-8947-4e9c-9a9a-0155cf50235e,WARMTENET_TRANSPORTLEIDING
http://digitalbuildingdata.tech/nlcs/def/f02dd52d-f522-4849-afac-1af0a1d69124,RIET
http://digitalbuildingdata.tech/nlcs/def/57c72f17-2948-4939-ab28-8521cdf26494,V-SVH-SPECIAAL_OVERIG_LANGSHOUT_KL-SO
http://digitalbuildingdata.tech/nlcs/def/6caf86a8-247b-44bc-a90b-aedc1e05787a,SVW-MARKERING_STREEP_050050_010
http://digitalbuildingdata.tech/nlcs/def/ebfd048b-dc8d-4408-82b0-d8bc38b93fb3,V-SVW-MARKERING_STREEP_050050_010
http://digitalbuildingdata.tech/nlcs/def/0ff22af6-d79b-424c-8cde-3755759a4cac,SVH-KANTOPSLUITING_GELEIDEBAND_3740-D
http://digitalbuildingdata.tech/nlcs/def/f0a59d97-2882-443f-b7fe-e7dc84fdef1a,V-SIE-WEG_PARKEERMAATREGEL_BETONBOL_PYRAMIDE
http://digitalbuildingdata.tech/nlcs/def/2bcb92c1-58dc-446f-8332-325cfb27bc38,KOUDENET_TRANSPORTLEIDING_RETOUR_GVK
http://digitalbuildingdata.tech/nlcs/def/f581e61d-fde4-4b69-bae7-56b1e834a802,KOUDENET_TRANSPORTLEIDING_RETOUR
http://digitalbuildingdata.tech/nlcs/def/6d7d5df0-68a5-4fb5-8b7c-db7079874ca7,SKL-POLLER
http://digitalbuildingdata.tech/nlcs/def/91665b93-ba62-4d3d-941e-49273b3ad8ff,POLLER
http://digitalbuildingdata.tech/nlcs/def/ffb15a55-ba87-484e-b95b-3b1d7847e585,B-SVH-KANTOPSLUITING_GAZONBAND_200X150-D
http://digitalbuildingdata.tech/nlcs/def/36b217ce-b8c0-4064-a4f6-66b6c3cfa966,KOUDENET_HULPSTUK_AFSLUITER
http://digitalbuildingdata.tech/nlcs/def/38873947-1fe9-4806-9f12-05b4fdb5288f,KISTDAM_TWAND
http://digitalbuildingdata.tech/nlcs/def/0c58f9d9-7519-4130-83d4-d31b680d3f4b,KISTDAM
http://digitalbuildingdata.tech/nlcs/def/798e931a-1724-4873-bb90-15a8e21597f3,RI-AANSLUITLEIDING-SO
http://digitalbuildingdata.tech/nlcs/def/675b7430-1dc2-4491-b8b3-7482e753efb9,V-RI-AANSLUITLEIDING-SO
http://digitalbuildingdata.tech/nlcs/def/cb7f6506-35d7-4687-acdc-b492709fd1ee,VH-ASFALTBAND-SO
http://digitalbuildingdata.tech/nlcs/def/9fbb9d62-fc3f-49f5-a5a2-13d7df7763f9,SGR-GROND
http://digitalbuildingdata.tech/nlcs/def/f92d7a54-2b8c-460c-8b76-e260c21fffda,AGR-GROND
http://digitalbuildingdata.tech/nlcs/def/4adc70ac-7d8b-4385-ba2c-616b457220ad,GROND
http://digitalbuildingdata.tech/nlcs/def/53b66705-4ca0-4bcd-a1c2-953f772da78d,SVH-TEGEL_400X400_LINT_STIP_KL-SO
http://digitalbuildingdata.tech/nlcs/def/c327d7be-cd87-4bdd-8af8-278d335205ec,V-SVH-TEGEL_400X400_HALFST_STREEP-SO
http://digitalbuildingdata.tech/nlcs/def/fac8adfc-f7fa-4ff2-8d54-5503196de3fa,GRENS_RAMING
http://digitalbuildingdata.tech/nlcs/def/66b5d707-7f06-474a-96e0-aa3448be350a,VERKEERSTEKEN_BORD
http://digitalbuildingdata.tech/nlcs/def/d443239b-2a1e-4538-9cef-5706d5b512c5,SFC-PAAL
http://digitalbuildingdata.tech/nlcs/def/0f9cab33-ed81-49b2-88be-7b32e5d895f0,SGR-CONIFEER
http://digitalbuildingdata.tech/nlcs/def/4d6ba7c2-f316-4adc-b5ad-fa0590da00c8,SVH-SPECIAAL_OVERIG_01_KL-SO
http://digitalbuildingdata.tech/nlcs/def/b8e0f808-b139-4684-8856-526b52b4f506,KANTOPSLUITING_PLATEAUBAND-OPNIEUW STELLEN
http://digitalbuildingdata.tech/nlcs/def/f2c1c978-a349-4366-a923-708aabcdf409,DIJK_TALUD
http://digitalbuildingdata.tech/nlcs/def/2fd4a641-e684-4835-8b08-a797ffa8c6df,KANTOPSLUITING_RIJWIELPADBAND_410X250
http://digitalbuildingdata.tech/nlcs/def/e4d1dc1c-77c2-4d10-a062-95fc1bf6a19d,TEELGROND
http://digitalbuildingdata.tech/nlcs/def/2326b9ca-ee89-4114-b6b9-43fa6b047acd,SGR-TEELGROND
http://digitalbuildingdata.tech/nlcs/def/4c3a6f91-39cf-48d6-85ca-b1a11e9575ce,AGR-TEELGROND
http://digitalbuildingdata.tech/nlcs/def/c7525a4e-16a4-4517-94e4-30b2b3131d21,V-SVH-TEGEL_300X150_DIK_LINT_STIP_KL-SO
http://digitalbuildingdata.tech/nlcs/def/f11fce00-d40d-4bd5-9426-ddf3b5dca6d4,V-SVH-SPECIAAL_OVERIG_TRANENPLAAT_01-SO
http://digitalbuildingdata.tech/nlcs/def/4199a73b-9fdf-4186-bd54-31552c4cc1fc,SVH-TEGEL_300X300_DIK_HALFST_STIP-SO
http://digitalbuildingdata.tech/nlcs/def/58d10126-3943-4e87-a7e2-ce6fb020c5e3,KOUDENET_TRANSPORTLEIDING_AANVOER
http://digitalbuildingdata.tech/nlcs/def/efcef735-d613-4b82-9d58-43ebe180e8aa,KOUDENET_TRANSPORTLEIDING
http://digitalbuildingdata.tech/nlcs/def/2b8e0ef6-3d12-48b9-8c44-08dca54a5f0c,SGR-BLOEMBAK
http://digitalbuildingdata.tech/nlcs/def/fb6c991e-855b-41ab-a5be-80b9e35e1bfa,BLOEMBAK
http://digitalbuildingdata.tech/nlcs/def/0fe4b572-e84d-4ff8-927d-84b96c7030d4,AVH-GRAS
http://digitalbuildingdata.tech/nlcs/def/1e9b0da7-2fd4-42c1-b970-7eb197991852,WARMTENET_HULPSTUK_AFSLUITER
