objectURI,id_nummer,oudLaagnaam,nieuweLaagnaam
http://digitalbuildingdata.tech/nlcs/def/3432f856-4149-4cf1-9f4c-9840b8ccf02e,2405,*_**_VH_KANTOPSLUITING_OPSLUITBAND_150X250-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_OPSLUITBAND_150X250
http://digitalbuildingdata.tech/nlcs/def/074420f4-e875-4aab-b86a-bfd5aabc3349,2402,*_**_VH_KANTOPSLUITING_OPSLUITBAND_100X300-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_OPSLUITBAND_100X300
http://digitalbuildingdata.tech/nlcs/def/43a6d875-2433-4381-8f52-ca7edb66d66a,2400,*_**_VH_KANTOPSLUITING_OPSLUITBAND_80X200-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_OPSLUITBAND_80X200
http://digitalbuildingdata.tech/nlcs/def/127c61e0-f7da-42c5-8a9b-b24204c06496,2398,*_**_VH_KANTOPSLUITING_OPSLUITBAND_60X150-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_OPSLUITBAND_60X150
http://digitalbuildingdata.tech/nlcs/def/c5bd0fc2-61a6-45ae-b7bd-2e5d3dcdf8a8,2427,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_160X200-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_160X200
http://digitalbuildingdata.tech/nlcs/def/03d9d400-be73-4374-9ed2-9ea7a8186044,2431,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_470X500-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_470X500
http://digitalbuildingdata.tech/nlcs/def/1a64eff2-54e3-4826-a407-45419ea9e43c,2429,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_220X440-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_220X440
http://digitalbuildingdata.tech/nlcs/def/f8790cae-c62d-4280-975c-db1fb4915c75,2430,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_360X400-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_360X400
http://digitalbuildingdata.tech/nlcs/def/2aabe984-1508-40c7-96e9-129702cf27e2,2425,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_120X350-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_120X350
http://digitalbuildingdata.tech/nlcs/def/1135bb52-0cfd-4d98-b652-686d1aea4967,2423,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_100X300-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_100X300
http://digitalbuildingdata.tech/nlcs/def/a8e80f4c-e78b-4c09-ac19-95b726bdbe5e,2426,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_150X390-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_SCHEIDINGSBAND_150X390
http://digitalbuildingdata.tech/nlcs/def/a050533e-014d-41ce-b94d-13d4e6870bfe,2380,*_**_VH_KANTOPSLUITING_GAZONBAND_100X200-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_GAZONBAND_100X200
http://digitalbuildingdata.tech/nlcs/def/89314b30-e6ad-4a27-bd3f-897ad3e06429,2379,*_**_VH_KANTOPSLUITING_GAZONBAND_80X200-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_GAZONBAND_80X200
http://digitalbuildingdata.tech/nlcs/def/de054900-1d94-4580-a8a3-20adc7e5e2bf,2383,*_**_VH_KANTOPSLUITING_GAZONBAND_120X250-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_GAZONBAND_120X250
http://digitalbuildingdata.tech/nlcs/def/88f836aa-4748-4887-8714-45f940d91fa8,2384,*_**_VH_KANTOPSLUITING_GAZONBAND_150X400-OPNIEUW STELLEN,*_**_VH_KANTOPSLUITING_GAZONBAND_150X400
http://digitalbuildingdata.tech/nlcs/def/ab64a3e3-a633-4a16-bfe0-5940ddf3b6b5,2352,*_**_VH_GOOT_BETON_PREFAB-OPNIEUW STELLEN,*_**_VH_GOOT_BETON_PREFAB
http://digitalbuildingdata.tech/nlcs/def/963342b8-555b-43ab-a107-277769c32915,2351,*_**_VH_GOOT_BETON_GESTORT-OPNIEUW STELLEN,*_**_VH_GOOT_BETON_GESTORT
http://digitalbuildingdata.tech/nlcs/def/a48b9613-33f9-40b7-8a0d-a4666e4e0644,2354,*_**_VH_GOOT_BSS_ACHTERKANT-OPNIEUW STELLEN,*_**_VH_GOOT_BSS_ACHTERKANT
http://digitalbuildingdata.tech/nlcs/def/f7644952-80d2-4953-900f-01e4387c2ee6,2355,*_**_VH_GOOT_BSS_VOORKANT-OPNIEUW STELLEN,*_**_VH_GOOT_BSS_VOORKANT
http://digitalbuildingdata.tech/nlcs/def/1428abb9-16e1-4b0d-b085-029207c6242a,2358,*_**_VH_GOOT_STRAATBAKSTEEN_VOORKANT-OPNIEUW STELLEN,*_**_VH_GOOT_STRAATBAKSTEEN_VOORKANT
http://digitalbuildingdata.tech/nlcs/def/fc9aacea-dea3-48c7-9bcb-d29816d1f8c8,2357,*_**_VH_GOOT_STRAATBAKSTEEN_ACHTERKANT-OPNIEUW STELLEN,*_**_VH_GOOT_STRAATBAKSTEEN_ACHTERKANT
http://digitalbuildingdata.tech/nlcs/def/5c221572-c204-4078-b8ca-5b9acc410ca7,2501,*_**_VH_FUNDERING_SLAKKEN_AVI-OPNIEUW STELLEN,*_**_VH_FUNDERING_SLAKKEN_AVI
http://digitalbuildingdata.tech/nlcs/def/aacf0e08-edde-4f67-b542-48fc95dfbcab,2502,*_**_VH_FUNDERING_SLAKKEN_HOOGOVEN-OPNIEUW STELLEN,*_**_VH_FUNDERING_SLAKKEN_HOOGOVEN
http://digitalbuildingdata.tech/nlcs/def/bf482544-ee0a-488d-b6ad-0b42b0e4e884,2497,*_**_VH_FUNDERING_GRANULAAT_MENG-OPNIEUW STELLEN,*_**_VH_FUNDERING_GRANULAAT_MENG
http://digitalbuildingdata.tech/nlcs/def/cfba6666-b9fb-45ef-8107-833732cd50cb,2496,*_**_VH_FUNDERING_GRANULAAT_BETON-OPNIEUW STELLEN,*_**_VH_FUNDERING_GRANULAAT_BETON
http://digitalbuildingdata.tech/nlcs/def/d3da9eed-f719-49b3-81d0-d7acb0f65c25,2943,*_**_VH_GESLOTENVERHARDING_ASFALT_SLIJTLAAG_ROOD-OPNIEUW STELLEN,*_**_VH_GESLOTENVERHARDING_ASFALT_SLIJTLAAG_ROOD
http://digitalbuildingdata.tech/nlcs/def/38ad4fbc-3371-41f8-bbda-9a1b8a08cfff,3012,*_**_VH_GESLOTENVERHARDING_ASFALT_ONDERLAAG_1-OPNIEUW STELLEN,*_**_VH_GESLOTENVERHARDING_ASFALT_ONDERLAAG_1
http://digitalbuildingdata.tech/nlcs/def/c751b247-f070-455f-8666-836267eff876,3013,*_**_VH_GESLOTENVERHARDING_ASFALT_ONDERLAAG_2-OPNIEUW STELLEN,*_**_VH_GESLOTENVERHARDING_ASFALT_ONDERLAAG_2
