NLCSArcering,id_nummer,oudeNLCSArceringName,nieuweNLCSArceringName
http://digitalbuildingdata.tech/nlcs/def/38d799b9-2719-4d85-9d63-8925229c632d,79,AGW-WERK_ONTGRAVEN-SO,AGW-GRONDWERK_ONTGRAVEN-SO
http://digitalbuildingdata.tech/nlcs/def/5f7c3c9e-37dd-4fb2-b99c-3e7ca3cdc742,127,AVH-BSS_KEIFORMAAT_BLOK_STREEP-SO,AVH-BSS_KEIFORMAAT_BLOK_STR-SO
http://digitalbuildingdata.tech/nlcs/def/5ceef855-b28a-4d5c-9f9b-69f2c2a4e065,247,AVH-TEGEL_600X600_HALFST_STIP-SO,AVH-TEGEL_600X600_HALFST_STP-SO
http://digitalbuildingdata.tech/nlcs/def/86b41a3e-ab02-4c69-9935-cc3fecb90fc6,364,AGW-WERK_AANVULLEN-SOD,AGW-GRONDWERK_AANVULLEN-SOD
http://digitalbuildingdata.tech/nlcs/def/b0335bf3-a64f-4578-8713-2a554c56e710,81,AGW-WERK_ONTGRAVEN_AANVULLEN-SO,AGW-GRONDWERK_ONTGR_AANV-SO
http://digitalbuildingdata.tech/nlcs/def/f4a4a8d6-b791-4b0e-bdbe-125f6ee44bad,184,AVH-NATUURSTEEN_LOSVERBAND_02-SO,AVH-NATUURSTEEN_LOSVERB_02-SO
http://digitalbuildingdata.tech/nlcs/def/16503617-371d-414e-a803-6df529d071da,251,AVH-FUNDERING_ZANDCEMENTSTAB-SOD,AVH-FUNDERING_ZANDCEMENTSTA-SOD
http://digitalbuildingdata.tech/nlcs/def/5101a62a-24c9-4889-a372-c0634ada97e0,342,AVH-TEGEL_600X600_HALFST_STIP,AVH-TEGEL_600X600_HALFST_STP
http://digitalbuildingdata.tech/nlcs/def/b7d15e28-69c2-40c8-9bb0-e842ef3d8c30,133,AVH-BSS_LINGEFORMAAT_ELLEBOOG-SO,AVH-BSS_LINGEFORMAAT_ELLEB-SO
http://digitalbuildingdata.tech/nlcs/def/bf8aad73-335f-4628-a79a-e131b790286b,120,AVH-BETONPLAAT_HALFST-SO,AVH-OPENVERH_BEDRVLR_HALFST-SO
http://digitalbuildingdata.tech/nlcs/def/b40f9980-f3f3-443e-8ae3-b51ba54ac4cc,362,AGW-GROND_ZAND-SOD,AGW-GRONDSOORTEN_ZAND-SOD
http://digitalbuildingdata.tech/nlcs/def/1924435b-d67a-4982-884a-cafc6d15bc56,65,AGW-GROND_ZAND-SO,AGW-GRONDSOORTEN_ZAND-SO
http://digitalbuildingdata.tech/nlcs/def/4d72cdb9-63b4-48f1-aab3-cdecfbf39386,354,AGW-GROND_GRIND-SOD,AGW-GRONDSOORTEN_GRIND-SOD
http://digitalbuildingdata.tech/nlcs/def/2f2f6b66-f355-4b4e-8710-fa7e8c9a086c,67,AGW-GROND_ZAND_CUNETZAND-SOD,AGW-GRONDSOORTEN_ZAND_BED-SOD
http://digitalbuildingdata.tech/nlcs/def/1a7b37a9-4f05-4306-98e8-b5dea381bd0e,153,AVH-FUNDERING_GRANULAAT_BETON-SOD,AVH-FUNDERING_GRAN_BETON-SOD
http://digitalbuildingdata.tech/nlcs/def/e708514a-9aeb-4a92-8088-3993ab0c45e8,74,AGW-GROND_TEELAARDE-SO,AGW-GRONDSOORTEN_TEELGR-SO
http://digitalbuildingdata.tech/nlcs/def/f49d8e43-74d2-4f64-bc9f-cdf78af03e53,73,AGW-GROND_GRIND-SO,AGW-GRONDSOORTEN_GRIND-SO
http://digitalbuildingdata.tech/nlcs/def/1e9adf17-3e5c-4c24-9285-d88a8cc5fba1,68,AGW-GROND_ZAND_DRAINZAND-SOD,AGW-GRONDSOORTEN_ZAND_DRAIN-SOD
http://digitalbuildingdata.tech/nlcs/def/5dd99e90-ad40-4faf-8203-7ee74535f392,360,AGW-GROND_TEELAARDE-SOD,AGW-GRONDSOORTEN_TEELGR-SOD
http://digitalbuildingdata.tech/nlcs/def/102a7d1f-d268-45ff-a147-a3b61cababbd,356,AGW-GROND_KLEI-SOD,AGW-GRONDSOORTEN_KLEI-SOD
http://digitalbuildingdata.tech/nlcs/def/848a23ae-2c16-4ac4-8321-a73a696678d7,70,AGW-GROND_KLEI-SO,AGW-GRONDSOORTEN_KLEI-SO
http://digitalbuildingdata.tech/nlcs/def/3934146b-94eb-45f4-8b08-789936e93a36,71,AGW-GROND_ZAVEL-SO,AGW-GRONDSOORTEN_ZAVEL-SO
http://digitalbuildingdata.tech/nlcs/def/8131c622-a7c5-41ef-8a20-3c1805e8d922,69,AGW-GROND_STABILISATIE-SO,AGW-GRONDSOORTEN_STAB-SO
http://digitalbuildingdata.tech/nlcs/def/d3adadf6-9ac5-4afa-a2f3-52bcc2a66849,78,AGW-GROND_STEEN-SO,AGW-GRONDSOORTEN_STEEN-SO
http://digitalbuildingdata.tech/nlcs/def/a1905644-7eee-4d89-a2af-1fc27d34e4ff,384,AOG-BELEMMERING_LEIDINGSTROOK-SOD,AOG-BELEMMERING_LEIDINGSTR-SOD
http://digitalbuildingdata.tech/nlcs/def/32f3d4a6-b33f-4b9b-adff-dcb04184c21a,272,AOG-BELEMMERING_LEIDINGSTROOK-SO,AOG-BELEMMERING_LEIDINGSTRSO
http://digitalbuildingdata.tech/nlcs/def/35c4c94f-fe90-4806-afa4-7417d024ce6f,363,AGW-GROND_ZAVEL-SOD,AGW-GRONDSOORTEN_ZAVEL-SOD
http://digitalbuildingdata.tech/nlcs/def/f62a4acd-12ed-4731-abea-74b014765197,358,AGW-GROND_STABILISATIE-SOD,AGW-GRONDSOORTEN_STAB-SOD
http://digitalbuildingdata.tech/nlcs/def/e35fa39a-4683-4961-b3a9-0bca27ecfadb,158,AVH-FUNDERING_GRANULAAT_PUIN-SOD,AVH-FUNDERING_GRAN_PUIN-SOD
http://digitalbuildingdata.tech/nlcs/def/483bb6cf-03fd-4c2c-8488-e505ee6b3ea6,254,AGW-GROND_SLIB-SO,AGW-GRONDSOORTEN_SLIB-SO
