"bibliotheek"
"SAL"
"SAM"
"SBC"
"SBV"
"SFC"
"SGC"
"SGR"
"SGW"
"SIE"
"SIW"
"SKG"
"SKL"
"SMO"
"SOG"
"SOV"
"SRI"
"SVH"
"SVV"
"SVW"
"SZZ"
