"FASE","sBIB","SYMBOOL","SYMBOOL_alt","ID","opt","STATUS","VRKL_KORT","VRKL_LANG"
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIE","2169","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1700X500","SVH:V-SVH-DREMPEL_PREFAB_1700X50","2212","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","SVH:T-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHT","2189","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1200","SVH:V-SVH-DREMPEL_PREFAB_2400X120","2221","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X600","SVH:T-SVH-DREMPEL_PREFAB_1750X60","2177","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1700X1000","SVH:V-SVH-DREMPEL_PREFAB_1700X100","2211","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X1200","SVH:V-SVH-DREMPEL_PREFAB_1000X120","2199","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X1200","SVH:T-SVH-DREMPEL_PREFAB_1000X120","2158","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1000","SVH:B-SVH-DREMPEL_PREFAB_1750X100","1135","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X1200","SVH:B-SVH-DREMPEL_PREFAB_1500X120","1129","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1000","SVH:T-SVH-DREMPEL_PREFAB_2400X100","2178","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIE","1142","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1200","SVH:B-SVH-DREMPEL_PREFAB_1750X120","1138","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHTS","SVH:B-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_RECHT","1152","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X1000","SVH:B-SVH-DREMPEL_PREFAB_2400X100","1141","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1000_LINKS","SVH:V-SVH-DREMPEL_PREFAB_1750X1000_LINK","2214","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIE","2179","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_4000X1000","SVH:T-SVH-DREMPEL_PREFAB_4000X100","2192","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_RECHTS","SVH:V-SVH-DREMPEL_PREFAB_2400X750_RECHT","2228","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIE","2222","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIE","2206","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIE","2202","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_4000X1000","SVH:B-SVH-DREMPEL_PREFAB_4000X100","1155","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIE","2161","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_BUS_LINKS","SVH:V-SVH-DREMPEL_PREFAB_BUS_LINK","2238","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIE","1132","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1000","SVH:T-SVH-DREMPEL_PREFAB_1750X100","2172","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINKS","SVH:V-SVH-DREMPEL_PREFAB_2400X750_RUITPROFIEL_LINK","2229","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIE","2183","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_2400X1200_RUITPROFIE","2181","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIE","2159","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_3000X500","SVH:V-SVH-DREMPEL_PREFAB_3000X50","2232","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1500X1200","SVH:T-SVH-DREMPEL_PREFAB_1500X120","2166","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1750X1000_RECHTS","SVH:T-SVH-DREMPEL_PREFAB_1750X1000_RECHT","2174","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_GUMACON","SVH:T-SVH-DREMPEL_PREFAB_GUMACO","3353","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIE","2185","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_GUMACON","SVH:V-SVH-DREMPEL_PREFAB_GUMACO","3260","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_3000X1000","SVH:T-SVH-DREMPEL_PREFAB_3000X100","2190","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIE","1128","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_900X500","SVH:B-SVH-DREMPEL_PREFAB_900X50","1158","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_BUS_RECHTS","SVH:B-SVH-DREMPEL_PREFAB_BUS_RECHT","1161","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X500","SVH:B-SVH-DREMPEL_PREFAB_2400X50","1145","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_2400X600","SVH:B-SVH-DREMPEL_PREFAB_2400X60","1147","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X500","SVH:V-SVH-DREMPEL_PREFAB_1200X50","2205","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIEL","SVH:T-SVH-DREMPEL_PREFAB_1200X500_RUITPROFIE","2165","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_BUS","SVH:B-SVH-DREMPEL_PREFAB_BU","1159","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1000","SVH:V-SVH-DREMPEL_PREFAB_1750X100","2213","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X600","SVH:B-SVH-DREMPEL_PREFAB_1000X60","1123","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_1500X600_RUITPROFIE","2210","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIE","2200","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_1700X500","SVH:T-SVH-DREMPEL_PREFAB_1700X50","2171","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_4200X1000","SVH:B-SVH-DREMPEL_PREFAB_4200X100","1157","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X500","SVH:B-SVH-DREMPEL_PREFAB_1750X50","1139","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_3000X1000","SVH:B-SVH-DREMPEL_PREFAB_3000X100","1153","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_900X500","SVH:V-SVH-DREMPEL_PREFAB_900X50","2236","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1200X1000","SVH:V-SVH-DREMPEL_PREFAB_1200X100","2203","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X600","SVH:T-SVH-DREMPEL_PREFAB_2400X60","2184","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1700X1000","SVH:B-SVH-DREMPEL_PREFAB_1700X100","1133","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1750X1000_LINKS","SVH:B-SVH-DREMPEL_PREFAB_1750X1000_LINK","1136","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_BUS","SVH:V-SVH-DREMPEL_PREFAB_BU","2237","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_2400X750_RECHTS","SVH:T-SVH-DREMPEL_PREFAB_2400X750_RECHT","2187","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1000X600","SVH:V-SVH-DREMPEL_PREFAB_1000X60","2201","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1500X600","SVH:V-SVH-DREMPEL_PREFAB_1500X60","2209","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_3000X500","SVH:B-SVH-DREMPEL_PREFAB_3000X50","1154","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X1200","SVH:V-SVH-DREMPEL_PREFAB_1750X120","2216","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_2400X600_RUITPROFIE","2226","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_2400X500_RUITPROFIE","2224","","*","",""
"T","SVH","T-SVH-DREMPEL_PREFAB_900X500","SVH:T-SVH-DREMPEL_PREFAB_900X50","2195","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1700X500","SVH:B-SVH-DREMPEL_PREFAB_1700X50","1134","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X600","SVH:V-SVH-DREMPEL_PREFAB_1750X60","2218","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_1200X1000_RUITPROFIE","1126","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X1000","SVH:B-SVH-DREMPEL_PREFAB_1200X100","1125","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_1750X500","SVH:V-SVH-DREMPEL_PREFAB_1750X50","2217","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X500","SVH:V-SVH-DREMPEL_PREFAB_2400X50","2223","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X1200","SVH:B-SVH-DREMPEL_PREFAB_1000X120","1121","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_BUS_LINKS","SVH:B-SVH-DREMPEL_PREFAB_BUS_LINK","1160","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIEL","SVH:V-SVH-DREMPEL_PREFAB_2400X1000_RUITPROFIE","2220","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1200X500","SVH:B-SVH-DREMPEL_PREFAB_1200X50","1127","","*","",""
"V","SVH","V-SVH-DREMPEL_PREFAB_4200X1000","SVH:V-SVH-DREMPEL_PREFAB_4200X100","2235","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_1000X600_RUITPROFIE","1124","","*","",""
"B","SVH","B-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIEL","SVH:B-SVH-DREMPEL_PREFAB_1000X1200_RUITPROFIE","1122","","*","",""
"","SVH","SVH-SIERBESTRATING_02-SO","SVH:SVH-SIERBESTRATING_02","1334","SO","*","",""
"V","SVH","V-SVH-SIERBESTRATING_01_KL-SO","SVH:V-SVH-SIERBESTRATING_01_KL","4037","SO","*","",""
"V","SVH","V-SVH-SIERBESTRATING_01-SO","SVH:V-SVH-SIERBESTRATING_01","1493","SO","*","",""
"V","SVH","V-SVH-SIERBESTRATING_02-SO","SVH:V-SVH-SIERBESTRATING_02","1494","SO","*","",""
"V","SVH","V-SVH-SIERBESTRATING_02_KL-SO","SVH:V-SVH-SIERBESTRATING_02_KL","4038","SO","*","",""
"","SVH","SVH-SIERBESTRATING_02_KL-SO","SVH:SVH-SIERBESTRATING_02_KL","3938","SO","*","",""
"","SVH","SVH-SIERBESTRATING_01-SO","SVH:SVH-SIERBESTRATING_01","1333","SO","*","",""
"","SVH","SVH-SIERBESTRATING_01_KL-SO","SVH:SVH-SIERBESTRATING_01_KL","3937","SO","*","",""
"","SVH","SVH-KANTOPSLUITING_RIJWIELPADBAND_120X250-D","SVH:SVH-KANTOPSLUITING_RIJWIELPADBAND_120X250","2399","D","*","",""
"","SVH","SVH-KANTOPSLUITING_OPSLUITBAND_60X150-D","SVH:SVH-KANTOPSLUITING_OPSLUITBAND_60X150","2381","D","*","",""
"B","SVH","B-SVH-KANTOPSLUITING_AMSTELBAND_200X360-D","SVH:B-SVH-KANTOPSLUITING_AMSTELBAND_200X360","2515","D","*","",""
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_3740-D","SVH:SVH-KANTOPSLUITING_GELEIDEBAND_3740","2355","D","*","",""
"","SVH","SVH-KANTOPSLUITING_GELEIDEBAND_ZOABBAND_50_200X200-D","SVH:SVH-KANTOPSLUITING_GELEIDEBAND_ZOABBAND_50_200X200","2423","D","*","",""
