"lijnkleurURI,""id"",""fase"",""nummer"",""hex"",""R"",""G"",""B"",""optie"""
"http://digitalbuildingdata.tech/nlcs/def/3a311901-0add-4f92-b722-88821a52a1f3,""137"",""17"",""37"",""#685645"",""104"",""86"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/fef107f5-5373-453c-8621-2839dce5ab6f,""138"",""18"",""38"",""#4F2700"",""79"",""39"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/127d2ae4-0a6d-4295-a481-8d9cade84160,""139"",""19"",""39"",""#4F4235"",""79"",""66"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/3e9559db-2be5-4d36-a244-a0e9617e067e,""140"",""10"",""40"",""#FFBF00"",""255"",""191"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/132d9f7b-5006-418a-9f1b-141fa4efe2c8,""141"",""11"",""41"",""#FFEAAA"",""255"",""234"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/a5d76900-7a92-49c3-b791-333ba1097006,""142"",""12"",""42"",""#BD8D00"",""189"",""141"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/1adda556-e373-4b72-9d42-4be4bdcc0c32,""143"",""13"",""43"",""#BDAD7E"",""189"",""173"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/b2e1e61b-141b-4e12-b9e0-cd6228f759ae,""144"",""14"",""44"",""#816000"",""129"",""96"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/a333bc0c-8f6c-4dd1-bd0b-20a2be181e3b,""145"",""15"",""45"",""#817656"",""129"",""118"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/1acd9c0a-4f81-429f-8886-c2442ca6fcbd,""146"",""16"",""46"",""#684E00"",""104"",""78"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/dfffd6ce-221d-4d4d-8af4-a378d76f7a23,""147"",""17"",""47"",""#685F45"",""104"",""95"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/373c98a9-5364-46fc-9fd2-8982642ec177,""148"",""18"",""48"",""#4F3B00"",""79"",""59"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/23435c45-8a81-48cd-86ca-0dd6085f4251,""149"",""19"",""49"",""#4F4935"",""79"",""73"",""53"","""""
"http://digitalbuildingdata.tech/nlcs/def/24cf97b2-f40a-40e4-958a-86f4a3494ff0,""150"",""10"",""50"",""#FFFF00"",""255"",""255"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/5587bfb3-537a-478f-ac8b-cb43263de997,""151"",""11"",""51"",""#FFFFAA"",""255"",""255"",""170"","""""
"http://digitalbuildingdata.tech/nlcs/def/ff2f21fd-b873-49a5-b2e4-3445e7c18f1b,""152"",""12"",""52"",""#BDBD00"",""189"",""189"",""0"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/5888b14c-c7d0-4241-8208-f96be2030d86,""153"",""13"",""53"",""#BDBD7E"",""189"",""189"",""126"","""""
"http://digitalbuildingdata.tech/nlcs/def/995aded7-87c3-4bbb-bc1f-87a56424f6fa,""154"",""14"",""54"",""#818100"",""129"",""129"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/960ee8c8-5f93-4560-89f5-967d8eb37c59,""155"",""15"",""55"",""#818156"",""129"",""129"",""86"","""""
"http://digitalbuildingdata.tech/nlcs/def/9f0079ec-a8ff-46cb-b686-c1b71f709f78,""156"",""16"",""56"",""#686800"",""104"",""104"",""0"","""""
"http://digitalbuildingdata.tech/nlcs/def/7b7d6c60-7960-4fcf-9d50-3ca354be1a71,""157"",""17"",""57"",""#686845"",""104"",""104"",""69"","""""
"http://digitalbuildingdata.tech/nlcs/def/1a06e2fb-198d-432d-b41d-bd553200001b,""158"",""18"",""58"",""#4F4F00"",""79"",""79"",""0"","""""
