"mappingElement,""gwswStelselType"",""gwswType"",""nlcsObject"",""nlcsObjectName"",""nlcsSymbool"",""nlcsSymbolName"""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/1bd8852e-abbb-4c37-8aca-aae20935db3d,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/LozePut"",""http://digitalbuildingdata.tech/nlcs/def/380bd8b3-4589-470d-827b-5233d826c511"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/364e311d-0f90-4e6a-83dd-808bfadba8e0,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Parallelriool"",""http://digitalbuildingdata.tech/nlcs/def/412c49b3-657f-44ec-8ea3-1ac29f1d1f43"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/45e8cf60-49dc-47ab-90ed-76c63e3ee074,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Weesleiding"",""http://digitalbuildingdata.tech/nlcs/def/97a7b1fb-80d4-4bc8-afe1-1d03e03971f2"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/c9a5c69f-fbad-416b-8f3b-97a574e84a53,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Bergingsleiding"",""http://digitalbuildingdata.tech/nlcs/def/f89d386f-715a-4ef8-a4f7-7c18370d8013"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/58420419-4e1a-456c-8be1-e1fcb689973f,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/GecombineerdeStraat_trottoirkolk"",""http://digitalbuildingdata.tech/nlcs/def/d8482699-382b-4ce3-bf62-2fba2eff15e7"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/98e245f6-c09f-47a1-bbbb-375599427383,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Spoelleiding"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/b5d580fc-d28a-49f5-b1df-a33d2c5a27b9,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Overnamepunt"",""http://digitalbuildingdata.tech/nlcs/def/4a4e0491-d0ae-4fec-9b8d-32835ebe6b36"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/f3ee35ab-f533-4a64-b7b8-eaab014fbd8d,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/ExterneOverstortput"",""http://digitalbuildingdata.tech/nlcs/def/1020990c-b0da-46bb-9db0-2e5d44a86863"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/813adb50-0b94-471b-83a6-a01f9c3d638e,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Straatkolk"",""http://digitalbuildingdata.tech/nlcs/def/8bbcc643-6f54-4259-adbc-7a751c5cdceb"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/71950d38-a607-4f95-b6b9-b6f062b3d604,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Tandemriool"",""http://digitalbuildingdata.tech/nlcs/def/a8301102-38cf-4e59-9b7f-5bd2a2945190"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/13dfac87-83d4-49b5-bc8c-bf8ac6d5867f,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Leidingsegment"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/308c44d4-a176-40bb-ae6d-aff602c445d6,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/VolgeschuimdeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/3536fa6c-191c-48cd-95fc-1f6e3d2020a5"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/cfb0bca0-3ec3-46d0-88fd-9c7e7b89db6d,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Overnamepunt"",""http://digitalbuildingdata.tech/nlcs/def/5907c42e-e386-4162-a216-1cbe71218422"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/6d5b5185-24c1-45a1-a53a-7c5d12c5ba73,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Vacuumopslagtank"",""http://digitalbuildingdata.tech/nlcs/def/6b665b51-9f38-4feb-a7b6-2861d20ed0bb"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/754efd2c-b93c-4cb0-881c-dbcfd0ff955b,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Goot"",""http://digitalbuildingdata.tech/nlcs/def/ed616b3c-7364-4411-9691-1a798edff003"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/39c185e7-7593-4027-8836-dd963e89c221,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Opvangput"",""http://digitalbuildingdata.tech/nlcs/def/aa138c2e-57de-464b-aa2b-308bcd859490"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/beb22a9b-9791-4da3-971f-ed6084f4e776,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/Molgoot"",""http://digitalbuildingdata.tech/nlcs/def/11518b76-884e-4d89-afce-f0b4f4becc62"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/34fa9467-fa84-4589-904d-6687feee8497,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Pompunit"",""http://digitalbuildingdata.tech/nlcs/def/2d595f46-da4d-4a8e-affb-76f1b4f1a22d"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/0e45fb91-d236-4df2-a34d-08a0f35d8a40,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Molgoot"",""http://digitalbuildingdata.tech/nlcs/def/11518b76-884e-4d89-afce-f0b4f4becc62"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/db1a5c5c-1667-49bf-80db-0abf0099703e,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Trottoirkolk"",""http://digitalbuildingdata.tech/nlcs/def/7ec83c33-424b-4c2b-a169-29a30e970985"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/f3aad943-7864-4de9-acee-6ec08a3cd493,""http://data.gwsw.nl/1.6/totaal/GemengdStelsel"",""http://data.gwsw.nl/1.6/totaal/Lozingsput"",""http://digitalbuildingdata.tech/nlcs/def/9add9832-b70f-4a3b-9f62-fd6c9aead3d1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/a3fc2750-dcaa-4222-8f57-6f0451396a14,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/VolgeschuimdeLeiding"",""http://digitalbuildingdata.tech/nlcs/def/a2301eca-5138-4340-9ddb-1b1754012340"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/9471fcb4-34b7-4fcc-92e7-8d049840a4ea,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Perceelaansluitleiding"",""http://digitalbuildingdata.tech/nlcs/def/c3c149c7-6eb4-42cd-8848-5451260c835b"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/b8f145c3-eb94-45b8-8118-970febed1a5e,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/Slokop"",""http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/d39e855c-6d18-4954-8644-31aba6bd34f4,""http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Pompput"",""http://digitalbuildingdata.tech/nlcs/def/872245fa-fff3-4f46-9ed9-359b56acc95b"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/192d390a-0da8-4996-aca9-e83dde6d95cc,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Overstortleiding"",""http://digitalbuildingdata.tech/nlcs/def/eae469bd-5c9b-449c-a5fd-c31f1136a0df"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/650bee0a-46b6-49a2-a154-6430bb1156ec,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/Ontlastput"",""http://digitalbuildingdata.tech/nlcs/def/f19102cc-19ee-4726-bd16-b9afb6d2abd1"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/d391ffdf-fa39-4d91-bdf5-10bb782ac275,""http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel"",""http://data.gwsw.nl/1.6/totaal/Persleiding"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/8add4b05-6ff2-4ec8-8e41-d74ecfe7dfc2,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/VerdektePut"",""http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/b4639e1c-6182-4a85-9a3e-3203b0ae68c1,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Transportrioolleiding"",""http://digitalbuildingdata.tech/nlcs/def/705a8d37-14d4-4320-9036-1a1d8b77db14"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/d2d81f76-65e5-497d-bef5-c544589b7c33,""http://data.gwsw.nl/1.6/totaal/Duikerstelsel"",""http://data.gwsw.nl/1.6/totaal/Werveloverstortput"",""http://digitalbuildingdata.tech/nlcs/def/6f8537d3-442e-4f76-b217-98604636609e"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/a344b20f-d247-4a60-8967-3d197bfb12e5,""http://data.gwsw.nl/1.6/totaal/Infiltratiestelsel"",""http://data.gwsw.nl/1.6/totaal/Perceelaansluitleiding"",""http://digitalbuildingdata.tech/nlcs/def/2ecc5ff2-6512-44d4-8a34-4497009550a4"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/826515a1-2932-474d-91ce-bf6f03bea782,""http://data.gwsw.nl/1.6/totaal/Drainagestelsel"",""http://data.gwsw.nl/1.6/totaal/VrijvervalLeidingsegment"",""http://digitalbuildingdata.tech/nlcs/def/412c49b3-657f-44ec-8ea3-1ac29f1d1f43"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/71d39467-ad7b-4d0d-91f1-0a1539d1f877,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Zandvangput"",""http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76"","""","""","""""
"http://digitalbuildingdata.tech/nlcs-gwsw/def/e03e76f6-eec3-4779-b115-fc7220a8d89f,""http://data.gwsw.nl/1.6/totaal/Persleidingsysteem"",""http://data.gwsw.nl/1.6/totaal/Wervelput"",""http://digitalbuildingdata.tech/nlcs/def/cc878310-5886-4dab-9a5b-914812cf2c76"","""","""","""""
