GR-GRoen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN
BEPLANTING_CULTUUR_WISSELPERK;*;-;**;-;GR;-;BEPLANTING;_;CULTUUR;_;WISSELPERK;;;;;;;;;-;G/A/S;;;AGR:AGR-WISSELBEPLANTING;SGR:SGR-WISSELBEPLANTING;*-**-GR-BEPLANTING_CULTUUR_WISSELPERK-G/A/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2894;2886
BEPLANTING_NATUUR;*;-;**;-;GR;-;BEPLANTING;_;NATUUR;;;;;;;;;;;-;G/A/S;;;AGR:AGR-BEPLANTING;SGR:SGR-BEPLANTING;*-**-GR-BEPLANTING_NATUUR-G/A/S;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2896;2885
BEPLANTING_NATUUR_BOS;*;-;**;-;GR;-;BEPLANTING;_;NATUUR;_;BOS;;;;;;;;;-;G;;;;;*-**-GR-BEPLANTING_NATUUR_BOS-G;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;3.1;;NIEUW;2898;2896
BEPLANTING_NATUUR_BOSPLANTSOEN;*;-;**;-;GR;-;BEPLANTING;_;NATUUR;_;BOSPLANTSOEN;;;;;;;;;-;G/A/S;;;AGR:AGR-BOSPLANTSOEN;SGR:SGR-BOSPLANTSOEN;*-**-GR-BEPLANTING_NATUUR_BOSPLANTSOEN-G/A/S;0.18;90;92;90;90;253;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;0.35;90;92;90;90;253;V-GR-PLANTSOEN-SO;0.35;90;92;90;90;253;GR-PLANTSOEN-SO;;;3.1;;NIEUW;2897;2896
BLOEMBAK;*;-;**;-;GR;-;BLOEMBAK;;;;;;;;;;;;;-;G/S;;;;SGR:SGR-BLOEMBAK;*-**-GR-BLOEMBAK-G/S;0.13;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.35;80;82;80;80;253;CONTINUOUS;;;4.2;;NIEUW;3502;0
BOLLEN;*;-;**;-;GR;-;BOLLEN;;;;;;;;;;;;;-;G/A/S;;;AGR:AGR-BOLLEN;SGR:SGR-BOLLEN;*-**-GR-BOLLEN-G/A/S;0.13;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;2.4;;;396;0
BOMENGROND;*;-;**;-;GR;-;BOMENGROND;;;;;;;;;;;;;-;G/A/S;;;AGR:AGR-BOMENGROND;SGR:SGR-BOMENGROND;*-**-GR-BOMENGROND-G/A/S;0.13;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;V-CONTINUOUS-SO;0.35;30;32;30;30;253;CONTINUOUS;;;2.4;;;365;0
BOMENRIJ;*;-;**;-;GR;-;BOMENRIJ;;;;;;;;;;;;;-;G/S;;;;SGR:SGR-BOMENRIJ;*-**-GR-BOMENRIJ-G/S;0.13;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;CONTINUOUS;0.35;80;82;80;80;253;V-CONTINUOUS-SO;0.35;80;82;80;80;253;CONTINUOUS;;;4.1;;NIEUW;3384;0
BOMENZAND;*;-;**;-;GR;-;BOMENZAND;;;;;;;;;;;;;-;G/A/S;;;AGR:AGR-BOMENZAND;SGR:SGR-BOMENZAND;*-**-GR-BOMENZAND-G/A/S;0.13;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;V-CONTINUOUS-SO;0.35;30;32;30;30;253;CONTINUOUS;;;2.3;;;366;0
BOOM;*;-;**;-;GR;-;BOOM;;;;;;;;;;;;;-;G/S;;;;SGR:SGR-BOOM;*-**-GR-BOOM-G/S;0.13;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;4.2;4.2: Symboolveld gewijzigd;GEWIJZIGD;360;0
