OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
BETONVORM_VSP,*,-,**,-,BC,-,BETONVORM,_,VSP,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_VSP-G,0.18,50,252,90,10,254,CONTINUOUS,0.25,50,254,90,10,254,CONTINUOUS,0.25,50,252,90,10,254,V-CONTINUOUS-SO,0.25,50,252,90,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2715,2712
BETONVORM_VSP_PREFAB,*,-,**,-,BC,-,BETONVORM,_,VSP,_,PREFAB,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_VSP_PREFAB-G,0.18,50,252,90,10,253,CONTINUOUS,0.25,50,254,90,10,253,CONTINUOUS,0.25,50,252,90,10,253,V-CONTINUOUS-SO,0.25,50,252,90,10,253,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2716,2715
BETONVORM_WERKVLOER,*,-,**,-,BC,-,BETONVORM,_,WERKVLOER,,,,,,,,,,,-,G,,,,,*-**-BC-BETONVORM_WERKVLOER-G,0.18,10,252,10,10,254,CONTINUOUS,0.18,10,254,10,10,254,CONTINUOUS,0.18,10,252,10,10,254,V-CONTINUOUS-SO,0.18,10,252,10,10,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2721,2712
DILATATIE,*,-,**,-,BC,-,DILATATIE,,,,,,,,,,,,,-,G,,,,,*-**-BC-DILATATIE-G,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,CONTINUOUS,0.18,7,253,7,20,253,V-CONTINUOUS-SO,0.18,7,253,7,20,253,CONTINUOUS,,,3.2,,NIEUW,3009,0
ITSO,*,-,**,-,BC,-,ITSO,,,,,,,,,,,,,-,G,,,,,*-**-BC-ITSO-G,0.18,30,252,30,30,254,CONTINUOUS,0.18,30,252,30,30,254,CONTINUOUS,0.18,30,252,30,30,254,V-CONTINUOUS-SO,0.18,30,252,30,30,254,CONTINUOUS,,,2.3,,,2725,0
LEVENSDUURVERLENGENDE MAATREGEL,*,-,**,-,BC,-,LEVENSDUURVERLENGENDE MAATREGEL,,,,,,,,,,,,,-,G,,,,,*-**-BC-LEVENSDUURVERLENGENDE MAATREGEL-G,0.18,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,V-CONTINUOUS-SO,0.25,170,172,170,170,253,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2746,0
OPLEGBLOK,*,-,**,-,BC,-,OPLEGBLOK,,,,,,,,,,,,,-,G,,,,,*-**-BC-OPLEGBLOK-G,0.18,30,252,30,30,254,CONTINUOUS,0.18,30,254,30,30,254,CONTINUOUS,0.18,30,252,30,30,254,V-CONTINUOUS-SO,0.18,30,252,30,30,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2726,0
OVERIGMATERIAAL,*,-,**,-,BC,-,OVERIGMATERIAAL,,,,,,,,,,,,,-,G,,,,,*-**-BC-OVERIGMATERIAAL-G,0.18,7,253,7,20,255,CONTINUOUS,0.18,7,253,7,20,255,CONTINUOUS,0.18,7,253,7,20,255,V-CONTINUOUS-SO,0.18,7,253,7,20,255,CONTINUOUS,,,2.3,,,2744,0
REPARATIES,*,-,**,-,BC,-,REPARATIES,,,,,,,,,,,,,-,G,,,,,*-**-BC-REPARATIES-G,0.18,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,CONTINUOUS,0.25,170,172,170,170,253,V-CONTINUOUS-SO,0.25,170,172,170,170,253,CONTINUOUS,,,3.1,Pendiktes,GEWIJZIGD,2745,0
SLOOPLIJN,*,-,**,-,BC,-,SLOOPLIJN,,,,,,,,,,,,,-,G,,,,,*-**-BC-SLOOPLIJN-G,0.18,10,252,10,10,254,BC-SLOOPLIJN-SO,0.18,10,252,10,10,254,BC-SLOOPLIJN-SO,0.18,10,252,10,10,254,BC-SLOOPLIJN-SO,0.18,10,252,10,10,254,BC-SLOOPLIJN-SO,,,2.3,,,2723,0
STORTNAAD,*,-,**,-,BC,-,STORTNAAD,,,,,,,,,,,,,-,G,,,,,*-**-BC-STORTNAAD-G,0.18,10,252,10,10,254,BC-STORTNAAD-SO,0.18,10,252,10,10,254,BC-STORTNAAD-SO,0.18,10,252,10,10,254,BC-STORTNAAD-SO,0.18,10,252,10,10,254,BC-STORTNAAD-SO,,,2.3,,,2722,0
VOEGPROFIEL,*,-,**,-,BC,-,VOEGPROFIEL,,,,,,,,,,,,,-,G,,,,,*-**-BC-VOEGPROFIEL-G,0.18,30,252,30,30,254,CONTINUOUS,0.18,30,252,30,30,254,CONTINUOUS,0.18,30,252,30,30,254,V-CONTINUOUS-SO,0.18,30,252,30,30,254,CONTINUOUS,,,2.3,,,2724,0
VOORSPANNING,*,-,**,-,BC,-,VOORSPANNING,,,,,,,,,,,,,-,G/S,,,,SBC-VOORSPANNING,*-**-BC-VOORSPANNING-G/S,0.18,180,252,200,190,254,CONTINUOUS,0.50,180,254,200,190,254,CONTINUOUS,0.50,180,252,200,190,254,V-CONTINUOUS-SO,0.50,180,252,200,190,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2732,0
VOORSPANNING_MET AANHECHTING,*,-,**,-,BC,-,VOORSPANNING,_,MET AANHECHTING,,,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_MET AANHECHTING-G,0.18,180,252,200,190,254,CONTINUOUS,0.50,180,254,200,190,254,CONTINUOUS,0.50,180,252,200,190,254,V-CONTINUOUS-SO,0.50,180,252,200,190,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2736,2732
VOORSPANNING_MET AANHECHTING_KABEL,*,-,**,-,BC,-,VOORSPANNING,_,MET AANHECHTING,_,KABEL,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_MET AANHECHTING_KABEL-G,0.18,180,252,200,190,254,BC-KABEL-SO,0.50,180,254,200,190,254,BC-KABEL-SO,0.50,180,252,200,190,254,V-BC-KABEL-SO,0.50,180,252,200,190,254,BC-KABEL-SO,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2737,2736
VOORSPANNING_MET AANHECHTING_VERANKERING,*,-,**,-,BC,-,VOORSPANNING,_,MET AANHECHTING,_,VERANKERING,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_MET AANHECHTING_VERANKERING-G,0.18,180,252,200,190,254,CONTINUOUS,0.25,180,254,200,190,254,CONTINUOUS,0.18,180,252,200,190,254,V-CONTINUOUS-SO,0.18,180,252,200,190,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2738,2736
VOORSPANNING_SUPPORT,*,-,**,-,BC,-,VOORSPANNING,_,SUPPORT,,,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_SUPPORT-G,0.18,7,252,7,7,254,CONTINUOUS,0.25,7,254,7,7,254,CONTINUOUS,0.18,7,252,7,7,254,V-CONTINUOUS-SO,0.18,7,252,7,7,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2739,2732
VOORSPANNING_ZONDER AANHECHTING,*,-,**,-,BC,-,VOORSPANNING,_,ZONDER AANHECHTING,,,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_ZONDER AANHECHTING-G,0.18,180,252,200,190,254,CONTINUOUS,0.50,180,254,200,190,254,CONTINUOUS,0.50,180,252,200,190,254,V-CONTINUOUS-SO,0.50,180,252,200,190,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2733,2732
VOORSPANNING_ZONDER AANHECHTING_KABEL,*,-,**,-,BC,-,VOORSPANNING,_,ZONDER AANHECHTING,_,KABEL,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_ZONDER AANHECHTING_KABEL-G,0.18,180,252,200,190,254,CONTINUOUS,0.50,180,254,200,190,254,CONTINUOUS,0.50,180,252,200,190,254,V-CONTINUOUS-SO,0.50,180,252,200,190,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2734,2733
VOORSPANNING_ZONDER AANHECHTING_VERANKERING,*,-,**,-,BC,-,VOORSPANNING,_,ZONDER AANHECHTING,_,VERANKERING,,,,,,,,,-,G,,,,,*-**-BC-VOORSPANNING_ZONDER AANHECHTING_VERANKERING-G,0.18,180,252,200,190,254,CONTINUOUS,0.25,180,254,200,190,254,CONTINUOUS,0.18,180,252,200,190,254,V-CONTINUOUS-SO,0.18,180,252,200,190,254,CONTINUOUS,,,4.0,Aanpassing kleur nieuw arcering 254 en bestaand 252,GEWIJZIGD,2735,2733
WAPENING,*,-,**,-,BC,-,WAPENING,,,,,,,,,,,,,-,G/S,,,,SBC-WAPENING,*-**-BC-WAPENING-G/S,0.18,170,252,130,150,254,CONTINUOUS,0.50,170,252,130,150,254,CONTINUOUS,0.50,170,252,130,150,254,V-CONTINUOUS-SO,0.70,170,252,130,150,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2727,0
WAPENING_BIJLEGWAPENING,*,-,**,-,BC,-,WAPENING,_,BIJLEGWAPENING,,,,,,,,,,,-,G,,,,,*-**-BC-WAPENING_BIJLEGWAPENING-G,0.18,150,252,160,130,254,CONTINUOUS,0.50,150,252,160,130,254,CONTINUOUS,0.50,150,252,160,130,254,V-CONTINUOUS-SO,0.70,150,252,160,130,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2729,2727
WAPENING_HOOFDWAPENING,*,-,**,-,BC,-,WAPENING,_,HOOFDWAPENING,,,,,,,,,,,-,G,,,,,*-**-BC-WAPENING_HOOFDWAPENING-G,0.18,170,252,130,140,254,CONTINUOUS,0.50,170,252,130,140,254,CONTINUOUS,0.50,170,252,130,140,254,V-CONTINUOUS-SO,0.70,170,252,130,140,254,CONTINUOUS,,,3.1,Pendiktes en kleur,GEWIJZIGD,2728,2727
WAPENING_LOOPLIJN,*,-,**,-,BC,-,WAPENING,_,LOOPLIJN,,,,,,,,,,,-,G,,,,,*-**-BC-WAPENING_LOOPLIJN-G,0.18,10,252,10,10,254,CONTINUOUS,0.18,10,252,10,10,254,CONTINUOUS,0.18,10,252,10,10,254,V-CONTINUOUS-SO,0.18,10,252,10,10,254,CONTINUOUS,,,2.3,,,2731,2727
WAPENING_SUPPORT,*,-,**,-,BC,-,WAPENING,_,SUPPORT,,,,,,,,,,,-,G,,,,,*-**-BC-WAPENING_SUPPORT-G,0.18,7,252,7,7,254,CONTINUOUS,0.25,7,252,7,7,254,CONTINUOUS,0.25,7,252,7,7,254,V-CONTINUOUS-SO,0.25,7,252,7,7,254,CONTINUOUS,,,2.3,,,2730,2727
