symboolURI,id,sbibliotheek,sbibliotheekURI,fase,symbool,optie,fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ce1b4aab-b705-4b9c-bb8d-7b1f6afb0aad,4005.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GOOT_SYMBOOL_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GOOT_SYMBOOL_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3cd7c9ac-2638-4cca-b3fd-d6a9572150ff,4006.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRAS_GESTABILISEERD_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRAS_GESTABILISEERD_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/38d51ce6-f31a-40a5-9961-35520e87654c,4007.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRASBETONSTEEN_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRASBETONSTEEN_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2c0bcda9-e6df-48f4-ad80-295a7473de1b,4008.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRASBETONSTEEN_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRASBETONSTEEN_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e420d761-bcef-436a-80da-7203d5108147,4009.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRASPLAAT_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRASPLAAT_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a65cd8aa-6019-4d28-a677-7f0b971d3634,401.0,SGR,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5e1a4fd3-ed90-42b7-b26b-690189aa9f55,V,V-SGR-BOOM_39,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGR/V-SGR-BOOM_39.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/427981e1-a84f-4527-a84d-daf47aaa1c48,4010.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRASTEGEL_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRASTEGEL_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/239de6c5-ff15-40a1-914f-4635f36fb640,4011.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRASTEGEL_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRASTEGEL_02_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ade903f5-7778-4a84-8f8c-303e19483e55,4012.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRASTEGEL_STIP_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRASTEGEL_STIP_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1a640e59-2500-4db4-90aa-96d596924eb0,4013.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRAVEL_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRAVEL_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2657f8fc-aae8-441b-a13c-ded8a1d9a88d,4014.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-GRIND_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-GRIND_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1b928947-2b0a-448c-8a13-d6775e57185b,4015.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HALFVERHARDING_01_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HALFVERHARDING_01_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/48e7286d-3f80-418b-8959-08359b518c31,4016.0,SVH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093,V,V-SVH-HALFVERHARDING_02_KL-SO,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-HALFVERHARDING_02_KL-SO.dwg
