"searchterm","arceringURI","id","abibliotheekURI","abibliotheek","fase","arcering","finalCleanName","optie","schaal","vrkl_kort","vrkl_lang","fileURL"
"KUNSTSTOF","http://digitalbuildingdata.tech/nlcs/def/d152dfcd-3ccc-4fd3-bbac-366cb3dcdf98","22","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-KUNSTSTOF-SODMM","KUNSTSTOF","SODMM","1","kunststof","45,0,0,0,0.3,0,-0.3","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-KUNSTSTOF-SODMM.pat"
"METSELWERK","http://digitalbuildingdata.tech/nlcs/def/8b26baac-6138-4341-8ce9-d4d2172be2ee","23","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-METSELWERK-SODMM","METSELWERK","SODMM","1","metselwerk","45,0,0,0,4 45,1,0,0,4","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-METSELWERK-SODMM.pat"
"NATUURSTEEN","http://digitalbuildingdata.tech/nlcs/def/a6e87f45-d914-4aee-85c2-404c28ea0bc8","24","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-NATUURSTEEN-SODMM","NATUURSTEEN","SODMM","1","natuursteen","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-NATUURSTEEN-SODMM.pat"
"RUBBER","http://digitalbuildingdata.tech/nlcs/def/41362a14-a393-465d-93a7-60feee399fa4","25","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-RUBBER-SODMM","RUBBER","SODMM","1","rubber","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-RUBBER-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/97bf9b9c-e294-494b-8ed0-a40eb1e55665","253","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_IHWERKGESTORT-SODMM","BETON_IHWERKGESTORT","SODMM","1","inhetwerkgestort","45,0,0,0,1.5 45,1.3105,0,0,1.5,1,-0.5 45,0.5,0,0,1.5","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_IHWERKGESTORT-SODMM.pat"
"RUBBER","http://digitalbuildingdata.tech/nlcs/def/30a09db0-ad52-4e8a-91b3-4941ca0ae801","26","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-RUBBER_OPLEGGING-SODMM","RUBBER_OPLEGGING","SODMM","1","rubberoplegging","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-RUBBER_OPLEGGING-SODMM.pat"
"STAAL","http://digitalbuildingdata.tech/nlcs/def/3183991b-443d-4a16-a45d-0440e1d4d62f","27","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-STAAL-SODMM","STAAL","SODMM","1","staal","45,0,0,0,4 45,0,2.4284,0,4 45,0,2.5284,0,4 45,0,2.6284,0,4","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-STAAL-SODMM.pat"
"RVS","http://digitalbuildingdata.tech/nlcs/def/d97a9611-a990-4181-b8bb-ee586acfb596","274","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-RVS-SODMM","RVS","SODMM","1","rvs","135,0,0,0,4 135,0,2.4284,0,4 135,0,2.5284,0,4 135,0,2.6284,0,4","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-RVS-SODMM.pat"
"SLOOPWERK","http://digitalbuildingdata.tech/nlcs/def/48c58775-157f-4b22-b491-950b6f001f28","29","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-SLOOPWERK-SODMM","SLOOPWERK","SODMM","1","sloopwerk","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-SLOOPWERK-SODMM.pat"
"BALLAST","http://digitalbuildingdata.tech/nlcs/def/6d848772-77b1-4854-b33c-c23960083f9f","3","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BALLAST_GROF-SODMM","BALLAST_GROF","SODMM","1","ballast_grof","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BALLAST_GROF-SODMM.pat"
"STORTSTEEN","http://digitalbuildingdata.tech/nlcs/def/12ba490c-bdde-4911-896e-7c245b4a1860","30","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-STORTSTEEN_01-SODMM","STORTSTEEN_01","SODMM","1","stortsteen01","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-STORTSTEEN_01-SODMM.pat"
"STORTSTEEN","http://digitalbuildingdata.tech/nlcs/def/4cb9575b-665d-4ebf-b81d-2ebf8a9608e5","31","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-STORTSTEEN_02-SODMM","STORTSTEEN_02","SODMM","1","stortsteen02","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-STORTSTEEN_02-SODMM.pat"
"STORTSTEEN","http://digitalbuildingdata.tech/nlcs/def/5901b07a-468f-48ef-9341-132594a8702e","32","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-STORTSTEEN_03-SODMM","STORTSTEEN_03","SODMM","1","stortsteen03","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-STORTSTEEN_03-SODMM.pat"
"STORTSTEEN","http://digitalbuildingdata.tech/nlcs/def/73d40220-eea7-4cf6-a6c3-78dec2854c0b","33","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-STORTSTEEN_04-SODMM","STORTSTEEN_04","SODMM","1","stortsteen04","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-STORTSTEEN_04-SODMM.pat"
"STORTSTEEN","http://digitalbuildingdata.tech/nlcs/def/367305c2-6765-4c2d-95e6-77588d1b61c6","34","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-STORTSTEEN_05-SODMM","STORTSTEEN_05","SODMM","1","stortsteen05","","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-STORTSTEEN_05-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/46ab1175-a6bb-42a7-97c9-62c1daa371bc","4","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_BALLAST-SODMM","BETON_BALLAST","SODMM","1","ballastbeton","50,0,0,2.09792,-2.99614,.381,-4.191 355,0,0,-1.035208,3.74516,.3048,-3.3528 100.451,.30364,-0.026565,2.91114,-3.5254,.3238,-3.5618 46.1842,0,1.016,3.14686,-4.4942,.5715,-6.2865 96.6356,.451798,.94593,4.3667,-5.2881,.4857,-5.3427 351.184,0,1.016,3.93358,5.61774,.4572,-5.0292 21,.508,.762,2.09792,-2.99614,.381,-4.191 326,.508,.762,-1.035208,3.74516,.3048,-3.3528 71.4514,.76069,.591558,2.91114,-3.5254,.3238,-3.5618 37.5,0,0,1.078484,1.304036,0,-3.31216,0,-3.4036,0,-3.3655 7.5,0,0,1.586484,1.812036,0,-1.94056,0,-3.23596,0,-1.2827 -32.5,-1.13284,0,2.34868,1.360424,0,-1.27,0,-3.9624,0,-5.2578 -42.5,-1.64084,0,1.840688,2.37642,0,-1.651,0,-2.63144,0,-3.7338 45,0,0,0,5","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_BALLAST-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/9a1d5bff-7a0b-486e-8382-e62a69dd74c7","5","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_DETAIL-SODMM","BETON_DETAIL","SODMM","1","betondetailraster","0,0,0,.3,.6,0,-.6","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_DETAIL-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/ecd92572-484b-48f7-a999-1a3c81b78038","6","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_GEWAPEND-SODMM","BETON_GEWAPEND","SODMM","1","gewapendbeton","45,0,0,0,2","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_GEWAPEND-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/89d68e05-aa02-4cb2-87cb-f58050e4d186","7","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_LICHT-SODMM","BETON_LICHT","SODMM","1","ballastbetonlicht","50,0,0,2.09792,-2.99614,.381,-4.191 355,0,0,-1.035208,3.74516,.3048,-3.3528 100.451,.30364,-0.026565,2.91114,-3.5254,.3238,-3.5618 46.1842,0,1.016,3.14686,-4.4942,.5715,-6.2865 96.6356,.451798,.94593,4.3667,-5.2881,.4857,-5.3427 351.184,0,1.016,3.93358,5.61774,.4572,-5.0292 21,.508,.762,2.09792,-2.99614,.381,-4.191 326,.508,.762,-1.035208,3.74516,.3048,-3.3528 71.4514,.76069,.591558,2.91114,-3.5254,.3238,-3.5618 37.5,0,0,1.078484,1.304036,0,-3.31216,0,-3.4036,0,-3.3655 7.5,0,0,1.586484,1.812036,0,-1.94056,0,-3.23596,0,-1.2827 -32.5,-1.13284,0,2.34868,1.360424,0,-1.27,0,-3.9624,0,-5.2578 -42.5,-1.64084,0,1.840688,2.37642,0,-1.651,0,-2.63144,0,-3.7338","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_LICHT-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/efb8556b-d2eb-40d4-bde7-6fbef2daa5fc","8","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_ONDERWATER-SODMM","BETON_ONDERWATER","SODMM","1","onderwaterbeton","45,0,0,0,5.0 45,3.5,0,0,5.0,2.5,-1.25","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_ONDERWATER-SODMM.pat"
"BETON","http://digitalbuildingdata.tech/nlcs/def/2e24ffa9-084b-4290-856c-140a7e276478","9","http://digitalbuildingdata.tech/nlcs/def/b60398de-34f8-4300-8826-acdb4f01f561","ACO","","ACO-BETON_ONGEWAPEND-SODMM","BETON_ONGEWAPEND","SODMM","1","ongewapendbeton","45,0,0,0,8 45,0,4.8568,0,8 45,0,5.0568,0,8 45,0,5.2568,0,8 45,0,5.4568,0,8 45,0,5.6568,0,8","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/ACO-BETON_ONGEWAPEND-SODMM.pat"
