"NLCSObject,""OMSCHRIJVING"",""STATUS"",""DISCIPLINE"",""HOOFDGROEP"",""ARCERING"",""ARCERINGName"",""SYMBOOL"",""SYMBOOLName"",""LAAGNAAM"",""BLineweight"",""BColor"",""BColorA"",""BColorGD"",""BColorGN"",""BColorV"",""BLinetype"",""BLinetypeName"",""NLineweight"",""NColor"",""NColorA"",""NColorGD"",""NColorGN"",""NColorV"",""NLinetype"",""NLinetypeName"",""TLineweight"",""TColor"",""TColorA"",""TColorGD"",""TColorGN"",""TColorV"",""TLinetype"",""TLinetypeName"",""VLineweight"",""VColor"",""VColorA"",""VColorGD"",""VColorGN"",""VColorV"",""VLinetype"",""VLinetypeName"",""VRKL_KORT"",""ID"",""KIND_VAN"""
"http://data.digigo.nu/nlcs/def/1adf73af-6ae4-4576-82eb-32eea43bf719,""AANGRENZENDE CONSTRUCTIE_BETON"",""*"",""**"",""HC"",""http://data.digigo.nu/nlcs/def/a080552e-441a-4b2e-b0d8-a8b3727eab97"",""BETON"","""","""",""*-**-HC-AANGRENZENDE CONSTRUCTIE_BETON-G/A"",""0.18"",""7"",""252"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""254"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""7"",""253"",""7"",""20"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2804"",""2803"""
"http://data.digigo.nu/nlcs/def/9fee051c-e158-402d-9c5e-80438691d533,""VERBINDING_BOUT"",""*"",""**"",""HC"",""http://data.digigo.nu/nlcs/def/bda008ef-429d-4ad3-9259-3cb7d3176892"",""STAAL"","""","""",""*-**-HC-VERBINDING_BOUT-G/A"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2801"",""2800"""
"http://data.digigo.nu/nlcs/def/6da165a0-8bc1-4263-96d5-889510205d0f,""VERBINDING_STAAL"",""*"",""**"",""HC"",""http://data.digigo.nu/nlcs/def/bda008ef-429d-4ad3-9259-3cb7d3176892"",""STAAL"","""","""",""*-**-HC-VERBINDING_STAAL-G/A"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.18"",""140"",""252"",""130"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""2802"",""2800"""
"http://data.digigo.nu/nlcs/def/4342b058-392d-4eda-96ef-0ff3dc722417,""LOCATIE"",""*"",""**"",""MO"","""","""",""http://data.digigo.nu/nlcs/def/ca78282f-cea0-4741-a856-639d70511d7b"",""SMO-SITUATIE_RUIMTELIJKE EENHEID-SO"",""*-**-MO-LOCATIE-G/S"",""0.18"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""1475"","""""
"http://data.digigo.nu/nlcs/def/dd864d3e-a5ac-4524-b08a-52c33299bd93,""TRILLING"",""*"",""**"",""MO"","""","""","""","""",""*-**-MO-TRILLING-G"",""0.18"",""210"",""212"",""210"",""210"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""210"",""212"",""210"",""210"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""1539"","""""
"http://data.digigo.nu/nlcs/def/5aae346b-4667-4cdb-bcfe-41481ddefe4b,""ONDERZOEK"",""*"",""**"",""MO"","""","""","""","""",""*-**-MO-ONDERZOEK-G"",""0.18"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""30"",""32"",""30"",""30"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""1477"","""""
"http://data.digigo.nu/nlcs/def/838b2b30-3e0a-47af-b220-3b0fa2f8b87d,""SCHADE"",""*"",""**"",""MO"","""","""","""","""",""*-**-MO-SCHADE-G"",""0.18"",""7"",""7"",""7"",""7"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""7"",""7"",""7"",""7"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""1570"","""""
"http://data.digigo.nu/nlcs/def/2be51bf2-dae4-477f-8f6b-e294bba79961,""ARCHEOLOGIE"",""*"",""**"",""MO"","""","""","""","""",""*-**-MO-ARCHEOLOGIE-G"",""0.18"",""90"",""92"",""90"",""90"",""253"",""http://data.digigo.nu/nlcs/def/6e886f1b-8e55-4375-8e54-d2aab6e91357"",""MO-ARCHEOLOGIE-SO"",""0.35"",""90"",""92"",""90"",""90"",""253"",""http://data.digigo.nu/nlcs/def/6e886f1b-8e55-4375-8e54-d2aab6e91357"",""MO-ARCHEOLOGIE-SO"",""0.35"",""90"",""92"",""90"",""90"",""253"",""http://data.digigo.nu/nlcs/def/6e886f1b-8e55-4375-8e54-d2aab6e91357"",""MO-ARCHEOLOGIE-SO"",""0.35"",""90"",""92"",""90"",""90"",""253"",""http://data.digigo.nu/nlcs/def/288da339-5f66-4e64-ac2b-9ef208484a4f"",""V-MO-ARCHEOLOGIE-SO"","""",""1550"","""""
"http://data.digigo.nu/nlcs/def/6ac40a65-49bc-4521-9bc5-b41d69a943c6,""GELUID"",""*"",""**"",""MO"","""","""","""","""",""*-**-MO-GELUID-G"",""0.18"",""10"",""12"",""10"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""1529"","""""
"http://data.digigo.nu/nlcs/def/01b6b0b5-fb46-47ef-bff0-cbf9c4d3d4f3,""GRONDWATER"",""*"",""**"",""MO"","""","""",""http://data.digigo.nu/nlcs/def/b02bc9c4-3a30-4daa-9945-8e7b09b94644"",""GRONDWATER"",""*-**-MO-GRONDWATER-G/S"",""0.18"",""150"",""152"",""150"",""150"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""http://data.digigo.nu/nlcs/def/4f7cc6fc-ce0c-4190-83d2-58ddbf0e54a2"",""CONTINUOUS"",""0.35"",""150"",""152"",""150"",""150"",""253"",""http://data.digigo.nu/nlcs/def/5f51e8e7-9a22-415b-b5ea-ededf6637c1d"",""V-CONTINUOUS-SO"","""",""1506"","""""
