"objectURI","hoofdgroepURI","hoofdgroep","id_nummer","omschrijving","kind_vanURI","kind_van","status","discipline","lw_bURI","lw_b","kl_bURI","kl_b","kl_b_aURI","kl_b_a","kl_b_gdURI","kl_b_gd","kl_b_gnURI","kl_b_gn","kl_b_vURI","kl_b_v","lt_bURI","lt_b","lw_nURI","lw_n","kl_nURI","kl_n","kl_n_aURI","kl_n_a","kl_n_gdURI","kl_n_gd","kl_n_gnURI","kl_n_gn","kl_n_vURI","kl_n_v","lt_nURI","lt_n","lw_tURI","lw_t","kl_tURI","kl_t","kl_t_aURI","kl_t_a","kl_t_gdURI","kl_t_gd","kl_t_gnURI","kl_t_gn","kl_t_vURI","kl_t_v","lt_tURI","lt_t","lw_vURI","lw_v","kl_vURI","kl_v","kl_v_aURI","kl_v_a","kl_v_gdURI","kl_v_gd","kl_v_gnURI","kl_v_gn","kl_v_vURI","kl_v_v","lt_vURI","lt_v","element","sobjectURI","sobject","aobjectURI","aobject","vrkl_kort"
"http://digitalbuildingdata.tech/nlcs/def/26fe25ca-7a7e-4d3c-99cd-5c0d8035ba5f","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","ITSO","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/5986ac17-417d-42e0-89db-f84397d75aad","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","DILATATIE","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/afdc34f8-5008-4a3c-9d63-ac750a16465d","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","OVERIGMATERIAAL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/eb27111b-7e14-4597-a21c-abe2841941e2","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOEGPROFIEL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/37823a5a-cb70-4eb9-98dc-8b0f44504ada","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","WAPENING_BIJLEGWAPENING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/795180f6-0e2e-4b96-a70e-0a9bf52d900d","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","WAPENING_LOOPLIJN","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/ad64b013-9079-4804-b233-9c2e8807b192","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","WAPENING_HOOFDWAPENING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/cee21910-c29d-4bbb-b757-1eb00ad03794","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","WAPENING_SUPPORT","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/32c86848-743a-49ad-aa66-436530d4aac2","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_VSP","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/60716ea6-f903-4714-af91-7a56242a9e73","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_GEWAPEND","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/f56d1b13-7258-4314-858c-83be7fabf0a7","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_LICHT","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/4a67af63-7e1f-4853-9d5b-fa994740a10a","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_PREFAB","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/d9794a65-516f-4f0b-8304-46d12dd1480d","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_BALLAST","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/20fff028-fc6b-4b52-a464-71e85b9cc22e","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_OWB","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/a31fbbfa-8ff1-46c7-ada5-0ae4e936a0d0","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_ONGEWAPEND","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/6f8f33c9-cf9a-496d-9b6e-29d8d1e6a10e","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_WERKVLOER","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/bce70576-b62c-4f27-b29b-ba0c81635abc","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_IN HET WERK GESTORT","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/6285f5b6-77b6-47fc-93a9-ef21512a9fe4","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_SUPPORT","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/70f297cb-8f45-49ff-88f9-60124b14a5fb","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_ZONDER AANHECHTING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/03255874-3f3f-432b-9fa6-11a6ea8a2d88","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_MET AANHECHTING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/4bc16cd8-8807-4beb-9b38-d8f3e020eb31","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","BETONVORM_VSP_PREFAB","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/84e41810-3d1a-4ab3-b5b7-9965165a48ed","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_ZONDER AANHECHTING_VERANKERING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/df7761da-2f5d-4431-b5f6-2da9edd9b74e","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_ZONDER AANHECHTING_KABEL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/f41e5cd7-7370-4545-8426-2db5e1699ac8","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_MET AANHECHTING_KABEL","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://digitalbuildingdata.tech/nlcs/def/4b42ad66-2b63-4f53-9c9c-19c70c40adbc","http://digitalbuildingdata.tech/nlcs/def/728cc0c7-844e-4d27-b39f-910196fd7051","BC","","VOORSPANNING_MET AANHECHTING_VERANKERING","","","*","**","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
