abibliotheekURI,id,abibliotheek,omschrijving
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/946c3e94-1761-4094-a4e5-f0d1118c4694,3,AGW,GrondWerk
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/2390a8a1-5a8c-41c1-aa1f-ea6b35d48898,30,AFV,FaunaVoorzieningen
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/99a2e084-d1a5-47fa-8279-38ee26a51ba4,31,AIV,Installaties Vaarwegen
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/47c6c091-4963-4cab-814b-9c25223879c9,32,AZZ,Voor alle hoofdgroepen
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/194e0371-bd62-4e8b-8e3b-2a3c4ec1be1d,33,ARI,Riolering
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3ce9902c-55e0-466a-99a1-afbc0426f867,34,AAL,ALgemeen
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/59249589-0af5-4392-8772-c34627fb94a1,35,AAM,Assen en Metrering
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/8dfc4600-0b05-43f5-a419-442d5682da7d,4,AKG,Kadastrale informatie en Grenzen
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/efe1475d-0e96-4573-bcb8-77b9c52d5c13,5,AMO,Milieu en Onderzoek
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/e615dec4-bbaa-4c49-adca-4b6950f55546,6,AMW,MetselWerk
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/50b3c502-7cc7-4e77-8210-329f621b3e84,7,AVH,VerHarding
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f870ab9d-2ead-4a3b-9e27-19a7ba3d602f,8,AOG,Ondergrond
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ee2e1cc7-f9c0-4fea-8a96-bf264d9c8a59,9,AIE,InrichtingsElementen
