"symboolURI,""id"",""sbibliotheek"",""sbibliotheekURI"",""fase"",""symbool"",""optie"",""fileURL"""
"http://digitalbuildingdata.tech/nlcs/def/57e95e6c-d3cf-4109-9ae8-ab72ceedeef9,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_MOF_AFTAK-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_MOF_AFTAK-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/6ebe642f-b5df-4be0-8d28-672043672cf2,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_DRAINAGE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_DRAINAGE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/28021fe4-050a-4069-acb0-a65088fb97ac,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_AARDING_PEN-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_AARDING_PEN-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/eceb744b-ebc7-46ab-b871-a148f83f9ed9,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_MEETPAAL-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_MEETPAAL-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/2a56d6a5-5142-4f1d-898a-17c96d0f90e7,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_ANODE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_ANODE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/78e630da-5f1a-443c-8d29-cfb1b2319ef9,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_MOF_OVERGANG-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_MOF_OVERGANG-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/88f98690-162d-41e1-8a4e-bd5405382606,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_DRAINAGE_DC-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_DRAINAGE_DC-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/f9fb1fd4-0cdd-4099-8055-7879635c7c16,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_AANSLUITPUNT-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_AANSLUITPUNT-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/11ff9629-a0b7-4d3b-bd23-e4108216e491,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_MOF_OVERGANG-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_MOF_OVERGANG-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/02558d78-54a4-4106-8005-a1377798177f,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_MOF_VERBINDING-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_MOF_VERBINDING-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/ce35d3bf-3dcb-41bb-b8e3-386e43df24be,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_HS_OLIEDRUKINSTALLATIE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_HS_OLIEDRUKINSTALLATIE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/59bccb61-b97a-476b-9f15-d52fc7e88593,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_MOF-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_MOF-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/f174d093-7d14-4ea1-af94-30a8449923e4,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_AANSLUITPUNT-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_AANSLUITPUNT-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/8e345958-a4be-4a9f-b43c-ece346efc87b,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_DRAINAGE-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_DRAINAGE-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/8ad85c08-bea3-4ef2-bf47-dbc61c3502a8,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_AARDING_MOF-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_AARDING_MOF-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/78cb2cfb-8804-4d9c-ac5a-d99671fe28f7,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_MOF_EIND-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_MOF_EIND-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/49521171-6609-482f-8644-f4b06f573789,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_AANSLUITPUNT_OV-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_AANSLUITPUNT_OV-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/3ff2b2eb-a61d-4316-b9cb-e879a268eb9a,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-KB_DRAINAGE_AC-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_DRAINAGE_AC-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/f224aeaf-d799-4094-92de-be91467ac9e1,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-KB_DRAINAGE_DC-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_DRAINAGE_DC-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/cb3a50b2-7eae-449c-9e04-1014e6c3a1ef,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""B"",""B-SKL-ET_AARDING_PEN-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-ET_AARDING_PEN-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/cd819e16-169f-462c-87d9-286a3d430679,"""",""SKL"",""http://digitalbuildingdata.tech/nlcs/def/af14b1c9-452b-4cea-9f13-a9b9921c9163"",""V"",""V-SKL-ET_AANSLUITPUNT_OV-SO.dwg"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-ET_AANSLUITPUNT_OV-SO.dwg.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/1a767249-3f21-4a66-b52b-8a9c7ab44531,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DEKSEL_HWA_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-PUT_DEKSEL_HWA_01-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/afde4402-2daa-4882-8c15-e36abed090f5,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-KOLK_TEGELPAD-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-KOLK_TEGELPAD-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/65577c15-f2bb-4c5d-a0e7-dd827b1a9c07,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""B"",""B-SRI-KOLK_STRAAT_03-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/B-SRI-KOLK_STRAAT_03-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/ff666a79-1957-4d41-be80-c42f8edcab82,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_CONTROLEPUT-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/V-SRI-HULP_CONTROLEPUT-SO.dwg"""
"http://digitalbuildingdata.tech/nlcs/def/c983b645-58f9-4e5c-8099-3374b5beb8b4,"""",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""B"",""B-SRI-PUT_ITR_01-SO"",""SO"",""https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SRI/B-SRI-PUT_ITR_01-SO.dwg"""
