"symboolURI,""id"",""sbibliotheek"",""sbibliotheekURI"",""fase"",""symbool"",""optie"",""fileURL"""
"http://digitalbuildingdata.tech/nlcs/def/ea9f0ffe-ee32-46c0-b488-6f9068ee79d4,""1026"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-AFSCHEIDER_VET-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/ee3d0817-3803-4830-abbd-58bcb5cb8d6f,""1027"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-AFSCHEIDER_ZETMEEL-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/ade70bc3-efe2-41cf-87f9-a5570f530d9d,""1028"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-AFSCHEIDER-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/ab0b7331-3d58-477d-bd90-0fef1de05531,""103"",""SZZ"",""http://digitalbuildingdata.tech/nlcs/def/075221b4-87a6-41f7-9e7e-757a73d40f27"","""",""SZZ-HOOGTELABEL_KANTOPSLUITING_01-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/547d7338-39dc-443b-a715-d43801c77b8f,""1031"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DRAIN_DOORSPUIT-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/9c6987c3-f023-48e1-9e5a-90682f8b00be,""1032"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-PUT_DRAIN-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/7ec5faad-1dfe-4453-abaa-fe6859722950,""1033"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-DRAIN_TALUDGOOT-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/f91ffb72-f7e0-4f42-8a70-293c4c7891d6,""1034"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-GEMAAL-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/77e715c7-760b-4dbc-a006-b87d578ea7ac,""1035"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_AFSLUITER-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/81a14103-777d-4aca-bcb6-27aef53b237a,""1036"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_AFSLUITER_DRIEWEG-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/80ce667e-8835-40af-9ae4-9e0b8eaebeb2,""1037"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_AFSLUITER_HAAKS-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/60855409-269d-486a-88cd-f14c1ce6367b,""1038"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_AFSLUITER_HANDB-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/f4c51b43-4a44-4272-84a1-9f37f6204b20,""1039"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_AFSLUITER_KLEP-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/faabf3b4-ba72-431b-bce5-59e6aef3e541,""104"",""SZZ"",""http://digitalbuildingdata.tech/nlcs/def/075221b4-87a6-41f7-9e7e-757a73d40f27"","""",""SZZ-HOOGTELABEL_KANTOPSLUITING_02-SO"",""SO"","""""
"http://digitalbuildingdata.tech/nlcs/def/a5474c5a-8dde-4548-a066-5dfa2fb49905,""1040"",""SRI"",""http://digitalbuildingdata.tech/nlcs/def/7d78f17a-dc19-433f-924b-fa44e60d9558"",""V"",""V-SRI-HULP_AFSLUITER_KOGEL-SO"",""SO"","""""
