"lijntypeURI","id","hoofdgroep","omschrijving","finalCleanName","fase","optie","autocaddef"
"http://digitalbuildingdata.tech/nlcs/def/a9329355-144f-4902-a2c7-b592f4fea474","","IE","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","CONSTRUCTIEVE AFSCHEIDING","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[B20-10V,NLCS.SHX,r=90,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
"http://digitalbuildingdata.tech/nlcs/def/16e9c03b-3b52-4da6-ba5e-281ce7bf0b8b","","IE","IE-CONSTRUCTIEVE AFSCHEIDING-SO","CONSTRUCTIEVE AFSCHEIDING","","SO","A,4,[B20-10V,NLCS.SHX,r=90,s=0.75],4,-2"
"http://digitalbuildingdata.tech/nlcs/def/21484fcb-4d9f-4e86-a9f5-fd6d855c7437","","","CONTINUOUS","CONTINUOUS","","",""
"http://digitalbuildingdata.tech/nlcs/def/270c7274-5fc6-4b2c-804f-0eeafcef2cd8","","","V-CONTINUOUS-SO","V-CONTINUOUS-SO","","",""
"http://digitalbuildingdata.tech/nlcs/def/1d410085-8718-4e06-b0e0-731865e68511","792","IE","V-IE-CONSTRUCTIEVE AFSCHEIDING_SCHUTTING-SO","CONSTRUCTIEVE AFSCHEIDING_SCHUTTING","V","SO","A,2,[VERWIJDEREN2,NLCS.SHX,x=-1,s=0.6],2,[B20-10V,NLCS.SHX,r=90,s=0.75],2,[VERWIJDEREN2,NLCS.SHX,x=1,s=0.6],2,-2"
"http://digitalbuildingdata.tech/nlcs/def/7a2ad3bb-603b-44a2-80be-b194c4cb28ec","876","IE","IE-CONSTRUCTIEVE AFSCHEIDING_SCHUTTING-SO","CONSTRUCTIEVE AFSCHEIDING_SCHUTTING","","SO","A,4,[B20-10V,NLCS.SHX,r=90,s=0.75],4,-2"
