nlcs_term;nlcs_name
http://digitalbuildingdata.tech/nlcs/term/78223dbd-1f67-412c-ba9a-68cf963fc483;PAAL
http://digitalbuildingdata.tech/nlcs/term/38f406f0-93c9-4e47-a647-a9bc60897842;BOLDER
http://digitalbuildingdata.tech/nlcs/term/0c805bfd-0c7e-4100-a6f8-281fbacd0bdc;IE
http://digitalbuildingdata.tech/nlcs/term/c3825382-12c0-4084-a13a-a0e3a684b770;LICHTKOKER
http://digitalbuildingdata.tech/nlcs/term/592235fb-1d98-4f1b-a12f-fef1c131e587;GEMENGD
http://digitalbuildingdata.tech/nlcs/term/55d62ed0-6ed4-4f11-b8d6-55ced747f910;BIMS
http://digitalbuildingdata.tech/nlcs/term/0f5275f6-f8ea-4a62-9900-f59d81ad7302;SIRENE
http://digitalbuildingdata.tech/nlcs/term/72165919-a8fd-403c-b09e-29cb07c6beab;SLAGBOOM
http://digitalbuildingdata.tech/nlcs/term/23845900-6036-4275-8b29-9615222ec527;PYLOON
http://digitalbuildingdata.tech/nlcs/term/525d059d-ff60-4d33-9fe2-5ce175f10f9c;MEERPAAL
http://digitalbuildingdata.tech/nlcs/term/a14c59ec-6676-4e37-9395-4d9753ecabf4;HOOGOVEN
http://digitalbuildingdata.tech/nlcs/term/b7cee33e-3e98-4186-a696-c8945581a46b;HALTEPAAL
http://digitalbuildingdata.tech/nlcs/term/6dfc6a29-9ef2-4bec-a902-a52d3d7df6e0;GAZONBAND
http://digitalbuildingdata.tech/nlcs/term/e0e6e2b7-08a6-4891-b6fd-c98e267e12d0;LED
http://digitalbuildingdata.tech/nlcs/term/a19e7fff-4af4-4508-bc34-7da309b83b5c;OPSLUITBAND
http://digitalbuildingdata.tech/nlcs/term/eea91972-f789-489b-a695-2cbb6122ee22;GK
http://digitalbuildingdata.tech/nlcs/term/21c754e7-df58-4e72-8f03-e39d4afa4224;INSPRINGVOORZIENING
http://digitalbuildingdata.tech/nlcs/term/a4b6e2b5-19f3-4ed6-8505-e9e6cd18da86;SIGNALERINGSBAND
http://digitalbuildingdata.tech/nlcs/term/0441af6d-ac24-411a-99fb-902eb4f65e41;METAAL
http://digitalbuildingdata.tech/nlcs/term/91cdbb8b-c1d0-4e69-a193-10ed01327401;HOEKBLOK
http://digitalbuildingdata.tech/nlcs/term/296bbde7-c6d7-4ddc-ad57-4c34d652c635;COBBLESTONE
http://digitalbuildingdata.tech/nlcs/term/296bbde7-c6d7-4ddc-ad57-4c34d652c635;COBBLESTONE
http://digitalbuildingdata.tech/nlcs/term/a9bf1f24-1247-4561-9a2b-c9c82d5ac05c;NATUURSTEEN
http://digitalbuildingdata.tech/nlcs/term/a9bf1f24-1247-4561-9a2b-c9c82d5ac05c;NATUURSTEEN
http://digitalbuildingdata.tech/nlcs/term/7f4c4606-15ce-4aee-a904-8ba9f78dbe5a;GEMAAL
http://digitalbuildingdata.tech/nlcs/term/2b1eb7b7-0965-4436-9eb4-2824461bcdc1;STROOIRESERVOIR
http://digitalbuildingdata.tech/nlcs/term/33db8322-9807-4cf6-b261-fc9f103c7ef8;ECODUIKER
http://digitalbuildingdata.tech/nlcs/term/2eff3370-d198-4909-936c-141d3b661e70;GEOTEXTIEL
http://digitalbuildingdata.tech/nlcs/term/58d598be-cf80-4100-914d-a3751d238015;MEERSTOEL
http://digitalbuildingdata.tech/nlcs/term/ac064a87-418f-4a19-b1bb-1c1c379ad6fc;KADEMUUR
http://digitalbuildingdata.tech/nlcs/term/ed0086fe-7474-4373-afd3-6911482fd07c;BETONELEMENT
http://digitalbuildingdata.tech/nlcs/term/03b52c9b-ac4d-41a3-9ea1-bb0992a72b4f;PONTON
