hoofdgroep,bewerking
AL,
AM,
BC,
BV,
ES,
FC,
FV,
GC,
GK,
GR,
GW,
HC,
HU,
IE,
IS,
IV,
IW,
KC,
KG,
KL,
KW,
MC,
MO,
MW,
OB,
OG,
OV,
RI,
SB,
SC,
VH,
VV,
VW,
WH,
ZZ,
