"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"GELEIDING_WILDROOSTER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""276"",""265"",""http://digitalbuildingdata.tech/nlcs/def/b1d4fbfd-c6a3-4acc-a69b-b524f23c0761"",""http://digitalbuildingdata.tech/nlcs/def/d9535ac9-fbaa-431a-bcc7-1d34218254b2"""
"NATUURVRIENDELIJKEOEVER_DOORGROEIBARECONSTRUCTIE,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""V-CONTINUOUS-SO"",""0.25"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"","""","""",""259"",""258"",""http://digitalbuildingdata.tech/nlcs/def/7c521698-21cd-4125-adae-a23965190458"",""http://digitalbuildingdata.tech/nlcs/def/de9da442-32bd-47bb-9167-dbadbf6cb2a5"""
"NATUURVRIENDELIJKEOEVER_FLAUWEOEVER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""V-CONTINUOUS-SO"",""0.25"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"","""","""",""262"",""258"",""http://digitalbuildingdata.tech/nlcs/def/c398298c-5beb-4774-a361-8b289d66bc27"",""http://digitalbuildingdata.tech/nlcs/def/de9da442-32bd-47bb-9167-dbadbf6cb2a5"""
"NATUURVRIENDELIJKEOEVER_PLASDRASBERM,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""V-CONTINUOUS-SO"",""0.25"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"","""","""",""263"",""258"",""http://digitalbuildingdata.tech/nlcs/def/12fde3f9-0cd7-46a2-a904-db8f25ce9d4d"",""http://digitalbuildingdata.tech/nlcs/def/de9da442-32bd-47bb-9167-dbadbf6cb2a5"""
"NATUURVRIENDELIJKEOEVER_VOOROEVERVERDEDIGING,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"",""0.35"",""110"",""112"",""110"",""110"",""253"",""V-CONTINUOUS-SO"",""0.25"",""110"",""112"",""110"",""110"",""253"",""CONTINUOUS"","""","""",""264"",""258"",""http://digitalbuildingdata.tech/nlcs/def/01c16b9e-c601-48ef-97ba-e48058c15758"",""http://digitalbuildingdata.tech/nlcs/def/de9da442-32bd-47bb-9167-dbadbf6cb2a5"""
"FAUNAPASSAGE_BRUGDOORLOPENDEOEVER,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""247"",""244"",""http://digitalbuildingdata.tech/nlcs/def/b20f433c-e9bf-4c47-94c4-4ec2bb28329d"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""255"",""244"",""http://digitalbuildingdata.tech/nlcs/def/8ade332a-784e-4b04-abd8-7360bb02dd61"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_BOOMBRUG,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""252"",""244"",""http://digitalbuildingdata.tech/nlcs/def/2857e2d8-be40-4d4f-aa2a-5755d1a70750"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_ECODUCT,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"",""0.35"",""80"",""82"",""80"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""80"",""82"",""80"",""80"",""253"",""CONTINUOUS"","""","""",""245"",""244"",""http://digitalbuildingdata.tech/nlcs/def/6330dfef-6b3c-48aa-999f-cdc69963bff9"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
"FAUNAPASSAGE_DASSENTUNNEL,""*"","""",""**"","""",""FV"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"",""0.35"",""90"",""90"",""90"",""80"",""253"",""V-CONTINUOUS-SO"",""0.25"",""90"",""90"",""90"",""80"",""253"",""CONTINUOUS"","""","""",""250"",""244"",""http://digitalbuildingdata.tech/nlcs/def/7bfb620b-17f1-4cdd-a561-7b01466984ff"",""http://digitalbuildingdata.tech/nlcs/def/20a05b01-0167-48bb-8953-7b4f53d92ab0"""
