objectURI,hoofdgroepURI,hoofdgroep,id_nummer,omschrijving,kind_vanURI,kind_van,status,discipline,lw_bURI,lw_b,kl_bURI,kl_b,kl_b_aURI,kl_b_a,kl_b_gdURI,kl_b_gd,kl_b_gnURI,kl_b_gn,kl_b_vURI,kl_b_v,lt_bURI,lt_b,lw_nURI,lw_n,kl_nURI,kl_n,kl_n_aURI,kl_n_a,kl_n_gdURI,kl_n_gd,kl_n_gnURI,kl_n_gn,kl_n_vURI,kl_n_v,lt_nURI,lt_n,lw_tURI,lw_t,kl_tURI,kl_t,kl_t_aURI,kl_t_a,kl_t_gdURI,kl_t_gd,kl_t_gnURI,kl_t_gn,kl_t_vURI,kl_t_v,lt_tURI,lt_t,lw_vURI,lw_v,kl_vURI,kl_v,kl_v_aURI,kl_v_a,kl_v_gdURI,kl_v_gd,kl_v_gnURI,kl_v_gn,kl_v_vURI,kl_v_v,lt_vURI,lt_v,element,sobjectURI,sobject,aobjectURI,aobject,vrkl_kort
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b587d613-cd7c-4348-a3b4-24538c0cb9f2,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_TITELBLOK,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/7158aa53-1b03-40c5-bf95-8d31e2c72624,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_KADER,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/afa7666b-1c23-4d4e-a6ca-f8a9d64324dc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_SITUATIE,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/836a066d-0781-4ce6-a760-4566c5dbfa5d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_VERKLARING,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1f26db84-c369-43cd-bc64-5af1eef71e7d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,TEKENBLAD_WIJZIGINGSBLOK,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d98ba953-a03b-42f3-aed2-88ac9595dd7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/183069c1-f792-472f-9713-477516c63199,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,BLADVERWIJZING_KAART,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae1369b0-0ece-4017-94a5-f001804b4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/91cd8ded-2932-4cc1-bf16-1321ddb60b47,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,BLADVERWIJZING_BLAD,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae1369b0-0ece-4017-94a5-f001804b4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/d366a885-c350-4366-afc0-1af4aa64d227,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,BLADVERWIJZING_AS,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae1369b0-0ece-4017-94a5-f001804b4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/18b54499-57d3-49e4-ac4c-3048b64a7c69,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,BLADVERWIJZING_CONTOUR,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae1369b0-0ece-4017-94a5-f001804b4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9f9c66dc-e5f0-4de1-85f9-82d36f81ff33,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a6dd3cd1-92f9-4f48-b418-a556c3475b60,AL,,BLADVERWIJZING_DTM,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/ae1369b0-0ece-4017-94a5-f001804b4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
