omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
KADEMUUR_GEWICHTSCONSTRUCTIE_L MUUR,,_,,_,GK,_,KADEMUUR,_,GEWICHTSCONSTRUCTIE,_,L MUUR,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3afe5acc-0cd2-438a-9633-2a4a0281d98f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52cd86dd-e23b-4447-892b-dce2bd5cf343
KADEMUUR_GEWICHTSCONSTRUCTIE_BLOKKENMUUR,,_,,_,GK,_,KADEMUUR,_,GEWICHTSCONSTRUCTIE,_,BLOKKENMUUR,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1a087924-1de2-44bc-ae67-05b4eaf0327b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52cd86dd-e23b-4447-892b-dce2bd5cf343
KADEMUUR_GEWICHTSCONSTRUCTIE_TERRE ARMEE,,_,,_,GK,_,KADEMUUR,_,GEWICHTSCONSTRUCTIE,_,TERRE ARMEE,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7093e3a9-889e-4e80-aba4-53689992e602,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52cd86dd-e23b-4447-892b-dce2bd5cf343
KADEMUUR_GEWICHTSCONSTRUCTIE_CAISSONWAND,,_,,_,GK,_,KADEMUUR,_,GEWICHTSCONSTRUCTIE,_,CAISSONWAND,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/03aee9d6-6b27-4fc0-b58c-79e1dc8062a4,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52cd86dd-e23b-4447-892b-dce2bd5cf343
KADEMUUR_ONTLASTVLOER_HOOGGELEGEN,,_,,_,GK,_,KADEMUUR,_,ONTLASTVLOER,_,HOOGGELEGEN,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/53130b93-b016-4aed-9c16-5e01d70ed638,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ea9c93f6-4798-4b7b-98f4-723c38cafa23
KADEMUUR_ONTLASTVLOER_DIEPGELEGEN,,_,,_,GK,_,KADEMUUR,_,ONTLASTVLOER,_,DIEPGELEGEN,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d576faea-bb94-401a-a68c-c22e9741dfd8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ea9c93f6-4798-4b7b-98f4-723c38cafa23
BESCHOEIING_KUNSTSTOF_SCHOT,,_,,_,GK,_,BESCHOEIING,_,KUNSTSTOF,_,SCHOT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e499d704-8a56-4cfc-924a-e24aaadfc36f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b63d9d71-b22a-4592-9733-c114aedc9b78
BESCHOEIING_BESCHOEIING2_COMBINATIE,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING2,_,COMBINATIE,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/474ec295-5015-4199-b32d-8d77fdc3340a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/40422b69-cab7-4db5-9da8-44b4dbe8818e
BESCHOEIING_BESCHOEIING2_HOUT,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING2,_,HOUT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/29fe3e76-8ccf-4984-b939-5b1fd2b1cf85,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/40422b69-cab7-4db5-9da8-44b4dbe8818e
BESCHOEIING_BESCHOEIING2_KUNSTSTOF,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING2,_,KUNSTSTOF,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/86f4f4ef-fb65-465e-a9de-874b5222e848,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/40422b69-cab7-4db5-9da8-44b4dbe8818e
BESCHOEIING_BESCHOEIING3_KUNSTSTOF,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING3,_,KUNSTSTOF,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/89d470dc-7279-4297-9ff2-f7811ba49a69,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c7299722-58a7-43fd-9058-1729b1b8cf60
BESCHOEIING_BESCHOEIING3_HOUT,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING3,_,HOUT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/828b318c-28e7-4c7f-bc72-98125f16bb9c,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c7299722-58a7-43fd-9058-1729b1b8cf60
BESCHOEIING_BESCHOEIING3_COMBINATIE,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING3,_,COMBINATIE,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8fa8f5d7-a244-436d-9cb0-5db12c173f50,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c7299722-58a7-43fd-9058-1729b1b8cf60
BESCHOEIING_BESCHOEIING1_COMBINATIE,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING1,_,COMBINATIE,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6aeb5496-114b-4f7b-ba57-8137b4745889,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e9f297d-97bd-4da8-be4c-d068bdfa7c59
BESCHOEIING_BESCHOEIING1_HOUT,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING1,_,HOUT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a4758021-5505-44c0-8f47-402d0f389aa7,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e9f297d-97bd-4da8-be4c-d068bdfa7c59
BESCHOEIING_BESCHOEIING1_KUNSTSTOF,,_,,_,GK,_,BESCHOEIING,_,BESCHOEIING1,_,KUNSTSTOF,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0178e203-06fd-4813-a42f-135302d241d8,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e9f297d-97bd-4da8-be4c-d068bdfa7c59
BESCHOEING_HOUT_PLANKEN,,_,,_,GK,_,BESCHOEING,_,HOUT,_,PLANKEN,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b2cc51d3-4dcf-438b-ad38-c791e2da4997,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52de9032-3af3-48f3-a7e6-fbcb7ba12125
BESCHOEIING_HOUT_SCHOTTEN,,_,,_,GK,_,BESCHOEIING,_,HOUT,_,SCHOTTEN,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5b88f50f-6164-4e0d-9936-68cd3e6c7b29,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52de9032-3af3-48f3-a7e6-fbcb7ba12125
BESCHOEIING_HOUT_PERKOENPALENRIJ,,_,,_,GK,_,BESCHOEIING,_,HOUT,_,PERKOENPALENRIJ,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dcd78fb2-67d3-4937-a77f-200d4ac867de,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52de9032-3af3-48f3-a7e6-fbcb7ba12125
DAMWAND_DAMWAND1_STAAL,,_,,_,GK,_,DAMWAND,_,DAMWAND1,_,STAAL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fb9f8001-3cec-403a-a555-e902b2603e59,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ad5d6ee1-9c63-47e7-b313-4296cc374dac
DAMWAND_DAMWAND1_BETON,,_,,_,GK,_,DAMWAND,_,DAMWAND1,_,BETON,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a747b2b8-8494-4273-8333-38e3f3995a87,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ad5d6ee1-9c63-47e7-b313-4296cc374dac
DAMWAND_DAMWAND1_KUNSTSTOF,,_,,_,GK,_,DAMWAND,_,DAMWAND1,_,KUNSTSTOF,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a396b69f-91a8-4182-9dee-345c84338f1d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ad5d6ee1-9c63-47e7-b313-4296cc374dac
DAMWAND_DAMWAND1_HOUT,,_,,_,GK,_,DAMWAND,_,DAMWAND1,_,HOUT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/aa81b535-1400-47c5-bcde-e609b5dbff32,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ad5d6ee1-9c63-47e7-b313-4296cc374dac
KISTDAM_DAMWAND_HOUT,,_,,_,GK,_,KISTDAM,_,DAMWAND,_,HOUT,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8306f1a4-7c31-422b-bbdd-8f9cfe768fa9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/132eedd6-787b-453e-bc32-a6577a47c9ba
KISTDAM_DAMWAND_KUNSTSTOF,,_,,_,GK,_,KISTDAM,_,DAMWAND,_,KUNSTSTOF,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/335265d3-8cf8-4709-b8d6-c0748619083b,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/132eedd6-787b-453e-bc32-a6577a47c9ba
KISTDAM_DAMWAND_BETON,,_,,_,GK,_,KISTDAM,_,DAMWAND,_,BETON,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/219d0415-3844-4c4e-a3f4-1a6a8acba6e9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/132eedd6-787b-453e-bc32-a6577a47c9ba
KISTDAM_DAMWAND_STAAL,,_,,_,GK,_,KISTDAM,_,DAMWAND,_,STAAL,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5edb7090-a626-4f21-84b0-d03a37c6351d,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/132eedd6-787b-453e-bc32-a6577a47c9ba
KEERWAND_TWAND,,_,,_,GK,_,KEERWAND,_,TWAND,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/389ad20c-0ecc-4dcc-8220-7fc070695417,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dd3bcd48-b6a0-4e03-866f-5387f1ed24db
KEERWAND_JUMBOBLOKKEN,,_,,_,GK,_,KEERWAND,_,JUMBOBLOKKEN,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7e8b08dd-cf5e-4b20-bdbd-2c7e42ad4b42,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dd3bcd48-b6a0-4e03-866f-5387f1ed24db
KEERWAND_TERRE ARMEE,,_,,_,GK,_,KEERWAND,_,TERRE ARMEE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/18c5d10e-1f36-45de-a9c4-2115e1d075a2,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dd3bcd48-b6a0-4e03-866f-5387f1ed24db
KEERWAND_LEGIOBLOKKEN,,_,,_,GK,_,KEERWAND,_,LEGIOBLOKKEN,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7720f401-58a4-42fe-a357-dfa552549403,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dd3bcd48-b6a0-4e03-866f-5387f1ed24db
KEERWAND_LWAND,,_,,_,GK,_,KEERWAND,_,LWAND,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/140bdd17-3a23-4f3e-b8d3-35b9e99f2280,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dd3bcd48-b6a0-4e03-866f-5387f1ed24db
KEERWAND_SCHANSKORF,,_,,_,GK,_,KEERWAND,_,SCHANSKORF,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ec6a8bd4-d051-4bda-8c88-253453c84fdd,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/dd3bcd48-b6a0-4e03-866f-5387f1ed24db
KADEMUUR_WANDCONSTRUCTIE,,_,,_,GK,_,KADEMUUR,_,WANDCONSTRUCTIE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/8fa25175-abbb-421b-a952-cc5398081925,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e58470e-f93a-4345-bde9-9984c38ee0be
KADEMUUR_OVERBOUWD TALUD,,_,,_,GK,_,KADEMUUR,_,OVERBOUWD TALUD,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1d5d0a74-7a80-4dec-a5ab-e5f4119a1947,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e58470e-f93a-4345-bde9-9984c38ee0be
KADEMUUR_GEWICHTSCONSTRUCTIE,,_,,_,GK,_,KADEMUUR,_,GEWICHTSCONSTRUCTIE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/52cd86dd-e23b-4447-892b-dce2bd5cf343,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e58470e-f93a-4345-bde9-9984c38ee0be
KADEMUUR_ONTLASTVLOER,,_,,_,GK,_,KADEMUUR,_,ONTLASTVLOER,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ea9c93f6-4798-4b7b-98f4-723c38cafa23,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3e58470e-f93a-4345-bde9-9984c38ee0be
BESCHOEIING_COMBINATIE,,_,,_,GK,_,BESCHOEIING,_,COMBINATIE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b63d9d71-b22a-4592-9733-c114aedc9b78,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/949265e3-b2b0-4dab-8428-6d4fd21b63da
