omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
KAST_PUTKAST,,_,,_,OV,_,KAST,_,PUTKAST,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/10c7d6c2-2f80-4dd4-9c6e-d8988bedcf67,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_OVKAST,,_,,_,OV,_,KAST,_,OVKAST,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a92914a6-c819-40cc-9054-fc3a0416f389,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_TRANSFORMATORKAST,,_,,_,OV,_,KAST,_,TRANSFORMATORKAST,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f128fbbd-3f55-4506-8ec8-05c2809641bc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_DOORVERBINDINGSKAST,,_,,_,OV,_,KAST,_,DOORVERBINDINGSKAST,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/57c5e9ac-aa27-4701-a8bf-ea664c8e0fac,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_LASKAST,,_,,_,OV,_,KAST,_,LASKAST,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b3a09b1a-1e79-47ee-af76-fdb8498fbb7f,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_SEKTIEKAST,,_,,_,OV,_,KAST,_,SEKTIEKAST,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/0572ae6b-8a98-4300-9c6f-40d705d689c9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_ONTSTEEKPUNT,,_,,_,OV,_,KAST,_,ONTSTEEKPUNT,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/b680db91-f75d-4a2e-ab17-057c66dfc19e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
KAST_VOEDINGSPUNT,,_,,_,OV,_,KAST,_,VOEDINGSPUNT,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/49063385-8fa3-4ab4-a390-1c9f3a77336a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/fdabfeba-02ff-4097-8662-f8018506179f
ARMATUUR_FUNCTIONEEL,,_,,_,OV,_,ARMATUUR,_,FUNCTIONEEL,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/df7d00de-0fb7-4db6-9c74-006122d31347,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/994a0461-1390-4f22-b28d-14969b9ab478
ARMATUUR_ORIENTATIE,,_,,_,OV,_,ARMATUUR,_,ORIENTATIE,_,,_,,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6f3c48ee-308c-42e5-81b6-23a8b39c8ba9,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/994a0461-1390-4f22-b28d-14969b9ab478
