"omschrijving,""status"",""underscore"",""discipline"",""underscore2"",""hoofdgroep"",""underscore3"",""object"",""underscore4"",""subobject01"",""underscore5"",""subobject02"",""underscore6"",""subobject03"",""underscore7"",""subobject04"",""underscore8"",""subobject05"",""streepje"",""bewerking"",""streepje2"",""schaal"",""aobject"",""sobject"",""laagnaam"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""vrkl_kort"",""vrkl_lang"",""id_nummer"",""kind_van"",""objectURI"",""kind_vanURI"""
"PAAL_BETON_IN DE GRONDGEVORMD,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2752"",""2750"",""http://digitalbuildingdata.tech/nlcs/def/3f4caa4c-de15-48ae-94c7-716aaa8ce71e"",""http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768"""
"PAAL_BETON_SCHROEFPAAL,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2754"",""2750"",""http://digitalbuildingdata.tech/nlcs/def/82dc3579-8ff4-4629-97aa-7cb01f2e0371"",""http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768"""
"PAAL_BETON_PREFAB,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2751"",""2750"",""http://digitalbuildingdata.tech/nlcs/def/87244622-3bdf-4531-9809-2ff420c200ef"",""http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768"""
"PAAL_HOUT_OPLANGER,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""40"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""30"",""252"",""40"",""10"",""254"",""CONTINUOUS"","""","""",""2749"",""2748"",""http://digitalbuildingdata.tech/nlcs/def/e61fe527-d8e2-4da9-a8c2-08a7471558a3"",""http://digitalbuildingdata.tech/nlcs/def/cb01a44e-db14-4d5a-abff-948156574df2"""
"PAAL_BETON_IN DE GRONDGEVORMD_TREKPAAL,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""254"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2753"",""2752"",""http://digitalbuildingdata.tech/nlcs/def/fa6ad7e6-dc05-44b1-ba0f-d47b0c0bf387"",""http://digitalbuildingdata.tech/nlcs/def/3f4caa4c-de15-48ae-94c7-716aaa8ce71e"""
"DAMWAND,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"","""","""",""2758"","""",""http://digitalbuildingdata.tech/nlcs/def/2b9310ca-4c6e-4276-a8f2-35b06693c491"","""""
"DIEPWAND,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"",""0.25"",""60"",""252"",""30"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""60"",""252"",""30"",""10"",""254"",""CONTINUOUS"","""","""",""2757"","""",""http://digitalbuildingdata.tech/nlcs/def/742de03b-c1e5-45fb-8307-ede765c42e3b"","""""
"LEVENSDUURVERLENGENDE MAATREGEL,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"","""","""",""2768"","""",""http://digitalbuildingdata.tech/nlcs/def/bef15a0f-b966-4018-80e8-f00ecb49ecd1"","""""
"GRONDVERBETERING,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""30"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""60"",""10"",""254"",""CONTINUOUS"",""0.25"",""30"",""252"",""60"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""30"",""252"",""60"",""10"",""254"",""CONTINUOUS"","""","""",""2765"","""",""http://digitalbuildingdata.tech/nlcs/def/0c946d14-e533-47a0-9d4f-518793b1255a"","""""
"OPSTAAL,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""40"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""130"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""130"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""130"",""10"",""254"",""CONTINUOUS"","""","""",""2764"","""",""http://digitalbuildingdata.tech/nlcs/def/f89c9ed8-79c9-4c05-bc60-629755f46aed"","""""
"PAAL,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"",""0.25"",""40"",""252"",""90"",""10"",""254"",""V-CONTINUOUS-SO"",""0.25"",""40"",""252"",""90"",""10"",""254"",""CONTINUOUS"","""","""",""2747"","""",""http://digitalbuildingdata.tech/nlcs/def/2743e487-3a59-4760-b0d5-01b32e47e416"","""""
"REPARATIES,""*"","""",""**"","""",""FC"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""0.18"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""V-CONTINUOUS-SO"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"","""","""",""2767"","""",""http://digitalbuildingdata.tech/nlcs/def/4a8c1bf0-b74e-41de-bc60-6584e15e4a78"","""""
