omschrijving,objectBewerking
KANTOPSLUITING_ASFALTBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_BUSHALTEBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_GAZONBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_GELEIDEBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_OPSLUITBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_PLATEAUBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_PWSBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_RIJWIELPADBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_RWSBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_RWSBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_SCHEIDINGSBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_TROTTOIRBAND-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_TROTTOIRBAND_130 150-OP DE KOP,OP DE KOP
KANTOPSLUITING_TROTTOIRBAND_130 150-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_TROTTOIRBAND_180 200-OP DE KOP,OP DE KOP
KANTOPSLUITING_TROTTOIRBAND_180 200-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_TROTTOIRBAND_280 300-OP DE KOP,OP DE KOP
KANTOPSLUITING_TROTTOIRBAND_280 300-OPNIEUW STELLEN,OPNIEUW STELLEN
KANTOPSLUITING_TROTTOIRBAND_RWS_ZOAB-OPNIEUW STELLEN,OPNIEUW STELLEN
ONTGRAVINGSVAK-GRONDWERK,GRONDWERK
OPENVERHARDING_BETONSTRAATSTEEN-OP DE KOP,OP DE KOP
OPENVERHARDING_STRAATBAKSTEEN-OP DE KOP,OP DE KOP
OPHOGING-GRONDWERK,GRONDWERK
OVERIG_KOLK-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
OVERIG_RIOOLLEIDING-LINING,LINING
OVERIG_RIOOLLEIDING-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
OVERIG_RIOOLLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
OVERIG_RIOOLLEIDING-VOLZANDEN,VOLZANDEN
OVERIG_RIOOLPUT-LINING,LINING
OVERIG_RIOOLPUT-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
OVERIG_RIOOLPUT-VOLSCHUIMEN,VOLSCHUIMEN
OVERIG_RIOOLPUT-VOLZANDEN,VOLZANDEN
OVERIG_TRANSPORTLEIDING-LINING,LINING
OVERIG_TRANSPORTLEIDING-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
OVERIG_TRANSPORTLEIDING-VOLSCHUIMEN,VOLSCHUIMEN
OVERIG_TRANSPORTLEIDING-VOLZANDEN,VOLZANDEN
PERSLEIDING_RIOOLPUT-LINING,LINING
PERSLEIDING_RIOOLPUT-OP HOOGTE BRENGEN,OP HOOGTE BRENGEN
