hoofdgroep,objectURI,omschrijving,lineTypePropertyLabel
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c70b95ef-6f9b-4c15-a8aa-9085cda919e5,ONTWERP_ALIGNEMENT,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e3983c24-0006-4338-bebf-1033387dca60,ONTWERP_ALIGNEMENT_3D,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/814bea3c-11e1-4ea3-a495-64ea61742780,ONTWERP_ALIGNEMENT_HORIZONTAAL,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/1fa20e69-5565-4bb8-a8f6-39a0672cd19e,ONTWERP_ALIGNEMENT_HORIZONTAAL_BOOG,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/762f263b-caec-421a-8008-8b54de519113,ONTWERP_ALIGNEMENT_HORIZONTAAL_KEYPOINTS,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2725cabc-626a-4935-bc22-193d16854f21,ONTWERP_ALIGNEMENT_HORIZONTAAL_OVERGANGSBOOG,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/80d80eae-66db-4dac-ac11-67f9f541c79a,ONTWERP_ALIGNEMENT_HORIZONTAAL_RECHTSTAND,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ac761cf3-73a5-4e55-b594-4e7c8425360f,ONTWERP_ALIGNEMENT_VERTICAAL,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e6a3db71-1878-4810-9846-465409499ff4,ONTWERP_ALIGNEMENT_VERTICAAL_KEYPOINTS,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d8a2c516-99c7-4a68-8e77-3522c57d9e28,ONTWERP_LENGTEPROFIEL,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a16f8f38-8369-4397-b270-4f08c2529b40,ONTWERP_LENGTEPROFIEL_ANNOTATIE,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a75f4594-8205-4498-905f-c7e9fdc2cb07,ONTWERP_LENGTEPROFIEL_AS,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/655b7ac1-e7ea-4c33-85f0-af9e61ecf233,ONTWERP_LENGTEPROFIEL_AS_SUB VERDELING,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/f1bcccf6-9d3e-49e5-91f4-d2210d1ce40c,ONTWERP_LENGTEPROFIEL_AS_VERDELING,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d2b3f88d-6384-4e81-b724-031ff6ba70b9,ONTWERP_LENGTEPROFIEL_BESTAAND,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a9f5a793-3c09-4584-8d5a-584d8b542373,ONTWERP_LENGTEPROFIEL_BOOG,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2cefcb57-6f48-41cd-8222-b19c26c3185e,ONTWERP_LENGTEPROFIEL_ELEMENTEN,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d0f2522b-16e9-48be-b9cd-1531eda9ffba,ONTWERP_LENGTEPROFIEL_GRID,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/9469e765-d465-448f-89fc-2c6560482e9a,ONTWERP_LENGTEPROFIEL_MAATBALK,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ff486275-c038-4998-bd49-6b1d0be19708,ONTWERP_LENGTEPROFIEL_PROFIEL,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6de467c5-11ab-4d28-983d-cdc101ed88d6,ONTWERP_LENGTEPROFIEL_RECHTSTAND,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e803ddeb-0a06-4cc6-ad62-98e6a90383f4,ONTWERP_LENGTEPROFIEL_TABEL,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ebb4d61e-d335-4efc-a3e1-4e2312ac9e15,ONTWERP_REGRESSIE,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a4e49ee2-d016-4174-865c-f881110031a4,ONTWERP_REGRESSIE_1,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/3eb30a0f-0344-4f82-83c4-1dbac3149638,ONTWERP_REGRESSIE_2,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7d1e6433-8612-4a35-bd57-b28a2eaf2edb,ONTWERP_REGRESSIE_3,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a03b8dae-e762-480f-af3d-f16e4a947f1b,ONTWERP_REGRESSIE_4,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/2564ea7e-4778-48ae-8fd7-01b02a8fe057,ONTWERP_REGRESSIE_5,B linetype
SB,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/a5deaa30-e2a1-4e49-af17-1283e982b9d0,ONTWERP_REGRESSIE_6,B linetype
VH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/62aa6100-4ed8-4225-b1ed-228452544cf1,SPECIAAL,V linetype
WH,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/acfe5115-d01b-4d04-8bfe-2e55234a9e4d,NAP,N linetype
