hoofdgroep;objectURI;omschrijving;aobjectCount
GW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/fc67513b-340b-4551-877a-8f05b65a2add;GRONDSOORTEN_ZAVEL;2
GW;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/5153dd10-8497-4a58-82c6-3b4d242714c3;GRONDSOORTEN_GRIND;2
OG;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/4239ed08-06b0-4355-a91a-e014b45cfc7f;ZONE_BELEMMERING_LEIDINGSTROOK;2
OG;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/17dcb3e9-be86-4c97-956b-b89f023b3bc4;ZONE_BELEMMERING_OBJECT;2
