hoofdgroep,objectURI,omschrijving,lineWeightPropertyLabel
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7f5bc0b2-57d4-4d4c-87b1-680c550d666b,DRAINAGE_TRANSPORTLEIDING_PE_400,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/71adad6d-849f-4b0a-8600-bdfef1c5be45,DRAINAGE_TRANSPORTLEIDING_PE_450,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/71adad6d-849f-4b0a-8600-bdfef1c5be45,DRAINAGE_TRANSPORTLEIDING_PE_450,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/71adad6d-849f-4b0a-8600-bdfef1c5be45,DRAINAGE_TRANSPORTLEIDING_PE_450,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1da0439-9c30-43af-beff-1970adfe4ba6,DRAINAGE_TRANSPORTLEIDING_PE_500,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1da0439-9c30-43af-beff-1970adfe4ba6,DRAINAGE_TRANSPORTLEIDING_PE_500,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d1da0439-9c30-43af-beff-1970adfe4ba6,DRAINAGE_TRANSPORTLEIDING_PE_500,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/043e567d-f9a5-4b1b-99e0-b972d4afd988,DRAINAGE_TRANSPORTLEIDING_PE_560,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/043e567d-f9a5-4b1b-99e0-b972d4afd988,DRAINAGE_TRANSPORTLEIDING_PE_560,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/043e567d-f9a5-4b1b-99e0-b972d4afd988,DRAINAGE_TRANSPORTLEIDING_PE_560,V lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/49fb9005-590a-4c7c-992d-3adca255f937,DRAINAGE_TRANSPORTLEIDING_PE_630,N lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/49fb9005-590a-4c7c-992d-3adca255f937,DRAINAGE_TRANSPORTLEIDING_PE_630,T lineweight
RI,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/49fb9005-590a-4c7c-992d-3adca255f937,DRAINAGE_TRANSPORTLEIDING_PE_630,V lineweight
VW,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b48e513e-1fe4-48f6-80d6-d12b7b6625eb,MARKERING_DWARS_OVERSTEEK_BLOKSTREEP60,B lineweight
VW,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b48e513e-1fe4-48f6-80d6-d12b7b6625eb,MARKERING_DWARS_OVERSTEEK_BLOKSTREEP60,N lineweight
VW,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b48e513e-1fe4-48f6-80d6-d12b7b6625eb,MARKERING_DWARS_OVERSTEEK_BLOKSTREEP60,V lineweight
ZZ,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/33c428da-080b-49da-951b-0051ff11739e,(L1.8),T lineweight
ZZ,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/aa0f9d61-d66c-4d24-838d-136ebf443ec2,(L3.0),V lineweight
ZZ,http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/e126cf2e-321d-4337-adea-9591c5e60574,(M7.0),V lineweight
