sbibliotheek,symbool,fase,id,optie,fileURL
SIE,SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL_PAAL-SO,,4205,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL_PAAL-SO.dwg
SIE,SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL-SO,,4206,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_BORD_STRAATNAAMBORD_MODEL-SO.dwg
SIE,SIE-MEUBILAIR_FIETSENREK_01-SO,,4209,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_FIETSENREK_01-SO.dwg
SIE,SIE-MEUBILAIR_FIETSKLEM-SO,,4210,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_FIETSKLEM-SO.dwg
SIE,SIE-MEUBILAIR_FIETSTROMMEL-SO,,4212,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_FIETSTROMMEL-SO.dwg
SIE,SIE-MEUBILAIR_GELEIDECONSTRUCTIE-SO,,4213,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_GELEIDECONSTRUCTIE-SO.dwg
SIE,SIE-MEUBILAIR_WATERPOMP-SO,,4215,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_WATERPOMP-SO.dwg
SIE,SIE-MEUBILAIR_ZITBANK-SO,,4216,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_ZITBANK-SO.dwg
SIE,V-SIE-MEUBILAIR_BAK_BLOEMBAK-SO,,4217,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BAK_BLOEMBAK-SO.dwg
SIE,V-SIE-MEUBILAIR_BAK-SO,,4218,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BAK-SO.dwg
