hoofdgroep,object,parent,num_underscore_object,num_underscore_parent
KL,WARMTENET_BOCHT SPP_90GR_DN100 225 GB,WARMTENET_BOCHT_SPP_90GR,3,3
KL,WARMTENET_BOCHT SPP_90GR_DN100 225 OB,WARMTENET_BOCHT_SPP_90GR,3,3
