symboolURI;id;sbibliotheek;sbibliotheekURI;fase;symbool;optie;fileURL
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/16275df6-5185-4f7f-9868-0d1c2a4ef763;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;V;V-SVH-TEGEL_300X150_DUN_BLOK_01-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/V-SVH-TEGEL_300X150_DUN_BLOK_01-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/c524aec9-33b0-42e9-8173-400cc667e610;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;V;V-SKL-KB_ANODE-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/V-SKL-KB_ANODE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/0740e8d7-eb2b-400f-9b65-97222afea89b;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;B;B-SKL-KB_MEETPAAL-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/B-SKL-KB_MEETPAAL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/6a30bff0-a7db-4fff-96f6-96bf925ac541;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DUN_BLOK-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DUN_BLOK-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/b259c54b-ed1d-421d-8ba5-3af0588dcf0a;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB_ANODE-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB_ANODE-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/01341a3a-5319-498b-bc01-ddb61dc33e61;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DIK_BLOK_KL-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DIK_BLOK_KL-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/cc7ffc6e-311b-46a7-986e-5eee9621a436;;SKL;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/af14b1c9-452b-4cea-9f13-a9b9921c9163;;SKL-KB-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SKL/SKL-KB-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/d077c1a8-83a8-4697-a98a-c52c1c422ed6;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DIK_BLOK_01-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DIK_BLOK_01-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/ea7af5f3-f363-4f6c-9189-4f521b75123b;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DIK_BLOK_KL_01-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DIK_BLOK_KL_01-SO.dwg
http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/07bd4b3a-bf1c-4628-9cfe-cff0315daee6;;SVH;http://hub.laces.tech/digitalbuildingdata/nlcs/test/test/7ff261e2-5755-4912-9195-11fbfcea6093;;SVH-TEGEL_300X150_DUN_BLOK_KL-SO;SO;https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SVH/SVH-TEGEL_300X150_DUN_BLOK_KL-SO.dwg
