symboolURI,sbibliotheek,symbool,fase,id,optie,fileURL
http://digitalbuildingdata.tech/nlcs/def/db7adddc-d80f-40c5-b6a9-1b0f1032cfe7,SGR,V-SGR-BOOM-SO,,4187,SO,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SGR/V-SGR-BOOM-SO.dwg
http://digitalbuildingdata.tech/nlcs/def/299f4c21-2e52-40f4-b0b3-0d5bd773a36a,SIE,SIE-MEUBILAIR_ZITBANK-SO,,4216,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/SIE-MEUBILAIR_ZITBANK-SO.dwg
http://digitalbuildingdata.tech/nlcs/def/f0e9116b-0acf-4ce9-802e-b39d2fc31307,SIE,V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD-SO,,4227,,https://github.com/nl-digigo/NLCS/tree/main/symbolen/concept/5.1/autocad/SIE/V-SIE-MEUBILAIR_BORD_STRAATNAAMBORD-SO.dwg
