"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"MARKERING_LANGS_STREEP_93_010","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","93","_","010","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_93_010; V-SVW-MARKERING_STREEP_93_010","*_**_VW_MARKERING_LANGS_STREEP_93_010","0.13","7","7","7","7","7","VW-93_STREEP","0.13","7","7","7","7","7","VW-93_STREEP","0.13","7","7","7","7","7","V-VW-93_STREEP","0.13","7","7","7","7","7","VW-93_STREEP","","","2608","2607","http://digitalbuildingdata.tech/nlcs/def/d40ccafc-034b-4773-ba5a-1a22a7c4ed4c","http://digitalbuildingdata.tech/nlcs/def/008b20b6-5d91-473f-a6e8-7cfe6fedafe0"
"MARKERING_LANGS_STREEP_DOORGETROKKEN_045","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","DOORGETROKKEN","_","045","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_LANGS_STREEP_DOORGETROKKEN_045","0.50","7","7","7","7","7","CONTINUOUS","0.50","7","7","7","7","7","CONTINUOUS","0.50","7","7","7","7","7","V-CONTINUOUS-SO","0.50","7","7","7","7","7","CONTINUOUS","","","2585","2580","http://digitalbuildingdata.tech/nlcs/def/9fbdc68f-bed5-4931-91f8-f2645d468832","http://digitalbuildingdata.tech/nlcs/def/5b8c1fb1-25fe-44a6-998e-d7971ff2d0c1"
"MARKERING_LANGS_STREEP_DOORGETROKKEN_015","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","DOORGETROKKEN","_","015","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_LANGS_STREEP_DOORGETROKKEN_015","0.13","7","7","7","7","7","CONTINUOUS","0.13","7","7","7","7","7","CONTINUOUS","0.13","7","7","7","7","7","V-CONTINUOUS-SO","0.13","7","7","7","7","7","CONTINUOUS","","","2583","2580","http://digitalbuildingdata.tech/nlcs/def/2d2e23ba-c487-4aee-8a3c-a60c1a2a6948","http://digitalbuildingdata.tech/nlcs/def/5b8c1fb1-25fe-44a6-998e-d7971ff2d0c1"
"MARKERING_LANGS_STREEP_DOORGETROKKEN_005","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","DOORGETROKKEN","_","005","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_LANGS_STREEP_DOORGETROKKEN_005","0.13","7","7","7","7","7","CONTINUOUS","0.13","7","7","7","7","7","CONTINUOUS","0.13","7","7","7","7","7","V-CONTINUOUS-SO","0.13","7","7","7","7","7","CONTINUOUS","","","2581","2580","http://digitalbuildingdata.tech/nlcs/def/5755495a-4716-4027-a490-6d0592c05c08","http://digitalbuildingdata.tech/nlcs/def/5b8c1fb1-25fe-44a6-998e-d7971ff2d0c1"
"MARKERING_LANGS_STREEP_DOORGETROKKEN_010","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","DOORGETROKKEN","_","010","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_LANGS_STREEP_DOORGETROKKEN_010","0.13","7","7","7","7","7","CONTINUOUS","0.13","7","7","7","7","7","CONTINUOUS","0.13","7","7","7","7","7","V-CONTINUOUS-SO","0.13","7","7","7","7","7","CONTINUOUS","","","2582","2580","http://digitalbuildingdata.tech/nlcs/def/d766b1af-e1fc-4261-b039-5ca036d6419e","http://digitalbuildingdata.tech/nlcs/def/5b8c1fb1-25fe-44a6-998e-d7971ff2d0c1"
"MARKERING_LANGS_STREEP_DOORGETROKKEN_020","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","DOORGETROKKEN","_","020","_","","'-","","'-","G","'-","","","*_**_VW_MARKERING_LANGS_STREEP_DOORGETROKKEN_020","0.18","7","7","7","7","7","CONTINUOUS","0.18","7","7","7","7","7","CONTINUOUS","0.18","7","7","7","7","7","V-CONTINUOUS-SO","0.18","7","7","7","7","7","CONTINUOUS","","","2584","2580","http://digitalbuildingdata.tech/nlcs/def/99806b34-b6d9-4705-9fde-346008031939","http://digitalbuildingdata.tech/nlcs/def/5b8c1fb1-25fe-44a6-998e-d7971ff2d0c1"
"MARKERING_LANGS_STREEP_39","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","39","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_39_010; SVW-MARKERING_STREEP_39_015; SVW-MARKERING_STREEP_39_030; V-SVW-MARKERING_STREEP_39_010; V-SVW-MARKERING_STREEP_39_015; V-SVW-MARKERING_STREEP_39_030","*_**_VW_MARKERING_LANGS_STREEP_39","0.13","7","7","7","7","7","VW-39_STREEP","0.13","7","7","7","7","7","VW-39_STREEP","0.13","7","7","7","7","7","V-VW-39_STREEP","0.13","7","7","7","7","7","VW-39_STREEP","","","2601","2579","http://digitalbuildingdata.tech/nlcs/def/90b9ef4e-1677-4bd8-ae5d-e8048790e1dd","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_LANGS_STREEP_050050","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","050050","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_050050_010; SVW-MARKERING_STREEP_050050_020; V-SVW-MARKERING_STREEP_050050_010; V-SVW-MARKERING_STREEP_050050_020","*_**_VW_MARKERING_LANGS_STREEP_050050","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","V-VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","","","3551","2579","http://digitalbuildingdata.tech/nlcs/def/d2608f2c-4fac-4ebf-8e5d-6c9132fb9c56","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
"MARKERING_DWARS_OVERSTEEK_KANALISATIESTREEP50","*","_","**","_","VW","_","MARKERING","_","DWARS","_","OVERSTEEK","_","KANALISATIESTREEP50","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_050050_010; SVW-MARKERING_STREEP_050050_020; V-SVW-MARKERING_STREEP_050050_010; V-SVW-MARKERING_STREEP_050050_020","*_**_VW_MARKERING_DWARS_OVERSTEEK_KANALISATIESTREEP50","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","0.13","7","7","7","7","7","V-VW-5050_STREEP","0.13","7","7","7","7","7","VW-5050_STREEP","","","2631","2629","http://digitalbuildingdata.tech/nlcs/def/b4c6776d-d37c-4043-8f9c-9d9368942129","http://digitalbuildingdata.tech/nlcs/def/cc217a6d-7a6c-4a14-bc6c-429fdba906b9"
"MARKERING_LANGS_STREEP_13","*","_","**","_","VW","_","MARKERING","_","LANGS","_","STREEP","_","13","_","","_","","'-","","'-","G/S","'-","","SVW-MARKERING_STREEP_13_010; SVW-MARKERING_STREEP_13_015; SVW-MARKERING_STREEP_13_020; SVW-MARKERING_STREEP_13_030; SVW-MARKERING_STREEP_13_045; V-SVW-MARKERING_STREEP_13_010; V-SVW-MARKERING_STREEP_13_015; V-SVW-MARKERING_STREEP_13_020; V-SVW-MARKERING_STREEP_13_030; V-SVW-MARKERING_STREEP_13_045","*_**_VW_MARKERING_LANGS_STREEP_13","0.13","7","7","7","7","7","VW-13_STREEP","0.13","7","7","7","7","7","VW-13_STREEP","0.13","7","7","7","7","7","V-VW-13_STREEP","0.13","7","7","7","7","7","VW-13_STREEP","","","2592","2579","http://digitalbuildingdata.tech/nlcs/def/ce41855e-d93b-46d0-a51e-c0992cf59b82","http://digitalbuildingdata.tech/nlcs/def/eafae490-2cd4-4ec5-b159-1be686387f5c"
