"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"FRUITTEELT_BOOMGAARD_KLEIN FRUIT","*","_","**","_","GR","_","FRUITTEELT","_","BOOMGAARD","_","KLEIN FRUIT","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_FRUITTEELT_BOOMGAARD_KLEIN FRUIT","0.13","20","22","20","20","253","CONTINUOUS","0.35","20","22","20","20","253","CONTINUOUS","0.35","20","22","20","20","253","V-CONTINUOUS-SO","0.35","20","22","20","20","253","CONTINUOUS","","","3375","3371","http://digitalbuildingdata.tech/nlcs/def/6bc733f7-fc36-4bb5-8268-97db5672bb67","http://digitalbuildingdata.tech/nlcs/def/524d3d32-f00d-4414-ba52-42cba88b3f94"
"BEPLANTING_NATUUR_BOSPLANTSOEN","*","_","**","_","GR","_","BEPLANTING","_","NATUUR","_","BOSPLANTSOEN","_","","_","","_","","'-","","'-","G/A/S","'-","","","*_**_GR_BEPLANTING_NATUUR_BOSPLANTSOEN","0.18","90","92","90","90","253","GR-PLANTSOEN-SO","0.35","90","92","90","90","253","GR-PLANTSOEN-SO","0.35","90","92","90","90","253","V-GR-PLANTSOEN-SO","0.35","90","92","90","90","253","GR-PLANTSOEN-SO","","","2897","2896","http://digitalbuildingdata.tech/nlcs/def/0ccc7150-7468-4ae5-bd36-adc0368d5a87","http://digitalbuildingdata.tech/nlcs/def/d2277e4e-0bc3-4636-b443-4a742dcdcc31"
"BEPLANTING_CULTUUR_ROOS","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","ROOS","_","","_","","_","","'-","","'-","G/S","'-","","SGR-ROOS","*_**_GR_BEPLANTING_CULTUUR_ROOS","0.18","90","92","90","90","file:///140,168,0","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2890","2886","http://digitalbuildingdata.tech/nlcs/def/f8a84cec-7364-46c5-a21b-3c63c827c7db","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"FRUITTEELT_BOOMGAARD_HOOGSTAM","*","_","**","_","GR","_","FRUITTEELT","_","BOOMGAARD","_","HOOGSTAM","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_FRUITTEELT_BOOMGAARD_HOOGSTAM","0.13","60","62","60","60","253","CONTINUOUS","0.35","60","62","60","60","253","CONTINUOUS","0.35","60","62","60","60","253","V-CONTINUOUS-SO","0.35","60","62","60","60","253","CONTINUOUS","","","3373","3371","http://digitalbuildingdata.tech/nlcs/def/a91a97a1-909f-4be2-859e-2a23e5a21771","http://digitalbuildingdata.tech/nlcs/def/524d3d32-f00d-4414-ba52-42cba88b3f94"
"BEPLANTING_CULTUUR_BODEMBEDEKKER","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","BODEMBEDEKKER","_","","_","","_","","'-","","'-","G/S","'-","","SGR-BODEMBEDEKKER","*_**_GR_BEPLANTING_CULTUUR_BODEMBEDEKKER","0.18","90","92","90","90","file:///140,168,0","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2889","2886","http://digitalbuildingdata.tech/nlcs/def/1ae2d002-4a85-4d03-adc2-f1c486507c8a","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"FRUITTEELT_BOOMGAARD","*","_","**","_","GR","_","FRUITTEELT","_","BOOMGAARD","_","","_","","_","","_","","'-","","'-","G/S","'-","","SGR-BOOMGAARD","*_**_GR_FRUITTEELT_BOOMGAARD","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","3371","3370","http://digitalbuildingdata.tech/nlcs/def/524d3d32-f00d-4414-ba52-42cba88b3f94","http://digitalbuildingdata.tech/nlcs/def/1b395a4e-b3e2-4d76-9fba-55dc9117ebfc"
"DUIN_OPEN VEGETATIE","*","_","**","_","GR","_","DUIN","_","OPEN VEGETATIE","_","","_","","_","","_","","'-","","'-","G/S","'-","","SGR-VEGETATIE_OPEN-SO","*_**_GR_DUIN_OPEN VEGETATIE","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","3367","3366","http://digitalbuildingdata.tech/nlcs/def/a3e4c69f-6357-4684-8cd9-b265b1f44bbc","http://digitalbuildingdata.tech/nlcs/def/c53d6dfd-cc8d-42f7-99b3-16224daddda9"
"DUIN_GESLOTEN VEGETATIE","*","_","**","_","GR","_","DUIN","_","GESLOTEN VEGETATIE","_","","_","","_","","_","","'-","","'-","G/S","'-","","SGR-VEGETATIE_GESLOTEN-SO","*_**_GR_DUIN_GESLOTEN VEGETATIE","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","3368","3366","http://digitalbuildingdata.tech/nlcs/def/caa79cc1-c628-4270-a1c7-a97ed228c49e","http://digitalbuildingdata.tech/nlcs/def/c53d6dfd-cc8d-42f7-99b3-16224daddda9"
"BEPLANTING_CULTUUR_HEESTERS","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","HEESTERS","_","","_","","_","","'-","","'-","G","'-","","","*_**_GR_BEPLANTING_CULTUUR_HEESTERS","0.18","90","92","90","90","file:///140,168,0","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2888","2886","http://digitalbuildingdata.tech/nlcs/def/a56e9175-0a93-4af5-9a36-da7aeb877c7b","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
"BEPLANTING_CULTUUR_BOSPLANTSOEN","*","_","**","_","GR","_","BEPLANTING","_","CULTUUR","_","BOSPLANTSOEN","_","","_","","_","","'-","","'-","G/S/A","'-","","","*_**_GR_BEPLANTING_CULTUUR_BOSPLANTSOEN","0.18","90","92","90","90","file:///140,168,0","GR-PLANTSOEN-SO","0.35","90","92","90","90","253","GR-PLANTSOEN-SO","0.35","90","92","90","90","253","V-GR-PLANTSOEN-SO","0.35","90","92","90","90","253","GR-PLANTSOEN-SO","","","2887","2886","http://digitalbuildingdata.tech/nlcs/def/62124d7f-8f57-44a8-8998-83d28f1db5b7","http://digitalbuildingdata.tech/nlcs/def/c835d8ea-decb-46bc-9997-2e7babfd861c"
