"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"NAP","*","_","**","_","ZZ","_","NAP","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_NAP","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","AL-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","","","2706","","http://digitalbuildingdata.tech/nlcs/def/04cd2ed8-738a-4136-9efb-8f29490d41fe",""
"NAP","*","_","**","_","ZZ","_","NAP","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_NAP","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","AL-NAP_LIJN-SO","0.18","7","7","7","7","253","AL-NAP_LIJN-SO","","","2706","","http://digitalbuildingdata.tech/nlcs/def/04cd2ed8-738a-4136-9efb-8f29490d41fe",""
"NAP","*","_","**","_","ZZ","_","NAP","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_NAP","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","AL-NAP_LIJN-SO","","","2706","","http://digitalbuildingdata.tech/nlcs/def/04cd2ed8-738a-4136-9efb-8f29490d41fe",""
"NAP","*","_","**","_","ZZ","_","NAP","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_NAP","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","AL-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","","","2706","","http://digitalbuildingdata.tech/nlcs/def/04cd2ed8-738a-4136-9efb-8f29490d41fe",""
"NAP","*","_","**","_","ZZ","_","NAP","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_NAP","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","0.18","7","7","7","7","253","ZZ-NAP_LIJN-SO","","","2706","","http://digitalbuildingdata.tech/nlcs/def/04cd2ed8-738a-4136-9efb-8f29490d41fe",""
"GRENS","*","_","**","_","ZZ","_","GRENS","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_ZZ_GRENS","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","","","4086","","http://digitalbuildingdata.tech/nlcs/def/d9de1aa0-f0aa-4eaa-a1ee-85e067444633",""
"(M)","*","_","**","_","ZZ","_","(M)","_","","_","","_","","_","","_","","'-","","'-","M","'-","","","*_**_ZZ_(M)","0.18","7","7","7","7","253","CONTINUOUS","0.18","7","7","7","7","253","CONTINUOUS","0.18","7","7","7","7","253","CONTINUOUS","0.18","7","7","7","7","253","CONTINUOUS","","","2699","","http://digitalbuildingdata.tech/nlcs/def/8bbe6ab4-c853-43a5-bbdf-069e9b4f94a0",""
"(T3.0)","*","_","**","_","ZZ","_","(T3.0)","_","","_","","_","","_","","_","","'-","","'-","T30","'-","","","*_**_ZZ_(T3.0)","0.35","160","160","160","160","253","CONTINUOUS","0.35","160","160","160","160","253","CONTINUOUS","0.35","160","160","160","160","253","CONTINUOUS","0.35","160","160","160","160","253","CONTINUOUS","","","2695","","http://digitalbuildingdata.tech/nlcs/def/fc66e1ef-e512-4005-8f17-cc6ec68a5592",""
"(T2.5)","*","_","**","_","ZZ","_","(T2.5)","_","","_","","_","","_","","_","","'-","","'-","T25","'-","","","*_**_ZZ_(T2.5)","0.25","7","7","7","7","253","CONTINUOUS","0.25","7","7","7","7","253","CONTINUOUS","0.25","7","7","7","7","253","CONTINUOUS","0.25","7","7","7","7","253","CONTINUOUS","","","2694","","http://digitalbuildingdata.tech/nlcs/def/019819cf-f049-47f6-965c-2f8f39a4b09e",""
"(T1.8)","*","_","**","_","ZZ","_","(T1.8)","_","","_","","_","","_","","_","","'-","","'-","T18","'-","","","*_**_ZZ_(T1.8)","0.18","10","10","10","10","253","CONTINUOUS","0.18","10","10","10","10","253","CONTINUOUS","0.18","10","10","10","10","253","CONTINUOUS","0.18","10","10","10","10","253","CONTINUOUS","","","2693","","http://digitalbuildingdata.tech/nlcs/def/a5ab75dc-0703-4819-9c1f-b797774b1c09",""
