"searchterm","arceringURI","id","abibliotheekURI","abibliotheek","fase","arcering","finalCleanName","optie","schaal","vrkl_kort","vrkl_lang","fileURL"
"GROND","http://digitalbuildingdata.tech/nlcs/def/5dd99e90-ad40-4faf-8203-7ee74535f392","360","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_TEELAARDE-SOD","GROND_TEELAARDE","SOD","1","teelaarde","90,0,0,0,1.0","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_TEELAARDE-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/34bce621-225d-47cc-b436-36b2322be985","361","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_VEEN-SOD","GROND_VEEN","SOD","1","veen","000,0.00000,0.00000,0.00000,2.50000","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_VEEN-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/b40f9980-f3f3-443e-8ae3-b51ba54ac4cc","362","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_ZAND-SOD","GROND_ZAND","SOD","1","zand","37.5,0,0,1.123,1.567,0,-1.52,0,-1.7,0,-1.625 7.5,0,0,2.123,2.567,0,-.82,0,-1.37,0,-.525 -32.5,-1.23,0,2.6234,1.678,0,-.5,0,-1.8,0,-2.35 -42.5,-1.23,0,1.6234,2.678,0,-.25,0,-1.18,0,-1.35","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_ZAND-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/35c4c94f-fe90-4806-afa4-7417d024ce6f","363","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_ZAVEL-SOD","GROND_ZAVEL","SOD","1","zavel","0,0,0,2,1,2,-2","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_ZAVEL-SOD.pat"
"WERK","http://digitalbuildingdata.tech/nlcs/def/86b41a3e-ab02-4c69-9935-cc3fecb90fc6","364","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-WERK_AANVULLEN-SOD","WERK_AANVULLEN","SOD","1","grondaanvullen","45,0,0,0,5.0","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-WERK_AANVULLEN-SOD.pat"
"WERK","http://digitalbuildingdata.tech/nlcs/def/ee86be0c-6031-4790-85de-79764df4fcbd","365","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-WERK_FREZEN-SOD","WERK_FREZEN","SOD","1","frezen","45,0,0,1,1,1,-1 135,1.41,1.41,1,1,1,-1","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-WERK_FREZEN-SOD.pat"
"WERK","http://digitalbuildingdata.tech/nlcs/def/37cbe59e-4350-426e-827a-6c439465823c","366","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-WERK_ONTGRAVEN-SOD","WERK_ONTGRAVEN","SOD","1","grondontgraven","135,0,0,0,5.0","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-WERK_ONTGRAVEN-SOD.pat"
"WERK","http://digitalbuildingdata.tech/nlcs/def/01300723-d554-4fac-a776-7bc98359ceec","382","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-WERK_ONTGRAVEN_AANVULLEN-SOD","WERK_ONTGRAVEN_AANVULLEN","SOD","1","grondontgravenenaanvullen","135,0,0,0,5.0 45,0,0,0,5.0","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-WERK_ONTGRAVEN_AANVULLEN-SOD.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/284adcd3-a08e-4b29-b406-413fd78b87b3","443","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_GROND-SO","GROND_GROND","SO","1","grond type grond","000,0.00,0.75,2.5,2.5,2.5,-2.5 000,0.00,1.75,2.5,2.5,2.5,-2.50 90,0.75,2.50,2.5,2.5,2.5,-2.5 090,1.75,2.50,2.5,2.5,2.5,-2.5","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_GROND-SO.pat"
"GROND","http://digitalbuildingdata.tech/nlcs/def/7d3f3063-d126-4558-97ff-1c324bf98c5d","444","http://digitalbuildingdata.tech/nlcs/def/946c3e94-1761-4094-a4e5-f0d1118c4694","AGW","","AGW-GROND_GROND-SOD","GROND_GROND","SOD","1","grond type grond","000,0.00,0.75,2.5,2.5,2.5,-2.5 000,0.00,1.75,2.5,2.5,2.5,-2.5 090,0.75,2.50,2.5,2.5,2.5,-2.5 090,1.75,2.50,2.5,2.5,2.5,-2.5","https://github.com/nl-digigo/NLCS/tree/main/arceringen/concept/5.1/AGW-GROND_GROND-SOD.pat"
