oordeel,bestand,omschrijving,autocaddef
VARIANT: s=1,lijntypes-5-2-KL.csv,V-KL-BUNDEL-SO,"A,14,[VERWIJDEREN2,NLCS.shx,s=1],14,-5,[flash,NLCS.SHX,s=.75],-5,[flash,NLCS.SHX,s=.75],-5,[flash,NLCS.SHX,s=.75],-5,[flash,NLCS.SHX,s=.75],-5"
VARIANT: s=1 + x-offset,lijntypes-5-2-AM.csv,V-AM-AS-SO,"A,10,[VERWIJDEREN2,NLCS.SHX,x=-5,s=1],-2,2,-2"
exact,lijntypes-5-2-AM.csv,V-AM-AS_SPOOR-SO,"A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-1,1,-1"
exact,lijntypes-5-2-BV.csv,V-BV-GELEIDERAIL_K-SO,"A,2,-1,[GELEIDERAIL-K,NLCS.SHX,s=0.5],-1,2,-1,[GELEIDERAIL-K,NLCS.SHX,s=0.5],-1,2,-1,[GELEIDERAIL-K,NLCS.SHX,s=0.5],-1,2,-2,[VERWIJDEREN2,NLCS.SHX,s=0.5],-2"
exact,lijntypes-5-2-BV.csv,V-BV-LEUNING-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,[CIRC,NLCS.SHX,s=0.2],1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1"
exact,lijntypes-5-2-BV.csv,V-BV-RWS-SO,"A,0.5,[STEPBARRIER-S,NLCS.SHX,x=.5,s=1],-1,[STEPBARRIER-S,NLCS.SHX,x=.5,s=1],-1,0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
exact,lijntypes-5-2-BV.csv,V-BV-SAFEGUARD-SO,"A,0.5,-2,[SAFEGUARD,NLCS.SHX,x=-1,s=1],0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
exact,lijntypes-5-2-BV.csv,V-BV-SLIPFORM-SO,"A,1,-1,[SLIBFORM,NLCS.SHX,x=-1,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
exact,lijntypes-5-2-BV.csv,V-BV-STEPBARRIER-SO,"A,1,-1,[STEPBARRIER,NLCS.SHX,x=-1,s=1],1,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
exact,lijntypes-5-2-BV.csv,V-BV-VARIOGUARD-SO,"A,0.5,-2,[VARIOGUARD,NLCS.SHX,x=-1,s=1],0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
exact,lijntypes-5-2-BV.csv,V-BV-VECUSEC-SO,"A,0.5,-2,[VECUSEC,NLCS.SHX,x=-1,s=1],0.5,-1,[VERWIJDEREN2,NLCS.SHX,s=0.5],-1"
exact,lijntypes-5-2-CO.csv,V-BC-KABEL-SO,"A,10,-1,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-1"
exact,lijntypes-5-2-CO.csv,V-BC-STORTNAAD-SO,"A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7-1,[ZZ,NLCS.SHX,S=1],-1"
exact,lijntypes-5-2-CO.csv,V-MC-HYDRAULIEKVORM_SCHEMA_BEHUIZING-SO,"A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
exact,lijntypes-5-2-CO.csv,V-MC-HYDRAULIEKVORM_SCHEMA_LEIDING_STUUR-SO,"A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
exact,lijntypes-5-2-CO.csv,V-MC-PNEUMATIEKVORM_SCHEMA_BEHUIZING-SO,"A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
exact,lijntypes-5-2-GK.csv,V-GK-BESCHOEIING-SO,"A,1.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.25,[CIRC1,NLCS,s=0.50,r=270],1.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.25"
exact,lijntypes-5-2-GK.csv,V-GK-DAMWAND-SO,"A,1.00,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.00,[RH1,NLCS,s=0.25,y=0.25],-2.00,1.00,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.00"
exact,lijntypes-5-2-GK.csv,V-GK-PALENRIJ-SO,"A,0,-0.50,[CIRKEL,NLCS.SHX,s=0.50],0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-0.50"
exact,lijntypes-5-2-GR.csv,V-GR-HAAG1-SO,"A,3,[VERWIJDEREN2,NLCS.shx,s=0.5],3,[HAAG1,NLCS.shx,s=0.125],-2"
exact,lijntypes-5-2-GR.csv,V-GR-HAAG2-SO,"A,3,[VERWIJDEREN2,NLCS.shx,s=0.5],3,[HAAG2,NLCS.shx,s=0.5],-2"
exact,lijntypes-5-2-GR.csv,V-GR-HAAG3-SO,"A,3,[VERWIJDEREN2,NLCS.shx,s=0.5],3,[HAAG3,NLCS.shx,s=0.1815],-2"
exact,lijntypes-5-2-GW.csv,V-GW-GRONDWERK_ONDERWATER-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
exact,lijntypes-5-2-GW.csv,V-GW-MAAIVELD-SO,"A,4,[VERWIJDEREN2,NLCS.SHX,s=0.5],12,[MAAIVELD,NLCS.SHX,y=-0.50,s=1],12"
exact,lijntypes-5-2-GW.csv,V-GW-RAAI-SO,"A,7.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],7.5,-1,2,-1"
exact,lijntypes-5-2-IW.csv,V-IW-DRIP-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""DRI\"",standard,U=0.0,x=-0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-IW.csv,V-IW-VRI-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""VRI\"",standard,U=0.0,x=-0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-AARDING-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""A\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-2"
exact,lijntypes-5-2-KL.csv,V-KL-BEWEGWIJZERING-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""BEW\"",standard,U=0.0,x=-0.9,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-BRANDSTOF-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""B\"",standard,U=0.0,x=-0.15,y=-.5,s=1],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-CAI-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""C\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-CHEMIE-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2"
exact,lijntypes-5-2-KL.csv,V-KL-COMBIKABEL-SO,"A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-1,0,-1,5,-1"
exact,lijntypes-5-2-KL.csv,V-KL-CV-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-1.5,[\""CV\"",standard,U=0.0,s=1,r=0.0,x=-0.5,y=-.5],-3"
exact,lijntypes-5-2-KL.csv,V-KL-DATA-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""D\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-DATA_GLASVEZEL_BORING-SO,"A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-1,1,-1"
exact,lijntypes-5-2-KL.csv,V-KL-DATA_PRORAIL-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-2,[\""PR\"",standard,U=0.0,s=1,r=0.0,x=-0.9,y=-0.5],-1,4,-1,[\""PR\"",standard,U=0.0,s=1,r=0.0,x=0,y=-0.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-DEF-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-2,[\""DEF\"",standard,U=0.0,s=1,r=0.0,x=-1.5,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-DRIP-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""DRI\"",standard,U=0.0,x=-0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-ELECTRICITEIT-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-0.5,[flash,NLCS.SHX,s=.75,r=0.0,x=.75,y=0],-2"
exact,lijntypes-5-2-KL.csv,V-KL-GAS_AL-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-0.5,[CIRC,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2"
exact,lijntypes-5-2-KL.csv,V-KL-GAS_HD-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[CIRC,NLCS.SHX,s=0.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""H\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-2"
exact,lijntypes-5-2-KL.csv,V-KL-GAS_LD-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[CIRC,NLCS.SHX,s=0.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""L\"",standard,U=0.0,s=1,r=0.0,x=.25,y=-.5],-2"
exact,lijntypes-5-2-KL.csv,V-KL-GLASVEZEL-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""G\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-GMS-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""GMS\"",standard,U=0.0,x=-0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-HARTLIJN TRACE-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
exact,lijntypes-5-2-KL.csv,V-KL-HS-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""H\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-2"
exact,lijntypes-5-2-KL.csv,V-KL-KOUDENET AANVOER-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""KA"",NLCS-ISO,S=1,U=0.0,X=-0.75,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-KOUDENET BRONLEIDING-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""KB"",NLCS-ISO,S=1,U=0.0,X=-0.70,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-KOUDENET RETOUR-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""KR"",NLCS-ISO,S=1,U=0.0,X=-0.70,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-KOUDENET-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-1.5,[\""KN\"",standard,U=0.0,s=1,r=0.0,x=-0.3,y=-.5],-3"
exact,lijntypes-5-2-KL.csv,V-KL-LS-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""L\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-2"
exact,lijntypes-5-2-KL.csv,V-KL-MONITORING-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""MON\"",standard,U=0.0,x=-0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-MS-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""M\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-2"
exact,lijntypes-5-2-KL.csv,V-KL-OLIE-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-0.5,[VERT,NLCS.SHX,s=0.5,r=0.0,x=0.75,y=0],-2"
exact,lijntypes-5-2-KL.csv,V-KL-SIGNAALKABEL-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""SI\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-STROOK-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
exact,lijntypes-5-2-KL.csv,V-KL-STUURKABEL-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""S\"",standard,U=0.0,s=1,r=0.0,x=-.25,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-TDI-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""TDI\"",standard,U=0.0,x=-0.5,y=-0.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-TELECOM-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-1,[v,NLCS.SHX,s=.5],-1"
exact,lijntypes-5-2-KL.csv,V-KL-TELPUNT-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""TP\"",standard,U=0.0,x=1,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-TRACE-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
exact,lijntypes-5-2-KL.csv,V-KL-UWKS-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""UWKS\"",standard,U=0.0,x=-0.6,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-VRI-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""VRI\"",standard,U=0.0,x=-0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-VS-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""VS\"",standard,U=0.0,x=0.5,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-WAN-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[v,NLCS.SHX,s=.5],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-2,[\""WAN\"",standard,U=0.0,s=1,r=0.0,x=-1.75,y=-.5],-1.5"
exact,lijntypes-5-2-KL.csv,V-KL-WARMTENET AANVOER-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""WA"",NLCS-ISO,S=1,U=0.0,X=-0.90,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-WARMTENET BRONLEIDING-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""WB"",NLCS-ISO,S=1,U=0.0,X=-0.85,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-WARMTENET MANTELBUIS-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""WMB"",NLCS-ISO,S=1,U=0.0,X=-1.30,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-WARMTENET RETOUR-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,S=0.5],3.5,-2,[""WR"",NLCS-ISO,S=1,U=0.0,X=-0.85,Y=-0.50],-2"
exact,lijntypes-5-2-KL.csv,V-KL-WARMTENET-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-1.5,[\""WN\"",standard,U=0.0,s=1,r=0.0,x=-0.3,y=-.5],-3"
exact,lijntypes-5-2-KL.csv,V-KL-WATER-SO,"A,3.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],3.5,-0.5,[WGOLF,NLCS.SHX,s=.75,r=0.0,x=0.75,y=0],-2"
exact,lijntypes-5-2-KL.csv,V-KL-WEESLEIDING-SO,"A,0.25,-4,[VERWIJDEREN2,NLCS.SHX,s=0.5],-4"
exact,lijntypes-5-2-KL.csv,V-KL-WIM-SO,"A,8,[VERWIJDEREN2,NLCS.SHX,s=0.5],14,[VERWIJDEREN2,NLCS.SHX,s=0.5],8,-1,[\""WIM\"",standard,U=0.0,x=-0.1,y=-.9,s=1],-5"
exact,lijntypes-5-2-KL.csv,V-KL-ZHS-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-2,[\""ZHS\"",standard,U=0.0,s=1,r=0.0,x=-0.7,y=-.5],-3"
exact,lijntypes-5-2-KW.csv,V-KW-PVR-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.5"
exact,lijntypes-5-2-KW.csv,V-KW-ZICHTRUIMTE-SO,"A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-4.5"
exact,lijntypes-5-2-MO.csv,V-MO-ARCHEOLOGIE-SO,"A,3.5,-5,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-5,7,-2.5,[ARCHEOLOGIE,NLCS.SHX,s=0.3],-2.5,3.5"
exact,lijntypes-5-2-MO.csv,V-MO-BODEM_CONTOUR_INTERVENTIEWAARDE-SO,"A,8.625,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-BODEMTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-7,[MAAIVELD,NLCS.SHX,s=1.8],-7,5"
exact,lijntypes-5-2-MO.csv,V-MO-BORDER-SO,"A,12.5,-2.5,1,-2.5,12.5,-2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],-2.5"
exact,lijntypes-5-2-MO.csv,V-MO-EXPLOSIEVEN-SO,"A,8.625,-4,[EXPLOSIEF,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-GELUIDINTERVENTIEWAARDE-SO,"A,8.625,-4,[GELUID,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-GELUIDTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[GELUID,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-MO.csv,V-MO-GEURINTERVENTIEWAARDE-SO,"A,8.625,-4,[GEUR,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-GEURTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[GEUR,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-MO.csv,V-MO-GRONDWATERINTERVENTIEWAARDE-SO,"A,8.625,-4,[GRONDWATER,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-GRONDWATERTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[GRONDWATER,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-MO.csv,V-MO-LICHTINTERVENTIEWAARDE-SO,"A,8.625,-4,[LICHT,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-LICHTTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[LICHT,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-MO.csv,V-MO-LUCHTINTERVENTIEWAARDE-SO,"A,8.625,-4,[WOLK,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-LUCHTTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[WOLK,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-MO.csv,V-MO-STRALINGINTERVENTIEWAARDE-SO,"A,8.625,-4,[STRALING,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-STRALINGTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[STRALING,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-MO.csv,V-MO-TRILLINGINTERVENTIEWAARDE-SO,"A,8.625,-4,[TRILLING,NLCS.SHX,s=0.8],-4,17.25,[VERWIJDEREN2,NLCS.SHX,s=0.5],8.625"
exact,lijntypes-5-2-MO.csv,V-MO-TRILLINGTUSSENWAARDE-SO,"A,5,-7.25,0,[VERWIJDEREN2,NLCS.SHX,s=0.5],-7.25,10,-4,[TRILLING,NLCS.SHX,s=0.8],-4,5"
exact,lijntypes-5-2-OB.csv,V-OB-BESCHOEIING-SO,"A,10,[VERWIJDEREN2,NLCS.SHX,s=0.5],10,-3.5,[BESCHOEIING,NLCS.SHX,s=0.5],-3.5"
exact,lijntypes-5-2-OB.csv,V-OB-PEILVLAK-SO,"A,3,[VERWIJDEREN2,NLCS.SHX,s=0.5],3,-1.5"
exact,lijntypes-5-2-OB.csv,V-OB-PERKOEN-SO,"A,0,-1,[CIRKEL,NLCS.SHX,s=1],-2,[CIRKEL,NLCS.SHX,s=1],-2,[CIRKEL,NLCS.SHX,s=1],-6,[VERWIJDEREN2,NLCS.SHX,s=0.5],-6"
exact,lijntypes-5-2-OB.csv,V-OB-SCHANSKORF-SO,"A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-1,[BLOK5-V,NLCS.SHX,s=2,x=-0.5],-1"
exact,lijntypes-5-2-OG.csv,V-OG-BEBOUWING_FUNDERING-SO,"A,1.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],1.5,-2,0,-2"
exact,lijntypes-5-2-OG.csv,V-OG-BESCHERMDSTADSGEZICHT-SO,"A,2.375,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.375,-2,[SGZ,NLCS.SHX,s=1],-2"
exact,lijntypes-5-2-OV.csv,V- OV-STROOK-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
exact,lijntypes-5-2-OV.csv,V-OV-AARDING-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[\""A\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-2"
exact,lijntypes-5-2-OV.csv,V-OV-COMBIKABEL-SO,"A,2.5,[VERWIJDEREN2,NLCS.SHX,s=0.5],2.5,-1,0,-1,5,-1"
exact,lijntypes-5-2-OV.csv,V-OV-KABEL-SO,"A,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1,[flash,NLCS.SHX,s=.75],-1,2,[VERWIJDEREN2,NLCS.SHX,s=0.5],2,-1.5,[\""0V\"",standard,U=0.0,s=1,r=0.0,x=0,y=-.5],-3"
exact,lijntypes-5-2-OV.csv,V-OV-KABEL_AARDING-SO,"A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""A\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
exact,lijntypes-5-2-OV.csv,V-OV-KABEL_BUNDEL-SO,"A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""B\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
exact,lijntypes-5-2-OV.csv,V-OV-KABEL_SIGNAAL-SO,"A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""S\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
exact,lijntypes-5-2-OV.csv,V-OV-KABEL_VOEDING-SO,"A,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-1,[\""OV\"",standard,U=0.0,x=0.5,y=-.9,s=1.8],-5,7,[VERWIJDEREN2,NLCS.SHX,s=0.5],7,-.5,[\""V\"",standard,U=0.0,x=-0.15,y=-.9,s=1.8],-1.5"
exact,lijntypes-5-2-OV.csv,V-OV-KABELKOKER-SO,"A,0,-3,[DUB3,NLCS.SHX,s=1],-6,[DUB3,NLCS.SHX],-6,[DUB3,NLCS.SHX],-6,[VERWIJDEREN2,NLCS.SHX,s=0.5],-3"
exact,lijntypes-5-2-OV.csv,V-OV-TRACE-SO,"A,1,[VERWIJDEREN2,NLCS.SHX,s=0.5],1,-2"
