"hoofdgroep,""id_nummer"",""omschrijving"",""kind_van"",""status"",""discipline"",""lw_b"",""kl_b"",""kl_b_a"",""kl_b_gd"",""kl_b_gn"",""kl_b_v"",""lt_b"",""lw_n"",""kl_n"",""kl_n_a"",""kl_n_gd"",""kl_n_gn"",""kl_n_v"",""lt_n"",""lw_t"",""kl_t"",""kl_t_a"",""kl_t_gd"",""kl_t_gn"",""kl_t_v"",""lt_t"",""lw_v"",""kl_v"",""kl_v_a"",""kl_v_gd"",""kl_v_gn"",""kl_v_v"",""lt_v"",""element"",""vrkl_kort"""
"OG,""3529"",""WATER_SLIK"",""1619"",""*"",""**"",""0.18"",""170"",""172"",""170"",""170"",""115,233,255"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""175,205,225"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"",""0.25"",""170"",""172"",""170"",""170"",""253"",""CONTINUOUS"","""",""SL"""
"OG,""1619"",""WATER"","""",""*"",""**"",""0.18"",""130"",""132"",""130"",""130"",""190,232,255"",""CONTINUOUS"",""0.25"",""130"",""132"",""130"",""130"",""253"",""CONTINUOUS"",""0.25"",""130"",""132"",""130"",""130"",""253"",""CONTINUOUS"",""0.25"",""130"",""132"",""130"",""130"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""3240"",""WEG_RIJCURVE"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""1618"",""WEG_STRAATNAAM"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""3158"",""BEBOUWING_HOOGTESCHEIDING"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""1617"",""BEBOUWING_HUISNUMMER"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""3174"",""BEBOUWING_PIJLER VIADUCT"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3166"",""BEBOUWING_MOLEN"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3162"",""BEBOUWING_KOLOM GEBOUW"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3178"",""BEBOUWING_TUSSENMUUR"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3154"",""BEBOUWING_FUNDERING"",""1616"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""OG-BEBOUWING_FUNDERING-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""OG-BEBOUWING_FUNDERING-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""OG-BEBOUWING_FUNDERING-SO"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-OG-BEBOUWING_FUNDERING-SO"","""","""""
"OG,""3446"",""WATER_SLOOT"",""1619"",""*"",""**"",""0.18"",""120"",""122"",""120"",""120"",""115,233,255"",""CONTINUOUS"",""0.25"",""120"",""122"",""120"",""120"",""40,200,70"",""CONTINUOUS"",""0.25"",""120"",""122"",""120"",""120"",""253"",""CONTINUOUS"",""0.25"",""120"",""122"",""120"",""120"",""253"",""CONTINUOUS"","""","""""
"OG,""1629"",""HOOGTELIJN_MAJOR"",""1627"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""1628"",""HOOGTELIJN_MINOR"",""1627"",""*"",""**"",""0.18"",""253"",""253"",""253"",""253"",""253"",""CONTINUOUS"",""0.18"",""253"",""253"",""253"",""253"",""253"",""CONTINUOUS"",""0.18"",""253"",""253"",""253"",""253"",""253"",""CONTINUOUS"",""0.18"",""253"",""253"",""253"",""253"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""3278"",""TERREIN_KOPPELING"",""3264"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3290"",""TERREIN_ONBEGROEID"",""3264"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""255,255,255"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""240,225,180"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""1623"",""TERREIN_CULTUURSCHEIDING"",""3264"",""*"",""**"",""0.18"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""252"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""252"",""7"",""7"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""3442"",""TERREIN_ERF"",""3264"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""255,255,255"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""40,200,70"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""1614"",""GRONDGEBRUIK_NIET INGERICHT"",""1612"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.25"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.25"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.25"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""1613"",""GRONDGEBRUIK_INGERICHT"",""1612"",""*"",""**"",""0.18"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.25"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.25"",""40"",""42"",""40"",""40"",""253"",""CONTINUOUS"",""0.25"",""40"",""42"",""40"",""40"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""2546"",""LIGPLAATS_GEVAARLIJKE LADING"",""2545"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""V-CONTINUOUS-SO"","""","""""
"OG,""3183"",""BEBOUWING_WONINGBOUW_WONINGSCHEIDING"",""3182"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3048"",""BEBOUWING_TANK_PROPAAN"",""3046"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"","""","""""
"OG,""3047"",""BEBOUWING_TANK_AARDGAS"",""3046"",""*"",""**"",""0.18"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"",""0.35"",""10"",""12"",""10"",""10"",""253"",""CONTINUOUS"","""","""""
"OG,""3291"",""TERREIN_ONBEGROEID_STRAND"",""3290"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""255,255,153"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""255,255,145"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3443"",""TERREIN_ONBEGROEID_ZANDVERSTUIVING"",""3290"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""255,255,153"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""240,225,180"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""","""""
"OG,""3225"",""WEG_BUSBAAN"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""205,205,205"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""",""V"""
"OG,""3227"",""WEG_FIETSENSTALLING"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""205,205,205"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""",""V"""
"OG,""3237"",""WEG_PARKEERSECTIE"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""205,205,205"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""",""V"""
"OG,""3229"",""WEG_ONVERHARD"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""205,205,205"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""",""V"""
"OG,""3228"",""WEG_HOOFDSTRUCTUUR"",""1620"",""*"",""**"",""0.18"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""205,205,205"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"",""0.25"",""7"",""7"",""7"",""7"",""253"",""CONTINUOUS"","""",""V"""
