15  pijlverdrre_500                         mk-**-pijlverdrijf500         *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlverdrre_500
16  pijlverdrli_500                         mk-**-pijlverdrijf500         *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlverdrli_500
17  pijlreli_500                            mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlreli_500
18  max50_500                               mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 max50_500
19  max70_500                               mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 max70_500
20  voorrang_500                            mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 voorrang_500
21  stop_500                                mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 stop_500
22  fiets_500                               mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 fiets_500
23  bus_500                                 mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 bus_500
24  pijlrd_750                              mk-**-pijlrd750               *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlrd_750
25  pijlre_750                              mk-**-pijlre750               *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlre_750
26  pijlli_750                              mk-**-pijlli750               *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlli_750
27  pijlliverbod_750                        mk-**-pijlliverbod750         *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlliverbod_750
28  pijlreverbod_750                        mk-**-pijlreverbod750         *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlreverbod_750
29  combili_750                             mk-**-combili750              *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 combili_750
30  combire_750                             mk-**-combire750              *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 combire_750
31  pijlverdrre_750                         mk-**-pijlverdrijf750         *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlverdrre_750
32  pijlverdrli_750                         mk-**-pijlverdrijf750         *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 pijlverdrli_750
33  max50_750                               mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 max50_750
34  max70_750                               mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 max70_750
35  voorrang_750                            mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 voorrang_750
36  stop_750                                mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 stop_750
37  fiets_750                               mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 fiets_750
38  bus_750                                 mk-**-vlakmark                *                             *                             22   2    1    1              11   markeringen                   .                                                 .                                                 .                                                 bus_750
*Wegbouwkundige-elementen                                                                                                                  89 
1   gazonband_100x200                       *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 gazonband_100x200
2   gazonband_120x200                       *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 gazonband_120x200
3   gazonband_60x200                        *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 gazonband_60x200
4   gazonband_80x200                        *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 gazonband_80x200
5   geleideband_70_200x150                  *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 geleideband_70_200x150
6   geleideband_70_200x200                  *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 geleideband_70_200x200
7   inritband_130_150x180                   *                             *                             *                             22   2    1    1              10   wegbouwkundige_elementen      .                                                 .                                                 .                                                 inritband_130_150x180
