6   verkeerslicht                           wm-**-verkeerslicht           *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 verkeerslicht
7   windzak                                 wm-**-overig                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 windzak
*DTB Markeringen                                                                                                                           10 
1   pijl                                    mk-**-pijlrd750               *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering rechtdoor
2   pijlcl                                  mk-**-combili750              *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering rechtdoor/linksaf
3   pijlcr                                  mk-**-combire750              *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering rechtdoor/rechtsaf
4   pijlclr                                 mk-**-overig                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering rechtdoor/rechtsaf/linksaf
5   pijll                                   mk-**-pijlli750               *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering linksaf
6   pijlr                                   mk-**-pijlre750               *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering rechtsaf
7   pijllr                                  mk-**-overig                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 pijlmarkering linksaf/rechtsaf
8   pijlvl                                  mk-**-pijlverdrijf750         *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 verdrijfpijl links
9   pijlvr                                  mk-**-pijlverdrijf750         *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 verdrijfpijl rechts
10  glasbolreflec                           mk-**-overig                  *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 glasbolreflector
*DTB Inrichtingselement                                                                                                                    16 
1   brandkraan                              og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 brandkraan
2   brievenbus                              og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 brievenbus
3   camera                                  og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 camera
4   halte                                   og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 halte
5   hoogtepunt                              og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 hoogtepunt
6   kast                                    og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 kast
7   leidingmerkpaal                         og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 leidingmerkpaal
8   lichtpunt                               og-**-inrichtingselement      *                             *                             12   2    1    1              00   dtb                           .                                                 .                                                 .                                                 lichtpunt
