OMSCHRIJVING,STATUS,-,DISCIPLINE,-,HOOFDGROEP,-,OBJECT,_,SUBOBJECT01,_,SUBOBJECT02,_,SUBOBJECT03,_,SUBOBJECT04,_,SUBOBJECT05,-,BEWERKING,-,ELEMENT,-,SCHAAL,ARCERING,SYMBOOL,LAAGNAAM,B lineweight,B color,B color A,B color GD,B color GN,B color V,B linetype,N lineweight,N color,N color A,N color GD,N color GN,N color V,N linetype,V lineweight,V color,V color A,V color GD,V color GN,V color V,V linetype,T lineweight,T color,T color A,T color GD,T color GN,T color V,T linetype,VRKL_kort,VRKL_lang,VERSIE,WIJZIGING,STATUS,ID,KIND_VAN
FAUNAPASSAGE_AMFIBIEENTUNNEL,*,-,**,-,FV,-,FAUNAPASSAGE,_,AMFIBIEENTUNNEL,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_AMFIBIEENTUNNEL-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,251,244
FAUNAPASSAGE_BOOMBRUG,*,-,**,-,FV,-,FAUNAPASSAGE,_,BOOMBRUG,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_BOOMBRUG-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,252,244
FAUNAPASSAGE_BRUGDOORLOPENDEOEVER,*,-,**,-,FV,-,FAUNAPASSAGE,_,BRUGDOORLOPENDEOEVER,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_BRUGDOORLOPENDEOEVER-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,247,244
FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING,*,-,**,-,FV,-,FAUNAPASSAGE,_,BRUGDUIKERMETFAUNAVOORZIENING,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,255,244
FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING_FLORAROL,*,-,**,-,FV,-,FAUNAPASSAGE,_,BRUGDUIKERMETFAUNAVOORZIENING,_,FLORAROL,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING_FLORAROL-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,257,255
FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING_LOOPPLANK,*,-,**,-,FV,-,FAUNAPASSAGE,_,BRUGDUIKERMETFAUNAVOORZIENING,_,LOOPPLANK,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_BRUGDUIKERMETFAUNAVOORZIENING_LOOPPLANK-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,256,255
FAUNAPASSAGE_DASSENTUNNEL,*,-,**,-,FV,-,FAUNAPASSAGE,_,DASSENTUNNEL,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_DASSENTUNNEL-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,250,244
FAUNAPASSAGE_ECODUCT,*,-,**,-,FV,-,FAUNAPASSAGE,_,ECODUCT,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_ECODUCT-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,245,244
FAUNAPASSAGE_ECODUIKER,*,-,**,-,FV,-,FAUNAPASSAGE,_,ECODUIKER,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_ECODUIKER-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,248,244
FAUNAPASSAGE_FAUNATUNNEL,*,-,**,-,FV,-,FAUNAPASSAGE,_,FAUNATUNNEL,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_FAUNATUNNEL-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,249,244
FAUNAPASSAGE_HOPOVER,*,-,**,-,FV,-,FAUNAPASSAGE,_,HOPOVER,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_HOPOVER-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,253,244
FAUNAPASSAGE_VIADUCT,*,-,**,-,FV,-,FAUNAPASSAGE,_,VIADUCT,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_VIADUCT-G,0.18,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,2.3,,,246,244
FAUNAPASSAGE_VISTRAP,*,-,**,-,FV,-,FAUNAPASSAGE,_,VISTRAP,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_VISTRAP-G,0.18,90,90,90,80,204,100,110,CONTINUOUS,0.35,90,90,90,80,253,CONTINUOUS,0.35,90,90,90,80,253,V-CONTINUOUS-SO,0.25,90,90,90,80,253,CONTINUOUS,,,5.0,KLEUR B color V AANGEPAST IVM MAPPING BGT,GEWIJZIGD,254,244
FAUNAPASSAGE_WILDRICHEL,*,-,**,-,FV,-,FAUNAPASSAGE,_,WILDRICHEL,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAPASSAGE_WILDRICHEL-G,0.18,80,80,80,80,253,CONTINUOUS,0.35,80,80,80,80,253,CONTINUOUS,0.35,80,80,80,80,253,V-CONTINUOUS-SO,0.35,80,80,80,80,253,CONTINUOUS,,,3.1,NIEUW,NIEUW,2881,244
FAUNAVOORZIENING,*,-,**,-,FV,-,FAUNAVOORZIENING,,,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,278,0
FAUNAVOORZIENING_AFSCHERMINGLICHT,*,-,**,-,FV,-,FAUNAVOORZIENING,_,AFSCHERMINGLICHT,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_AFSCHERMINGLICHT-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,287,278
FAUNAVOORZIENING_GRONDDAM,*,-,**,-,FV,-,FAUNAVOORZIENING,_,GRONDDAM,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_GRONDDAM-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,283,278
FAUNAVOORZIENING_LICHTKOKER,*,-,**,-,FV,-,FAUNAVOORZIENING,_,LICHTKOKER,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_LICHTKOKER-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,288,278
FAUNAVOORZIENING_LICHTKOKER_DICHT,*,-,**,-,FV,-,FAUNAVOORZIENING,_,LICHTKOKER,_,DICHT,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_LICHTKOKER_DICHT-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,290,288
FAUNAVOORZIENING_LICHTKOKER_OPEN,*,-,**,-,FV,-,FAUNAVOORZIENING,_,LICHTKOKER,_,OPEN,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_LICHTKOKER_OPEN-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,289,288
FAUNAVOORZIENING_LOOPPLANK,*,-,**,-,FV,-,FAUNAVOORZIENING,_,LOOPPLANK,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_LOOPPLANK-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,284,278
FAUNAVOORZIENING_LOOPPLANK_BETON,*,-,**,-,FV,-,FAUNAVOORZIENING,_,LOOPPLANK,_,BETON,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_LOOPPLANK_BETON-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,285,284
FAUNAVOORZIENING_LOOPPLANK_HOUT,*,-,**,-,FV,-,FAUNAVOORZIENING,_,LOOPPLANK,_,HOUT,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_LOOPPLANK_HOUT-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,286,284
FAUNAVOORZIENING_TERUGKEERVOORZIENING,*,-,**,-,FV,-,FAUNAVOORZIENING,_,TERUGKEERVOORZIENING,,,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_TERUGKEERVOORZIENING-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,279,278
FAUNAVOORZIENING_TERUGKEERVOORZIENING_DASSENPOORT,*,-,**,-,FV,-,FAUNAVOORZIENING,_,TERUGKEERVOORZIENING,_,DASSENPOORT,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_TERUGKEERVOORZIENING_DASSENPOORT-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,282,279
FAUNAVOORZIENING_TERUGKEERVOORZIENING_INSPRINGVOORZIENING,*,-,**,-,FV,-,FAUNAVOORZIENING,_,TERUGKEERVOORZIENING,_,INSPRINGVOORZIENING,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_TERUGKEERVOORZIENING_INSPRINGVOORZIENING-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,280,279
FAUNAVOORZIENING_TERUGKEERVOORZIENING_UITTREEVOORZIENING,*,-,**,-,FV,-,FAUNAVOORZIENING,_,TERUGKEERVOORZIENING,_,UITTREEVOORZIENING,,,,,,,,,-,G,,,,,*-**-FV-FAUNAVOORZIENING_TERUGKEERVOORZIENING_UITTREEVOORZIENING-G,0.18,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,CONTINUOUS,0.35,70,72,70,70,253,V-CONTINUOUS-SO,0.25,70,72,70,70,253,CONTINUOUS,,,2.3,,,281,279
GELEIDING,*,-,**,-,FV,-,GELEIDING,,,,,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,265,0
GELEIDING_STOBBENWAL,*,-,**,-,FV,-,GELEIDING,_,STOBBENWAL,,,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING_STOBBENWAL-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,277,265
GELEIDING_WILDRASTER,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,,,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,266,265
GELEIDING_WILDRASTER_AMFIBIE,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,_,AMFIBIE,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER_AMFIBIE-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,271,266
GELEIDING_WILDRASTER_AMFIBIE_ROND,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,_,AMFIBIE,_,ROND,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER_AMFIBIE_ROND-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,272,271
GELEIDING_WILDRASTER_AMFIBIE_VIERKANT,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,_,AMFIBIE,_,VIERKANT,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER_AMFIBIE_VIERKANT-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,273,271
GELEIDING_WILDRASTER_BOOMMARTER,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,_,BOOMMARTER,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER_BOOMMARTER-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,275,266
GELEIDING_WILDRASTER_DAS,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,_,DAS,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER_DAS-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,270,266
GELEIDING_WILDRASTER_EDELHERT,*,-,**,-,FV,-,GELEIDING,_,WILDRASTER,_,EDELHERT,,,,,,,,,-,G,,,,,*-**-FV-GELEIDING_WILDRASTER_EDELHERT-G,0.18,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,CONTINUOUS,0.35,80,82,80,80,253,V-CONTINUOUS-SO,0.25,80,82,80,80,253,CONTINUOUS,,,2.3,,,267,266
