name;hoofdNames;topNames;numUri
BOOM_LAAGSTAM_MET KLUIT;GR;NLCS-object;1
BOOM_LAAGSTAM_3E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_1E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_2E GROOTTE;GR;NLCS-object;1
BOOM_LAAGSTAM_IN CONTAINER;GR;NLCS-object;1
FRUITTEELT_BOOMGAARD_WIJN;GR;NLCS-object;1
FRUITTEELT_BOOMGAARD_LAAGSTAM;GR;NLCS-object;1
FRUITTEELT_BOOMGAARD_KLEIN FRUIT;GR;NLCS-object;1
FRUITTEELT_BOOMGAARD_HOOGSTAM;GR;NLCS-object;1
BEPLANTING_OEVERBEPLANTING_RIET;GR;NLCS-object;1
BOOM_KNOT_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_STAAK_2E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_STAAK_1E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_STAAK_3E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_KNOT_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_LEI_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_LEI_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_LEI_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_LEI_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
BOOM_LEI_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_LEI_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_LEI_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_LEI_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_LEI_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_VORM_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
BOOM_VORM_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_VORM_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_VORM_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_VORM_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_VORM_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_VORM_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_VORM_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_VORM_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_IN CONTAINER_3E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_MET KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_MET KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_MET KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_BEVEERD_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_ZONDER KLUIT_2E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_ZONDER KLUIT_1E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_ZONDER KLUIT_3E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_IN CONTAINER_2E GROOTTE;GR;NLCS-object;1
BOOM_HOOGSTAM_IN CONTAINER_1E GROOTTE;GR;NLCS-object;1
