"FASE","BIB","ARCERING","opt","ID","VRKL_KORT","VRKL_LANG","STATUS"
"","AVH","AVH-FUNDERING_02-SOD","SOD","144","fundering","","*"
"","AVH","AVH-FUNDERING_GRANULAAT_BETON-SOD","SOD","153","betongranulaat","","*"
"","AVH","AVH-FUNDERING_GRANULAAT_LAVA-SOD","SOD","155","lava","","*"
"","AVH","AVH-FUNDERING_GRANULAAT_PUIN-SOD","SOD","158","halfverharding","","*"
"","AVH","AVH-FUNDERING_GRAN_SINTELS-SOD","SOD","159","sintels","","*"
"","AVH","AVH-FUNDERING_BIMS-SOD","SOD","145","bims","","*"
"","AVH","AVH-FUNDERING_GRANULAAT-SOD","SOD","152","granulaat","","*"
"","AVH","AVH-FUNDERING_GRAN_KLEIKORR-SOD","SOD","154","kleikorrels","","*"
"","AVH","AVH-TEGEL_BLOK_STIP_01-SO","SO","248","tegelsblokverband+dot","","*"
"","AVH","AVH-TEGEL_1000X1000_HALFST-SO","SO","222","tegel1mx1mhalfsteensverband","","*"
"","AVH","AVH-TEGEL_1000X1000_HALFST-SO","SO","316","tegel1mx1mhalfsteensverband","","*"
"","AVH","AVH-TEGEL_2000X2000_HALFST-SO","SO","226","tegel2mx2mhalfsteensverband","","*"
"","AVH","AVH-TEGEL_2000X2000_HALFST-SO","SO","321","tegel2mx2mhalfsteensverband","","*"
"","AVH","AVH-TEGEL_400X400_HALFST_02-SO","SO","333","tegels400x400metpuntjesenschuinelijn","","*"
"","AVH","AVH-TEGEL_400X400_HALFST_02-SO","SO","238","tegels400x400metpuntjesenschuinelijn","","*"
"","AVH","AVH-TEGEL_300X300_HALFST-SO","SO","329","betontegels30x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_300X300_HALFST-SO","SO","234","betontegels30x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X600_HALFST-SO","SO","230","betontegels20x60halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X600_HALFST-SO","SO","325","betontegels20x60halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X200_HALFST-SO","SO","228","betontegels20x20halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X200_HALFST-SO","SO","323","betontegels20x20halfsteensverband","","*"
"","AVH","AVH-TEGEL_150X300_HALFST-SO","SO","319","betontegels15x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_150X300_HALFST-SO","SO","224","betontegels15x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_400X400_HALFST_03-SO","SO","334","tegels400x400metschuinelijn","","*"
"","AVH","AVH-TEGEL_400X400_HALFST_03-SO","SO","239","tegels400x400metschuinelijn","","*"
"","AVH","AVH-TEGEL_BLOK_STIP_02-SO","SO","249","tegelsblokverband+dot","","*"
"","AVH","AVH-TEGEL_600X600_HALFST_STIP-SO","SO","342","tegels600x600blokverband","","*"
"","AVH","AVH-TEGEL_600X600_HALFST_STIP-SO","SO","247","tegels600x600blokverband","","*"
"","AVH","AVH-TEGEL_VARIABEL_HALFST-SO","SO","219","tegelverhardinghalfsteensverbandvariabel","","*"
"","AVH","AVH-TEGEL_300X150_HALFST-SO","SO","326","betontegels30x15halfsteensverband","","*"
"","AVH","AVH-TEGEL_300X150_HALFST-SO","SO","231","betontegels30x15halfsteensverband","","*"
"","AVH","AVH-TEGEL_300X200_HALFST-SO","SO","232","betontegels30x20halfsteensverband","","*"
"","AVH","AVH-TEGEL_300X200_HALFST-SO","SO","327","betontegels30x20halfsteensverband","","*"
"","AVH","AVH-TEGEL_500X500_HALFST-SO","SO","338","tegels400x400halfsteensverband","","*"
"","AVH","AVH-TEGEL_500X500_HALFST-SO","SO","243","tegels400x400halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X300_HALFST-SO","SO","229","betontegels20x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X300_HALFST-SO","SO","324","betontegels20x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_400X400_BLOK-SO","SO","235","tegels400x400blokverband","","*"
"","AVH","AVH-TEGEL_400X400_BLOK-SO","SO","330","tegels400x400blokverband","","*"
"","AVH","AVH-TEGEL_400X600_BLOK-SO","SO","335","betontegels40x60blokverband","","*"
"","AVH","AVH-TEGEL_400X600_BLOK-SO","SO","240","betontegels40x60blokverband","","*"
"","AVH","AVH-TEGEL_300X300_BLOK-SO","SO","328","betontegels30x30blokverband","","*"
"","AVH","AVH-TEGEL_300X300_BLOK-SO","SO","233","betontegels30x30blokverband","","*"
"","AVH","AVH-TEGEL_600X600_HALFST-SO","SO","341","betontegels60x60halfsteensverband","","*"
"","AVH","AVH-TEGEL_600X600_HALFST-SO","SO","246","betontegels60x60halfsteensverband","","*"
"","AVH","AVH-TEGEL_200X200_BLOK-SO","SO","227","betontegels20x20blokverband","","*"
"","AVH","AVH-TEGEL_200X200_BLOK-SO","SO","322","betontegels20x20blokverband","","*"
"","AVH","AVH-TEGEL_VARIABEL_BLOK-SO","SO","218","tegelverhardingblokverbandvariabel","","*"
"","AVH","AVH-TEGEL_600X600_BLOK-SO","SO","340","tegels600x600","","*"
"","AVH","AVH-TEGEL_600X600_BLOK-SO","SO","245","tegels600x600","","*"
"","AVH","AVH-TEGEL_1000X500_HALFST-SO","SO","255","betontegels1000x500halfsteensverband","","*"
"","AVH","AVH-TEGEL_1000X500_HALFST-SO","SO","317","betontegels1000x500halfsteensverband","","*"
"","AVH","AVH-TEGEL_400X400_HALFST-SO","SO","331","tegels400x400halfsteensverband","","*"
"","AVH","AVH-TEGEL_400X400_HALFST-SO","SO","236","tegels400x400halfsteensverband","","*"
"","AVH","AVH-TEGEL_2000X2000_BLOK-SO","SO","225","tegel2mx2m","","*"
"","AVH","AVH-TEGEL_2000X2000_BLOK-SO","SO","320","tegel2mx2m","","*"
"","AVH","AVH-TEGEL_1000X1000_BLOK-SO","SO","221","tegel1mx1m","","*"
"","AVH","AVH-TEGEL_1000X1000_BLOK-SO","SO","315","tegel1mx1m","","*"
"","AVH","AVH-TEGEL_100X300_HALFST-SO","SO","223","betontegels15x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_100X300_HALFST-SO","SO","318","betontegels15x30halfsteensverband","","*"
"","AVH","AVH-TEGEL_500X500_BLOK-SO","SO","337","tegels500x500blokverband","","*"
"","AVH","AVH-TEGEL_500X500_BLOK-SO","SO","242","tegels500x500blokverband","","*"
"","AVH","AVH-TEGEL_600X200_HALFST-SO","SO","339","betontegels60x20halfsteensverband","","*"
"","AVH","AVH-TEGEL_600X200_HALFST-SO","SO","244","betontegels60x20halfsteensverband","","*"
"","AVH","AVH-TEGEL_400X600_HALFST-SO","SO","336","betontegels40x60halfsteensverband","","*"
"","AVH","AVH-TEGEL_400X600_HALFST-SO","SO","241","betontegels40x60halfsteensverband","","*"
"","AVH","AVH-TEGEL-SOD","SOD","442","tegel","","*"
"","AVH","AVH-TEGEL_ZESKANT-SO","SO","220","zeskanttegels","","*"
"","AVH","AVH-TEGEL_400X400_HALFST_01-SO","SO","332","tegels400x400metpuntjes","","*"
"","AVH","AVH-TEGEL_400X400_HALFST_01-SO","SO","237","tegels400x400metpuntjes","","*"
"","AVH","AVH-FLOWBLOCK-SO","SO","395","flowblock","","*"
"","AVH","AVH-FLOWBLOCK-SO","SO","277","flowblock","","*"
"","AVH","AVH-SBS_WAALFORMAAT_BLOK-SO","SO","311","waalformaatblokverband","","*"
"","AVH","AVH-SBS_WAALFORMAAT_BLOK-SO","SO","210","waalformaatblokverband","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_KEPER-SO","SO","432","lingeformaatkeperverband","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_KEPER-SO","SO","433","lingeformaatkeperverband","","*"
"","AVH","AVH-SBS_KEIFORMAAT-SOD","SOD","435","sbskeiformaat","","*"
"","AVH","AVH-SBS_WAALFORMAAT_HALFST-SO","SO","209","halfssteensverband+punt","","*"
"","AVH","AVH-SBS_WAALFORMAAT_HALFST-SO","SO","313","halfssteensverband+punt","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_DRIEKWART","","345","lingeformaatdriekwartbandplat","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_DRIEKWART","","346","lingeformaatdriekwartbandplat","","*"
"","AVH","AVH-SBS_KEIFORMAAT_KEPER-SO","SO","431","keiformaatkeperverband","","*"
"","AVH","AVH-SBS_KEIFORMAAT_KEPER-SO","SO","430","keiformaatkeperverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT_BLOK-SO","SO","199","dikformaatblokverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT_BLOK-SO","SO","302","dikformaatblokverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT_HALFST-SO","SO","201","dikformaathalfsteensverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT_HALFST-SO","SO","304","dikformaathalfsteensverband","","*"
"","AVH","AVH-SBS_KEIFORMAAT_BLOK-SO","SO","203","straatbaksteenblokverband(patroonbssmetpuntj","","*"
"","AVH","AVH-SBS_KEIFORMAAT_BLOK-SO","SO","306","straatbaksteenblokverband(patroonbssmetpuntj","","*"
"","AVH","AVH-SBS_KEIFORMAAT_ELLEBOOG-SO","SO","308","elleboogverband+punt","","*"
"","AVH","AVH-SBS_KEIFORMAAT_ELLEBOOG-SO","SO","205","elleboogverband+punt","","*"
"","AVH","AVH-SBS_WAALFORMAAT_ELLEBOOG-SO","SO","312","waalformaatelleboogverband","","*"
"","AVH","AVH-SBS_WAALFORMAAT_ELLEBOOG-SO","SO","208","waalformaatelleboogverband","","*"
"","AVH","AVH-SBS_LINGEFORMAAT-SOD","SOD","436","sbslingeformaat","","*"
"","AVH","AVH-SBS_KEIFORMAAT_HALFST-SO","SO","207","halfssteensverband+punt","","*"
"","AVH","AVH-SBS_KEIFORMAAT_HALFST-SO","SO","310","halfssteensverband+punt","","*"
"","AVH","AVH-SBS_DIKFORMAAT_ELLEBOOG-SO","SO","200","dikformaatelleboogverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT_ELLEBOOG-SO","SO","303","dikformaatelleboogverband","","*"
"","AVH","AVH-SBS_WAALFORMAAT_KEPER-SO","SO","211","waalformaatkeperverband","","*"
"","AVH","AVH-SBS_WAALFORMAAT_KEPER-SO","SO","314","waalformaatkeperverband","","*"
"","AVH","AVH-SBS_WAALFORMAAT-SOD","SOD","437","sbswaalformaat","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_HALFST","","350","lingeformaathalfsteensverband","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_HALFST","","349","lingeformaathalfsteensverband","","*"
"","AVH","AVH-SBS_KEIFORMAAT_DUBBEL-SO","SO","307","dubbelsteensverbandmetpuntjes","","*"
"","AVH","AVH-SBS_KEIFORMAAT_DUBBEL-SO","SO","204","dubbelsteensverbandmetpuntjes","","*"
"","AVH","AVH-SBS_DIKFORMAAT_KEPER-SO","SO","305","dikformaatkeperverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT_KEPER-SO","SO","202","dikformaatkeperverband","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_KLEZOOR","","352","klezoorverbandlingeformaat","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_KLEZOOR","","351","klezoorverbandlingeformaat","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_ELLEBOOG","","348","lingeformaatelleboogverband","","*"
"","AVH","AVH-SBS_LINGEFORMAAT_ELLEBOOG","","347","lingeformaatelleboogverband","","*"
"","AVH","AVH-SBS_DIKFORMAAT-SOD","SOD","434","sbsdikformaat","","*"
"","AVH","AVH-BENTONIET-SO","SO","112","bentoniet","","*"
"","AVH","AVH-BENTONIET-SO","SO","369","bentoniet","","*"
"","AVH","AVH-SIERTEGEL-SO","SO","217","siertegel","","*"
"","AVH","AVH-SIERTEGEL-SO","SO","427","siertegel","","*"
"","AVH","AVH-BETON_SCHRAAL-SO","SO","117","schraalbeton","","*"
"","AVH","AVH-BETON_SCHRAAL-SO","SO","394","schraalbeton","","*"
"","AVH","AVH-BETON_GEWAPEND-SO","SO","116","betongewapend","","*"
"","AVH","AVH-BETON_GEWAPEND-SO","SO","371","betongewapend","","*"
"","AVH","AVH-BETON-SO","SO","370","betoninsitu","","*"
"","AVH","AVH-BETON-SO","SO","115","betoninsitu","","*"
"","AVH","AVH-BETONPLAAT_BLOK-SO","SO","118","bedrijfsvloerplaten2mx2m","","*"
"","AVH","AVH-BETONPLAAT_HALFST-SO","SO","120","bedrijfsvloerplaten2mx2mhalfsteensverband","","*"
"","AVH","AVH-BETONPLAAT_BLOK_RAND-SO","SO","119","betonplatenmetrand","","*"
"","AVH","AVH-METSELWERK-SO","SO","176","metselwerk","","*"
"","AVH","AVH-GRASTEGEL-SO","SO","399","grastegel","","*"
"","AVH","AVH-GRASTEGEL-SO","SO","166","grastegel","","*"
"","AVH","AVH-GRASTEGEL_STIP-SO","SO","167","grastegelmetpuntjes","","*"
"B","AVH","B-AVH-ASFALT-SOD","ASFALT-SOD","392","asfaltbestaand","","*"
"","AVH","AVH-ASFALT-SO","SO","367","asfalt","","*"
"","AVH","AVH-ASFALT-SO","SO","108","asfalt","","*"
"","AVH","AVH-ASFALT_LAAG1-SOD","SOD","273","asfaltdoorsnedelaag1","","*"
"","AVH","AVH-ASFALT_LAAG3-SOD","SOD","281","asfaltdoorsnedelaag3","","*"
"","AVH","AVH-ASFALT_FREESVAK-SO","SO","142","freesvak","","*"
"","AVH","AVH-ASFALT_LAAG2-SOD","SOD","280","asfaltdoorsnedelaag2","","*"
"","AVH","AVH-ASFALT_B-SO","SO","109","asfaltbestaand","","*"
"","AVH","AVH-HOUTSNIPPERS-SO","SO","405","houtsnippers","","*"
"","AVH","AVH-HOUTSNIPPERS-SO","SO","173","houtsnippers","","*"
"","AVH","AVH-BOUWWEG-SO","SO","121","bouwweg","","*"
"","AVH","AVH-BOUWWEG-SO","SO","417","bouwweg","","*"
"","AVH","AVH-GRAVEL-SO","SO","400","gravel","","*"
"","AVH","AVH-GRAVEL-SO","SO","279","gravel","","*"
"","AVH","AVH-HSTEEN-SO","SO","174","h-stenen","","*"
"","AVH","AVH-HSTEEN-SO","SO","406","h-stenen","","*"
"","AVH","AVH-DELTA-SO","SO","141","deltastenen","","*"
"","AVH","AVH-DELTA-SO","SO","419","deltastenen","","*"
"","AVH","AVH-NATUURSTEEN_LOSVERBAND_02-SO","SO","184","natuursteenlosverband02","","*"
"","AVH","AVH-NATUURSTEEN_01-SO","SO","179","natuursteen01","","*"
"","AVH","AVH-NATUURSTEEN_KINDERKOP-SO","SO","409","natuursteen_kinderkop","","*"
"","AVH","AVH-NATUURSTEEN_KINDERKOP-SO","SO","409","kinderkophalfsteensverband","","*"
"","AVH","AVH-NATUURSTEEN_KINDERKOP-SO","SO","177","natuursteen_kinderkop","","*"
"","AVH","AVH-NATUURSTEEN_KINDERKOP-SO","SO","177","kinderkophalfsteensverband","","*"
"","AVH","AVH-NATUURSTEEN-SO","SO","408","natuursteen","","*"
"","AVH","AVH-NATUURSTEEN-SO","SO","178","natuursteen","","*"
"","AVH","AVH-NATUURSTEEN_03-SO","SO","181","natuursteen03","","*"
"","AVH","AVH-NATUURSTEEN_04-SO","SO","182","natuursteen04","","*"
"","AVH","AVH-NATUURSTEEN_LOSVERBAND_01-SO","SO","183","natuursteenlosverband01","","*"
"","AVH","AVH-NATUURSTEEN_02-SO","SO","180","natuursteen02","","*"
"","AVH","AVH-GESLOTEN-SO","SO","278","gesloten","","*"
"","AVH","AVH-GESLOTEN-SO","SO","373","gesloten","","*"
"","AVH","AVH-GRASBETONSTEEN_02-SO","SO","162","grasbetonsteen02","","*"
"","AVH","AVH-GRASBETONSTEEN_04-SO","SO","164","grasbetonsteen04","","*"
"","AVH","AVH-GRASBETONSTEEN_01-SO","SO","161","grasbetonsteen01","","*"
"","AVH","AVH-GRASBETONSTEEN_03-SO","SO","163","grasbetonsteen03","","*"
"","AVH","AVH-GRASBETONSTEEN-SOD","SOD","397","grasbetonsteen","","*"
"","AVH","AVH-SPECIAAL_02-SO","SO","416","speciaal02","","*"
"","AVH","AVH-SPECIAAL_02-SO","SO","416","verbindingssteen","","*"
"","AVH","AVH-SPECIAAL_02-SO","SO","216","speciaal02","","*"
"","AVH","AVH-SPECIAAL_02-SO","SO","216","verbindingssteen","","*"
"","AVH","AVH-SPECIAAL_01-SO","SO","415","userpattern","","*"
"","AVH","AVH-SPECIAAL_01-SO","SO","415","speciaal01","","*"
"","AVH","AVH-SPECIAAL_01-SO","SO","215","userpattern","","*"
"","AVH","AVH-SPECIAAL_01-SO","SO","215","speciaal01","","*"
"","AVH","AVH-KALKZANDSTEEN-SO","SO","175","kalkzandsteen","","*"
"","AVH","AVH-KALKZANDSTEEN-SO","SO","407","kalkzandsteen","","*"
"","AVH","AVH-BASALT-SO","SO","393","basalt","","*"
"","AVH","AVH-BASALT-SO","SO","393","basaltverharding","","*"
"","AVH","AVH-BASALT-SO","SO","110","basalt","","*"
"","AVH","AVH-BASALT-SO","SO","110","basaltverharding","","*"
"","AVH","AVH-HALFVERHARDING_GRIND_02-SO","SO","170","grind02","","*"
"","AVH","AVH-HALFVERHARDING_GRIND-SOD","SOD","402","grind","","*"
"","AVH","AVH-HALFVERHARDING_SCHELPEN-SO","SO","403","schelpen","","*"
"","AVH","AVH-HALFVERHARDING_SCHELPEN-SO","SO","403","halfverharding","","*"
"","AVH","AVH-HALFVERHARDING_SCHELPEN-SO","SO","172","schelpen","","*"
"","AVH","AVH-HALFVERHARDING_SCHELPEN-SO","SO","172","halfverharding","","*"
"","AVH","AVH-HALFVERHARDING_GRIND_01-SO","SO","169","grind01","","*"
"","AVH","AVH-HALFVERHARDING-SO","SO","401","halfverharding","","*"
"","AVH","AVH-HALFVERHARDING-SO","SO","168","halfverharding","","*"
"","AVH","AVH-HALFVERHARDING_GRIND_03-SO","SO","171","grind03","","*"
"","AVH","AVH-PUINVERHARDING-SO","SO","414","puinverharding","","*"
"","AVH","AVH-PUINVERHARDING-SO","SO","197","puinverharding","","*"
"","AVH","AVH-BASALTON-SO","SO","368","grindbetonzuilenbasaltonnieuw","","*"
"","AVH","AVH-BASALTON-SO","SO","111","grindbetonzuilenbasaltonnieuw","","*"
"","AVH","AVH-GRASPLAAT-SO","SO","165","grasplaat","","*"
"","AVH","AVH-GRASPLAAT-SO","SO","165","grasplatenkunststof","","*"
"","AVH","AVH-GRASPLAAT-SO","SO","398","grasplaat","","*"
"","AVH","AVH-GRASPLAAT-SO","SO","398","grasplatenkunststof","","*"
"","AVH","AVH-COBBLESTONE-SO","SO","140","cobblestone","","*"
"","AVH","AVH-COBBLESTONE-SO","SO","418","cobblestone","","*"
"","AVH","AVH-ROOSTER-SO","SO","198","stalenroosters","","*"
"","AVH","AVH-ROOSTER-SO","SO","424","stalenroosters","","*"
"","AVH","AVH-SIERBESTRATING_02-SO","SO","214","sierbestrating02","","*"
"","AVH","AVH-SIERBESTRATING_02-SO","SO","426","sierbestrating02","","*"
"","AVH","AVH-SIERBESTRATING_01-SO","SO","213","sierbestrating01","","*"
"","AVH","AVH-SIERBESTRATING_01-SO","SO","425","sierbestrating01","","*"
"","AVH","AVH-GRAS_GESTABILISEERD-SO","SO","160","gestabiliseerdgras","","*"
"","ACO","ACO-HOUT_02-SODMM","SODMM","19","hout02","","*"
"","ACO","ACO-HOUT_03-SODMM","SODMM","20","hout03","","*"
"","ACO","ACO-HOUT_01-SODMM","SODMM","18","hout01","","*"
"","ACO","ACO-BETON_VOORGESP_PREFAB-SODMM","SODMM","12","prefabbeton","","*"
"","ACO","ACO-BETON_BALLAST-SODMM","SODMM","4","ballastbeton","","*"
