"OMSCHRIJVING","STATUS","DISCIPLINE","Hoofdgroep","Object","SubObject01","SubObject02","SubObject03","SubObject04","SubObject05","Bewerking","Element","Arcering","Symbool","Laagnaam","BLineweight","BColor","BColorA","BColorGD","BColorGN","BColorV","B_Linetype","NLineweight","NColor","NColorA","NColorGD","NColorGN","NColorV","N_Linetype","VLineweight","VColor","VColorA","VColorGD","VColorGN","VColorV","V_Linetype","TLineweight","TColor","TColorA","TColorGD","TColorGN","TColorV","T_Linetype","VRKL_KORT","VRKL_LANG","ID","KIND_VAN"
"WATERPEIL_WINTERPEIL","*","**","WH","WATERPEIL","WINTERPEIL","","","","","","G","","","*-**-WH-WATERPEIL_WINTERPEIL-G","0.18","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3027","2681"
"DUIKER_PE","*","**","WH","DUIKER","PE","","","","","","G","","","*-**-WH-DUIKER_PE-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3037","3035"
"DUIKER_STAAL","*","**","WH","DUIKER","STAAL","","","","","","G","","","*-**-WH-DUIKER_STAAL-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3039","3035"
"DUIKER_PVC","*","**","WH","DUIKER","PVC","","","","","","G","","","*-**-WH-DUIKER_PVC-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3038","3035"
"DUIKER_BETON","*","**","WH","DUIKER","BETON","","","","","","G","","","*-**-WH-DUIKER_BETON-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3036","3035"
"GEUL_HOOGWATERGEUL","*","**","WH","GEUL","HOOGWATERGEUL","","","","","","G","","","*-**-WH-GEUL_HOOGWATERGEUL-G","0.18","150","152","150","150","0,127,255","CONTINUOUS","0.35","150","152","150","150","0,127,255","CONTINUOUS","0.35","150","152","150","150","0,127,255","V-CONTINUOUS-SO","0.35","150","152","150","150","0,127,255","CONTINUOUS","","","2664","2663"
"GEUL_NEVENGEUL","*","**","WH","GEUL","NEVENGEUL","","","","","","G","","","*-**-WH-GEUL_NEVENGEUL-G","0.18","150","152","150","150","0,255,255","CONTINUOUS","0.35","150","152","150","150","0,255,255","CONTINUOUS","0.35","150","152","150","150","0,255,255","V-CONTINUOUS-SO","0.35","150","152","150","150","0,255,255","CONTINUOUS","","","2665","2663"
"GEUL_VAARGEUL","*","**","WH","GEUL","VAARGEUL","","","","","","G","","","*-**-WH-GEUL_VAARGEUL-G","0.18","150","152","150","150","255,127,0","CONTINUOUS","0.35","150","152","150","150","255,127,0","CONTINUOUS","0.35","150","152","150","150","255,127,0","V-CONTINUOUS-SO","0.35","150","152","150","150","255,127,0","CONTINUOUS","","","2667","2663"
"GEUL_STROOMGEUL","*","**","WH","GEUL","STROOMGEUL","","","","","","G","","","*-**-WH-GEUL_STROOMGEUL-G","0.18","150","152","150","150","255,191,0","CONTINUOUS","0.35","150","152","150","150","255,191,0","CONTINUOUS","0.35","150","152","150","150","255,191,0","V-CONTINUOUS-SO","0.35","150","152","150","150","255,191,0","CONTINUOUS","","","2666","2663"
"KUNSTWERK_STUW","*","**","WH","KUNSTWERK","STUW","","","","","","G","","","*-**-WH-KUNSTWERK_STUW-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3032","3029"
"KUNSTWERK_BRUG","*","**","WH","KUNSTWERK","BRUG","","","","","","G","","","*-**-WH-KUNSTWERK_BRUG-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.25","150","152","150","150","253","V-CONTINUOUS-SO","0.25","150","152","150","150","253","CONTINUOUS","","","3030","3029"
"WVP_3e","*","**","WH","WVP","3e","","","","","","G","","","*-**-WH-WVP_3e-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","2687","2684"
"WVP_1e","*","**","WH","WVP","1e","","","","","","G","","","*-**-WH-WVP_1e-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","2685","2684"
"WVP_2e","*","**","WH","WVP","2e","","","","","","G","","","*-**-WH-WVP_2e-G","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","2686","2684"
"GROND","*","**","GR","GROND","","","","","","","G/A/S","AGR:AGR-GROND","SGR:SGR-GROND","*-**-GR-GROND-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.25","90","92","90","90","253","CONTINUOUS","0.25","90","92","90","90","253","V-CONTINUOUS-SO","0.25","90","92","90","90","253","CONTINUOUS","","","399",""
"SOORTAANDUIDING","*","**","GR","SOORTAANDUIDING","","","","","","","S","","SGR:SGR-SOORTAANDUIDING","*-**-GR-SOORTAANDUIDING-S","0.13","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","354",""
"HOUTOPSTAND","*","**","GR","HOUTOPSTAND","","","","","","","G/A/S","AGR:AGR-HOUTOPSTAND","SGR:SGR-HOUTOPSTAND","*-**-GR-HOUTOPSTAND-G/A/S","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","368",""
"SPORTVELD","*","**","GR","SPORTVELD","","","","","","","G/S/A","AGR:AGR-SPORTVELD_GRAS_KUNST","SGR:SGR-SPORTVELD_GRAS","*-**-GR-SPORTVELD-G/S/A","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","406",""
"SPORTVELD","*","**","GR","SPORTVELD","","","","","","","G/S/A","AGR:AGR-SPORTVELD_GRAS_NATUUR","SGR:SGR-SPORTVELD_GRAS","*-**-GR-SPORTVELD-G/S/A","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","406",""
"BOS","*","**","GR","BOS","","","","","","","G/A/S","AGR:AGR-BOS","SGR:SGR-BOS","*-**-GR-BOS-G/A/S","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","356",""
"GRAS","*","**","GR","GRAS","","","","","","","G/A/S","AGR:AGR-GRAS","SGR:SGR-GRAS","*-**-GR-GRAS-G/A/S","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","401",""
"GROENSTROOK","*","**","GR","GROENSTROOK","","","","","","","G","","","*-**-GR-GROENSTROOK-G","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","379",""
"PERK","*","**","GR","PERK","","","","","","","G","","","*-**-GR-PERK-G","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","378",""
"BOOMTEELT","*","**","GR","BOOMTEELT","","","","","","","G/S","","SGR:SGR-BOOMTEELT","*-**-GR-BOOMTEELT-G/S","0.13","110","112","110","110","253","CONTINUOUS","0.35","110","112","110","110","253","CONTINUOUS","0.35","110","112","110","110","253","V-CONTINUOUS-SO","0.35","110","112","110","110","253","CONTINUOUS","","","3376",""
"BEPLANTING","*","**","GR","BEPLANTING","","","","","","","G/A/S","AGR:AGR-BEPLANTING","SGR:SGR-BEPLANTING","*-**-GR-BEPLANTING-G/A/S","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2885",""
"HONDENTOILET","*","**","GR","HONDENTOILET","","","","","","","G/S","","SGR:SGR-HONDENTOILET","*-**-GR-HONDENTOILET-G/S","0.13","30","32","120","120","253","CONTINUOUS","0.35","30","32","120","120","253","CONTINUOUS","0.35","30","32","120","120","253","V-CONTINUOUS-SO","0.35","30","32","120","120","253","CONTINUOUS","","","413",""
"HEIDE","*","**","GR","HEIDE","","","","","","","G/S","","SGR:SGR-HEIDE","*-**-GR-HEIDE-G/S","0.13","200","202","200","200","253","CONTINUOUS","0.35","200","202","200","200","253","CONTINUOUS","0.35","200","202","200","200","253","V-CONTINUOUS-SO","0.35","200","202","200","200","253","CONTINUOUS","","","410",""
"HEESTER","*","**","GR","HEESTER","","","","","","","G/A/S","AGR:AGR-HEESTERS","SGR:SGR-HEESTER","*-**-GR-HEESTER-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","384",""
"BOLLEN","*","**","GR","BOLLEN","","","","","","","G/A/S","AGR:AGR-BOLLEN","SGR:SGR-BOLLEN","*-**-GR-BOLLEN-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","396",""
"STRUIK","*","**","GR","STRUIK","","","","","","","G","","","*-**-GR-STRUIK-G","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","373",""
"HAAG","*","**","GR","HAAG","","","","","","","G/S","","SGR:SGR-HAAG","*-**-GR-HAAG-G/S","0.13","90","92","90","90","253","GR-HAAG1-SO","0.35","90","92","90","90","253","GR-HAAG1-SO","0.35","90","92","90","90","253","GR-HAAG1-SO","0.35","90","92","90","90","253","GR-HAAG1-SO","","","380",""
"PLANTENBAK","*","**","GR","PLANTENBAK","","","","","","","G/S","","SGR:SGR-PLANTENBAK","*-**-GR-PLANTENBAK-G/S","0.13","90","92","90","90","253","CONTINUOUS","0.25","90","92","90","90","253","CONTINUOUS","0.25","90","92","90","90","253","V-CONTINUOUS-SO","0.25","90","92","90","90","253","CONTINUOUS","","","398",""
"BOUWLAND","*","**","GR","BOUWLAND","","","","","","","G/S","","SGR:SGR-BOUWLAND","*-**-GR-BOUWLAND-G/S","0.13","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","V-CONTINUOUS-SO","0.35","80","82","80","80","253","CONTINUOUS","","","3377",""
"DUIN","*","**","GR","DUIN","","","","","","","G/S","","SGR:SGR-DUIN","*-**-GR-DUIN-G/S","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","3366",""
"BOMENRIJ","*","**","GR","BOMENRIJ","","","","","","","G/S","","SGR:SGR-BOMENRIJ","*-**-GR-BOMENRIJ-G/S","0.13","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","V-CONTINUOUS-SO","0.35","80","82","80","80","253","CONTINUOUS","","","3384",""
"BOOM","*","**","GR","BOOM","","","","","","","G/S","","SGR:SGR-BOOM","*-**-GR-BOOM-G/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","360",""
"MAAIVELD","*","**","GR","MAAIVELD","","","","","","","G/A/S","AGR:AGR-MAAIVELD","SGR:SGR-MAAIVELD","*-**-GR-MAAIVELD-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","374",""
"MOERAS","*","**","GR","MOERAS","","","","","","","G/A/S","AGR:AGR-MOERAS","SGR:SGR-MOERAS","*-**-GR-MOERAS-G/A/S","0.13","120","122","120","120","253","CONTINUOUS","0.35","120","122","120","120","253","CONTINUOUS","0.35","120","122","120","120","253","V-CONTINUOUS-SO","0.35","120","122","120","120","253","CONTINUOUS","","","412",""
"BOMENZAND","*","**","GR","BOMENZAND","","","","","","","G/A/S","AGR:AGR-BOMENZAND","SGR:SGR-BOMENZAND","*-**-GR-BOMENZAND-G/A/S","0.13","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","366",""
"RIET","*","**","GR","RIET","","","","","","","G/S/A","AGR:AGR-RIET","SGR:SGR-RIETLAND","*-**-GR-RIET-G/S/A","0.13","120","122","120","120","201,235,112","CONTINUOUS","0.35","120","122","120","120","253","CONTINUOUS","0.35","120","122","120","120","253","V-CONTINUOUS-SO","0.35","120","122","120","120","253","CONTINUOUS","","","411",""
"KRUIDEN","*","**","GR","KRUIDEN","","","","","","","G/A/S","AGR:AGR-KRUIDEN","SGR:SGR-KRUIDEN","*-**-GR-KRUIDEN-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","397",""
"KWELDER","*","**","GR","KWELDER","","","","","","","G/S","","SGR:SGR-KWELDER","*-**-GR-KWELDER-G/S","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","3369",""
"TEELGROND","*","**","GR","TEELGROND","","","","","","","G/A/S","AGR:AGR-TEELGROND","SGR:SGR-TEELGROND","*-**-GR-TEELGROND-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.25","90","92","90","90","253","CONTINUOUS","0.25","90","92","90","90","253","V-CONTINUOUS-SO","0.25","90","92","90","90","253","CONTINUOUS","","","400",""
"BLOEMBAK","*","**","GR","BLOEMBAK","","","","","","","G/S","","SGR:SGR-BLOEMBAK","*-**-GR-BLOEMBAK-G/S","0.13","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","V-CONTINUOUS-SO","0.35","80","82","80","80","253","CONTINUOUS","","","3502",""
"GROENVOORZIENING","*","**","GR","GROENVOORZIENING","","","","","","","G","","","*-**-GR-GROENVOORZIENING-G","0.18","80","80","80","80","140,168,0","CONTINUOUS","0.35","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","V-CONTINUOUS-SO","0.35","80","80","80","80","253","CONTINUOUS","","","2882",""
"SIERPLANTSOEN","*","**","GR","SIERPLANTSOEN","","","","","","","G/S","","SGR:SGR-SIERPLANTSOEN","*-**-GR-SIERPLANTSOEN-G/S","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","3040",""
"CONIFEER","*","**","GR","CONIFEER","","","","","","","G/S","","SGR:SGR-CONIFEER","*-**-GR-CONIFEER-G/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","386",""
"HAKHOUT","*","**","GR","HAKHOUT","","","","","","","G","","","*-**-GR-HAKHOUT-G","0.18","40","40","40","40","253","CONTINUOUS","0.35","40","40","40","40","253","CONTINUOUS","0.35","40","40","40","40","253","V-CONTINUOUS-SO","0.35","40","40","40","40","253","CONTINUOUS","","","2883",""
"FRUITTEELT","*","**","GR","FRUITTEELT","","","","","","","G/S","","SGR:SGR-FRUITTEELT","*-**-GR-FRUITTEELT-G/S","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","3370",""
"VERWIJDEREN","*","**","GR","VERWIJDEREN","","","","","","","A","AGR:AGR-VERWIJDEREN","","*-**-GR-VERWIJDEREN-A","0.13","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","V-CONTINUOUS-SO","0.35","10","12","10","10","253","CONTINUOUS","","","355",""
"TYPEAANDUIDING","*","**","GR","TYPEAANDUIDING","","","","","","","S","","SGR:SGR-TYPEAANDUIDING","*-**-GR-TYPEAANDUIDING-S","0.13","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","353",""
"GRIEND","*","**","GR","GRIEND","","","","","","","G","","","*-**-GR-GRIEND-G","0.18","40","40","40","40","253","CONTINUOUS","0.35","40","40","40","40","253","CONTINUOUS","0.35","40","40","40","40","253","V-CONTINUOUS-SO","0.35","40","40","40","40","253","CONTINUOUS","","","2884",""
"DOORWORTELBARE RUIMTE","*","**","GR","DOORWORTELBARE RUIMTE","","","","","","","G/S","","SGR:SGR-DOORWORTELBARE RUIMTE","*-**-GR-DOORWORTELBARE RUIMTE-G/S","0.13","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","CONTINUOUS","0.35","80","82","80","80","253","V-CONTINUOUS-SO","0.35","80","82","80","80","253","CONTINUOUS","","","3383",""
"HOUTWAL","*","**","GR","HOUTWAL","","","","","","","G/S","","SGR:SGR-HOUTWAL","*-**-GR-HOUTWAL-G/S","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","367",""
"STRUWEEL","*","**","GR","STRUWEEL","","","","","","","G/A/S","AGR:AGR-STRUWEEL","SGR:SGR-STRUWEEL","*-**-GR-STRUWEEL-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","372",""
"BOMENGROND","*","**","GR","BOMENGROND","","","","","","","G/A/S","AGR:AGR-BOMENGROND","SGR:SGR-BOMENGROND","*-**-GR-BOMENGROND-G/A/S","0.13","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","365",""
"PLANTGATVERBETERING","*","**","GR","PLANTGATVERBETERING","","","","","","","G/A/S","AGR:AGR-PLANTGATVERBETERING","SGR:SGR-PLANTGATVERBETERING","*-**-GR-PLANTGATVERBETERING-G/A/S","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","364",""
"HOUTOPSTAND_NAALD","*","**","GR","HOUTOPSTAND","NAALD","","","","","","G","","","*-**-GR-HOUTOPSTAND_NAALD-G","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","371","368"
"HOUTOPSTAND_GEMENGD","*","**","GR","HOUTOPSTAND","GEMENGD","","","","","","G","","","*-**-GR-HOUTOPSTAND_GEMENGD-G","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","369","368"
"HOUTOPSTAND_LOOF","*","**","GR","HOUTOPSTAND","LOOF","","","","","","G","","","*-**-GR-HOUTOPSTAND_LOOF-G","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","370","368"
"SPORTVELD_BELIJNING","*","**","GR","SPORTVELD","BELIJNING","","","","","","G","","","*-**-GR-SPORTVELD_BELIJNING-G","0.13","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","407","406"
"SPORTVELD_NATUURGRAS","*","**","GR","SPORTVELD","NATUURGRAS","","","","","","G","","","*-**-GR-SPORTVELD_NATUURGRAS-G","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","408","406"
"SPORTVELD_KUNSTGRAS","*","**","GR","SPORTVELD","KUNSTGRAS","","","","","","G","","","*-**-GR-SPORTVELD_KUNSTGRAS-G","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","409","406"
"BOS_NAALD","*","**","GR","BOS","NAALD","","","","","","G","","","*-**-GR-BOS_NAALD-G","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","359","356"
"BOS_GEMENGD","*","**","GR","BOS","GEMENGD","","","","","","G","","","*-**-GR-BOS_GEMENGD-G","0.13","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","357","356"
"BOS_LOOF","*","**","GR","BOS","LOOF","","","","","","G","","","*-**-GR-BOS_LOOF-G","0.13","40","42","90","40","253","CONTINUOUS","0.35","40","42","90","40","253","CONTINUOUS","0.35","40","42","90","40","253","V-CONTINUOUS-SO","0.35","40","42","90","40","253","CONTINUOUS","","","358","356"
"GRAS_NATUURLIJKE OEVER","*","**","GR","GRAS","NATUURLIJKE OEVER","","","","","","G","","","*-**-GR-GRAS_NATUURLIJKE OEVER-G","0.18","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","V-CONTINUOUS-SO","0.35","80","80","80","80","253","CONTINUOUS","","","2901","401"
"GRAS_KUNSTGRAS","*","**","GR","GRAS","KUNSTGRAS","","","","","","G","","","*-**-GR-GRAS_KUNSTGRAS-G","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","404","401"
"GRAS_KRUIDENRIJK","*","**","GR","GRAS","KRUIDENRIJK","","","","","","G","","","*-**-GR-GRAS_KRUIDENRIJK-G","0.18","80","80","80","80","140,168,0","CONTINUOUS","0.35","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","V-CONTINUOUS-SO","0.35","80","80","80","80","253","CONTINUOUS","","","2899","401"
"GRAS_GAZON","*","**","GR","GRAS","GAZON","","","","","","G","","","*-**-GR-GRAS_GAZON-G","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","402","401"
"GRAS_RUIGGRAS","*","**","GR","GRAS","RUIGGRAS","","","","","","G","","","*-**-GR-GRAS_RUIGGRAS-G","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","403","401"
"GRAS_GRAFVELD","*","**","GR","GRAS","GRAFVELD","","","","","","G","","","*-**-GR-GRAS_GRAFVELD-G","0.18","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","V-CONTINUOUS-SO","0.35","80","80","80","80","253","CONTINUOUS","","","2902","401"
"GRAS_GESTABILISEERD","*","**","GR","GRAS","GESTABILISEERD","","","","","","G","","","*-**-GR-GRAS_GESTABILISEERD-G","0.13","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","CONTINUOUS","0.35","60","62","90","90","253","V-CONTINUOUS-SO","0.35","60","62","90","90","253","CONTINUOUS","","","405","401"
"GRAS_BERM","*","**","GR","GRAS","BERM","","","","","","G","","","*-**-GR-GRAS_BERM-G","0.18","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","CONTINUOUS","0.35","80","80","80","80","253","V-CONTINUOUS-SO","0.35","80","80","80","80","253","CONTINUOUS","","","2900","401"
"BEPLANTING_NATUUR","*","**","GR","BEPLANTING","NATUUR","","","","","","G/A/S","AGR:AGR-BEPLANTING","SGR:SGR-BEPLANTING","*-**-GR-BEPLANTING_NATUUR-G/A/S","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2896","2885"
"BEPLANTING_CULTUUR","*","**","GR","BEPLANTING","CULTUUR","","","","","","G/A/S","AGR:AGR-BEPLANTING","SGR:SGR-BEPLANTING","*-**-GR-BEPLANTING_CULTUUR-G/A/S","0.18","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","2886","2885"
"HEESTER_SOLITAIR","*","**","GR","HEESTER","SOLITAIR","","","","","","G","","","*-**-GR-HEESTER_SOLITAIR-G","0.13","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","CONTINUOUS","0.35","90","92","90","90","253","V-CONTINUOUS-SO","0.35","90","92","90","90","253","CONTINUOUS","","","385","384"
