"OMSCHRIJVING","STATUS","DISCIPLINE","Hoofdgroep","Object","SubObject01","SubObject02","SubObject03","SubObject04","SubObject05","Bewerking","Element","Arcering","Symbool","Laagnaam","BLineweight","BColor","BColorA","BColorGD","BColorGN","BColorV","B_Linetype","NLineweight","NColor","NColorA","NColorGD","NColorGN","NColorV","N_Linetype","VLineweight","VColor","VColorA","VColorGD","VColorGN","VColorV","V_Linetype","TLineweight","TColor","TColorA","TColorGD","TColorGN","TColorV","T_Linetype","VRKL_KORT","VRKL_LANG","ID","KIND_VAN"
"SCHADE","*","**","MO","SCHADE","","","","","","","G","","","*-**-MO-SCHADE-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","1570",""
"ARCHEOLOGIE","*","**","MO","ARCHEOLOGIE","","","","","","","G","","","*-**-MO-ARCHEOLOGIE-G","0.18","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","V-MO-ARCHEOLOGIE-SO","0.35","90","92","90","90","253","MO-ARCHEOLOGIE-SO","","","1550",""
"GELUID","*","**","MO","GELUID","","","","","","","G","","","*-**-MO-GELUID-G","0.18","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","CONTINUOUS","0.35","10","12","10","10","253","V-CONTINUOUS-SO","0.35","10","12","10","10","253","CONTINUOUS","","","1529",""
"GRONDWATER","*","**","MO","GRONDWATER","","","","","","","G/S","","SMO:SMO-GRONDWATER","*-**-MO-GRONDWATER-G/S","0.18","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","CONTINUOUS","0.35","150","152","150","150","253","V-CONTINUOUS-SO","0.35","150","152","150","150","253","CONTINUOUS","","","1506",""
"LICHT","*","**","MO","LICHT","","","","","","","G","","","*-**-MO-LICHT-G","0.18","130","132","130","130","253","CONTINUOUS","0.35","130","132","130","130","253","CONTINUOUS","0.35","130","132","130","130","253","V-CONTINUOUS-SO","0.35","130","132","130","130","253","CONTINUOUS","","","1519",""
"GEUR","*","**","MO","GEUR","","","","","","","G","","","*-**-MO-GEUR-G","0.18","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","CONTINUOUS","0.35","40","42","40","40","253","V-CONTINUOUS-SO","0.35","40","42","40","40","253","CONTINUOUS","","","1544",""
"INSPECTIE","*","**","MO","INSPECTIE","","","","","","","G","","","*-**-MO-INSPECTIE-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","1559",""
"BODEM","*","**","MO","BODEM","","","","","","","G/A","AMO:AMO-BODEM","","*-**-MO-BODEM-G/A","0.18","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","CONTINUOUS","0.35","30","32","30","30","253","V-CONTINUOUS-SO","0.35","30","32","30","30","253","CONTINUOUS","","","1495",""
"LUCHT","*","**","MO","LUCHT","","","","","","","G","","","*-**-MO-LUCHT-G","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","1524",""
"STRALING","*","**","MO","STRALING","","","","","","","G","","","*-**-MO-STRALING-G","0.18","190","192","190","190","253","CONTINUOUS","0.35","190","192","190","190","253","CONTINUOUS","0.35","190","192","190","190","253","V-CONTINUOUS-SO","0.35","190","192","190","190","253","CONTINUOUS","","","1534",""
