"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"TDI","*","_","**","_","IW","_","TDI","_","","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-TDI","*_**_IW_TDI","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2642","","http://digitalbuildingdata.tech/nlcs/def/33cf95ba-76c3-4298-b78e-da9499b7096e",""
"VS","*","_","**","_","IW","_","VS","_","","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-VS","*_**_IW_VS","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2646","","http://digitalbuildingdata.tech/nlcs/def/43a3d930-fb03-4a2c-aa0d-7a7533bd8f00",""
"VRI_CAMERA","*","_","**","_","IW","_","VRI","_","CAMERA","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-VRI_CAMERA","*_**_IW_VRI_CAMERA","0.18","200","202","200","200","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","5439","2644","http://digitalbuildingdata.tech/nlcs/def/517d40f3-d4f1-4df7-8ae2-fc07d2335580","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"VRI_DETECTIE","*","_","**","_","IW","_","VRI","_","DETECTIE","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-VRI_DETECTIE","*_**_IW_VRI_DETECTIE","0.18","200","202","200","200","253","IW-DETECTIE","0.35","7","7","7","7","253","IW-DETECTIE","0.35","7","7","7","7","253","V-IW-DETECTIE","0.35","7","7","7","7","253","IW-DETECTIE","","","5440","2644","http://digitalbuildingdata.tech/nlcs/def/92ecc464-12e2-432e-9978-76469c991464","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"VRI_AUTOMAAT","*","_","**","_","IW","_","VRI","_","AUTOMAAT","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-VRI_AUTOMAAT","*_**_IW_VRI_AUTOMAAT","0.18","200","202","200","200","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","5438","2644","http://digitalbuildingdata.tech/nlcs/def/9e5c9c89-f106-440a-9a21-311bb5316400","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"DRIP","*","_","**","_","IW","_","DRIP","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_DRIP","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2648","","http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c",""
"TELECOM","*","_","**","_","IW","_","TELECOM","_","","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_TELECOM","0.18","80","82","7","7","253","CONTINUOUS","0.35","80","82","7","7","253","CONTINUOUS","0.35","80","82","7","7","253","V-CONTINUOUS-SO","0.35","80","82","7","7","253","CONTINUOUS","","","2653","","http://digitalbuildingdata.tech/nlcs/def/d3a1b633-803f-432f-ba0e-5fc849134c70",""
"VRI_LANTAARN","*","_","**","_","IW","_","VRI","_","LANTAARN","_","","_","","_","","_","","'-","","'-","G/S","'-","","","*_**_IW_VRI_LANTAARN","0.18","200","202","200","200","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","5454","2644","http://digitalbuildingdata.tech/nlcs/def/e4945842-a83e-4a1f-850b-5c5df1c2d201","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"VRI","*","_","**","_","IW","_","VRI","_","","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-VRI","*_**_IW_VRI","0.18","200","202","200","200","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","2644","","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89",""
"VRI_KABEL_SIGNAAL_42V","*","_","**","_","IW","_","VRI","_","KABEL","_","SIGNAAL","_","42V","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_SIGNAAL_42V","0.18","200","202","200","200","253","IW-SIGNAAL_42V","0.35","200","202","200","200","253","IW-SIGNAAL_42V","0.35","150","152","150","150","253","V-IW-SIGNAAL_42V","0.35","150","152","150","150","253","IW-SIGNAAL_42V","","","5451","5449","http://digitalbuildingdata.tech/nlcs/def/8f823ef1-f8b4-4613-b400-da9ee41056c9","http://digitalbuildingdata.tech/nlcs/def/c48401ef-1afe-4815-a92e-c5621800646b"
"VRI_KABEL_SIGNAAL_DETECTIE","*","_","**","_","IW","_","VRI","_","KABEL","_","SIGNAAL","_","DETECTIE","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_SIGNAAL_DETECTIE","0.18","200","202","200","200","253","IW-DETECTIE","0.35","200","202","200","200","253","IW-DETECTIE","0.35","150","152","150","150","253","V-IW-DETECTIE","0.35","150","152","150","150","253","IW-DETECTIE","","","5452","5449","http://digitalbuildingdata.tech/nlcs/def/08c01423-3512-4829-8a6b-08924d6a9447","http://digitalbuildingdata.tech/nlcs/def/c48401ef-1afe-4815-a92e-c5621800646b"
"VRI_KABEL_DATA_KOPER","*","_","**","_","IW","_","VRI","_","KABEL","_","DATA","_","KOPER","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_DATA_KOPER","0.18","200","202","200","200","253","IW-DATA_KOPER","0.35","200","202","200","200","253","IW-DATA_KOPER","0.35","150","152","150","150","253","V-IW-DATA_KOPER","0.35","150","152","150","150","253","IW-DATA_KOPER","","","5446","5444","http://digitalbuildingdata.tech/nlcs/def/aa635317-b5be-4fe3-8847-886980ffe589","http://digitalbuildingdata.tech/nlcs/def/6c739d21-4f63-4f20-b32e-c37d9bf4de49"
"VRI_KABEL_DATA_GLASVEZEL","*","_","**","_","IW","_","VRI","_","KABEL","_","DATA","_","GLASVEZEL","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_DATA_GLASVEZEL","0.18","200","202","200","200","253","IW-DATA_GLASVEZEL","0.35","200","202","200","200","253","IW-DATA_GLASVEZEL","0.35","150","152","150","150","253","V-IW-DATA_GLASVEZEL","0.35","150","152","150","150","253","IW-DATA_GLASVEZEL","","","5445","5444","http://digitalbuildingdata.tech/nlcs/def/1b76d7b0-6bae-4582-be02-696e90932c35","http://digitalbuildingdata.tech/nlcs/def/6c739d21-4f63-4f20-b32e-c37d9bf4de49"
"VRI_DETECTIE_LUS_VIRTUEEL","*","_","**","_","IW","_","VRI","_","DETECTIE","_","LUS","_","VIRTUEEL","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_DETECTIE_LUS_VIRTUEEL","0.18","200","202","200","200","253","CONTINUOUS","0.35","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","V-CONTINUOUS-SO","0.35","170","172","170","170","253","CONTINUOUS","","","5442","5441","http://digitalbuildingdata.tech/nlcs/def/448c48f0-77ca-4386-804a-07bc38f04195","http://digitalbuildingdata.tech/nlcs/def/35eae25d-eda9-4efb-b2fe-d79116af401d"
"VRI_KABEL_SIGNAAL_230V","*","_","**","_","IW","_","VRI","_","KABEL","_","SIGNAAL","_","230V","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_SIGNAAL_230V","0.18","200","202","200","200","253","IW-SIGNAAL_230V","0.35","200","202","200","200","253","IW-SIGNAAL_230V","0.35","150","152","150","150","253","V-IW-SIGNAAL_230V","0.35","150","152","150","150","253","IW-SIGNAAL_230V","","","5450","5449","http://digitalbuildingdata.tech/nlcs/def/ae79aa55-e8f1-47f7-9842-033274098426","http://digitalbuildingdata.tech/nlcs/def/c48401ef-1afe-4815-a92e-c5621800646b"
"VRI_DETECTIE_LUS","*","_","**","_","IW","_","VRI","_","DETECTIE","_","LUS","_","","_","","_","","'-","","'-","G/S","'-","","SIW-VRI_DETECTIE_LUS","*_**_IW_VRI_DETECTIE_LUS","0.18","200","202","200","200","253","CONTINUOUS","0.35","170","172","170","170","253","CONTINUOUS","0.35","170","172","170","170","253","V-CONTINUOUS-SO","0.35","170","172","170","170","253","CONTINUOUS","","","5441","5440","http://digitalbuildingdata.tech/nlcs/def/35eae25d-eda9-4efb-b2fe-d79116af401d","http://digitalbuildingdata.tech/nlcs/def/92ecc464-12e2-432e-9978-76469c991464"
"VRI_KABEL_DATA_KOPPEL","*","_","**","_","IW","_","VRI","_","KABEL","_","DATA","_","KOPPEL","_","","_","","'-","","'-","","'-","","","*_**_IW_VRI_KABEL_DATA_KOPPEL","0.18","200","202","200","200","253","IW-KOPPELKABEL","0.35","200","202","200","200","253","IW-KOPPELKABEL","0.35","150","152","150","150","253","V-IW-KOPPELKABEL","0.35","150","152","150","150","253","IW-KOPPELKABEL","","","5447","5444","http://digitalbuildingdata.tech/nlcs/def/9eabafb1-03c0-46dd-b874-0f7b30239815","http://digitalbuildingdata.tech/nlcs/def/6c739d21-4f63-4f20-b32e-c37d9bf4de49"
"VRI_KABEL_TRACE","*","_","**","_","IW","_","VRI","_","KABEL","_","TRACE","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_TRACE","0.18","200","202","200","200","253","IW-KABELTRACE","0.35","200","202","200","200","253","IW-KABELTRACE","0.35","150","152","150","150","253","V-IW-KABELTRACE","0.35","150","152","150","150","253","IW-KABELTRACE","","","5453","6020","http://digitalbuildingdata.tech/nlcs/def/cfce7552-973d-4ef7-88a2-a703ddf5c381","http://digitalbuildingdata.tech/nlcs/def/bac4f4a2-b5e5-4e96-8f55-edb6f732015e"
"VRI_KABEL_SIGNAAL","*","_","**","_","IW","_","VRI","_","KABEL","_","SIGNAAL","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_SIGNAAL","0.18","200","202","200","200","253","IW-SIGNAALKABEL","0.35","200","202","200","200","253","IW-SIGNAALKABEL","0.35","150","152","150","150","253","V-IW-SIGNAALKABEL","0.35","150","152","150","150","253","IW-SIGNAALKABEL","","","5449","6020","http://digitalbuildingdata.tech/nlcs/def/c48401ef-1afe-4815-a92e-c5621800646b","http://digitalbuildingdata.tech/nlcs/def/bac4f4a2-b5e5-4e96-8f55-edb6f732015e"
"VRI_KABEL_MANTELBUIS","*","_","**","_","IW","_","VRI","_","KABEL","_","MANTELBUIS","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_MANTELBUIS","0.18","200","202","200","200","253","IW-VRI_MANTELBUIS","0.35","200","202","200","200","253","IW-VRI_MANTELBUIS","0.35","150","152","150","150","253","V-IW-VRI_MANTELBUIS","0.35","150","152","150","150","253","IW-VRI_MANTELBUIS","","","5448","6020","http://digitalbuildingdata.tech/nlcs/def/c44cd697-cc6e-4f34-b6e9-8f250c1fb237","http://digitalbuildingdata.tech/nlcs/def/bac4f4a2-b5e5-4e96-8f55-edb6f732015e"
"VRI_DETECTIE_PASSIEF","*","_","**","_","IW","_","VRI","_","DETECTIE","_","PASSIEF","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_DETECTIE_PASSIEF","0.18","200","202","200","200","253","IW-DETECTIE","0.35","170","172","170","170","253","IW-DETECTIE","0.35","170","172","170","170","253","V-IW-DETECTIE","0.35","170","172","170","170","253","IW-DETECTIE","","","5443","5440","http://digitalbuildingdata.tech/nlcs/def/30ddd5aa-8018-42da-bac7-03a898dc18aa","http://digitalbuildingdata.tech/nlcs/def/92ecc464-12e2-432e-9978-76469c991464"
"VRI_KABEL_DATA","*","_","**","_","IW","_","VRI","_","KABEL","_","DATA","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL_DATA","0.18","200","202","200","200","253","IW-VRI_DATAKABEL","0.35","200","202","200","200","253","IW-VRI_DATAKABEL","0.35","150","152","150","150","253","V-IW-VRI_DATAKABEL","0.35","150","152","150","150","253","IW-VRI_DATAKABEL","","","5444","6020","http://digitalbuildingdata.tech/nlcs/def/6c739d21-4f63-4f20-b32e-c37d9bf4de49","http://digitalbuildingdata.tech/nlcs/def/bac4f4a2-b5e5-4e96-8f55-edb6f732015e"
"VRI_KABEL","*","_","**","_","IW","_","VRI","_","KABEL","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_KABEL","0.18","200","202","200","200","253","IW-VRI-SO","0.35","200","202","200","200","253","IW-VRI-SO","0.35","150","152","150","150","253","V-IW-VRI-SO","0.35","150","152","150","150","253","IW-VRI-SO","","","6020","2644","http://digitalbuildingdata.tech/nlcs/def/bac4f4a2-b5e5-4e96-8f55-edb6f732015e","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"DRIP_KABEL","*","_","**","_","IW","_","DRIP","_","KABEL","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_DRIP_KABEL","0.18","170","172","170","170","253","","0.35","170","172","170","170","253","","","","","","","253","","","","","","","253","","","","6019","2648","http://digitalbuildingdata.tech/nlcs/def/3a6c1b64-9d49-44d4-98e4-2e774373575d","http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c"
