omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BEPLANTING,,_,,_,GR,_,BEPLANTING,_,,_,,_,,_,,_,,-,,-,,AGR-BEPLANTING,SGR-BEPLANTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a,
GRAS,,_,,_,GR,_,GRAS,_,,_,,_,,_,,_,,-,,-,,AGR-GRAS,SGR-GRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/cc940334-64c4-42fc-a846-a38b7435777a,
MOERAS,,_,,_,GR,_,MOERAS,_,,_,,_,,_,,_,,-,,-,,AGR-MOERAS,SGR-MOERAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1e580ff4-9465-4193-8499-743cc55d76bf,
PLANTGATVERBETERING,,_,,_,GR,_,PLANTGATVERBETERING,_,,_,,_,,_,,_,,-,,-,,AGR-PLANTGATVERBETERING,SGR-PLANTGATVERBETERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/9f807563-95bc-404e-9120-933181c1a2cc,
HEESTER,,_,,_,GR,_,HEESTER,_,,_,,_,,_,,_,,-,,-,,AGR-HEESTERS,SGR-HEESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/6b06a598-55d5-431b-bb9c-b4e74e712a97,
STRUWEEL,,_,,_,GR,_,STRUWEEL,_,,_,,_,,_,,_,,-,,-,,AGR-STRUWEEL,SGR-STRUWEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/65fe9f15-6053-4ffc-a536-7ad4d0943f85,
BEPLANTING_STRUIKROZEN,,_,,_,GR,_,BEPLANTING,_,STRUIKROZEN,_,,_,,_,,_,,-,,-,,,SGR-ROOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/f8a84cec-7364-46c5-a21b-3c63c827c7db,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
BEPLANTING_BODEMBEDEKKERS,,_,,_,GR,_,BEPLANTING,_,BODEMBEDEKKERS,_,,_,,_,,_,,-,,-,,,SGR-BODEMBEDEKKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1ae2d002-4a85-4d03-adc2-f1c486507c8a,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/96e08737-0fc0-4fa0-8b7e-f28369b8cd0a
DUIN_GESLOTEN VEGETATIE,,_,,_,GR,_,DUIN,_,GESLOTEN VEGETATIE,_,,_,,_,,_,,-,,-,,,SGR-VEGETATIE_GESLOTEN-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/caa79cc1-c628-4270-a1c7-a97ed228c49e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c53d6dfd-cc8d-42f7-99b3-16224daddda9
DUIN_OPEN VEGETATIE,,_,,_,GR,_,DUIN,_,OPEN VEGETATIE,_,,_,,_,,_,,-,,-,,,SGR-VEGETATIE_OPEN-SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/a3e4c69f-6357-4684-8cd9-b265b1f44bbc,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/c53d6dfd-cc8d-42f7-99b3-16224daddda9
FRUITTEELT_BOOMGAARD,,_,,_,GR,_,FRUITTEELT,_,BOOMGAARD,_,,_,,_,,_,,-,,-,,,SGR-BOOMGAARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/524d3d32-f00d-4414-ba52-42cba88b3f94,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/1b395a4e-b3e2-4d76-9fba-55dc9117ebfc
BOOM_VORM_MET KLUIT_1E GROOTTE,,_,,_,GR,_,BOOM,_,VORM,_,MET KLUIT,_,1E GROOTTE,_,,_,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/3ac4112b-b790-4d9d-be44-9e22d45fb09e,http://hub.laces.tech/digitalbuildingdata/nlcs/test/nlcs-test-concept-with-current/314ade5d-4be5-4fd1-bc12-904581934e38
