OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
BODEMBESCHERMING;*;-;**;-;OB;-;BODEMBESCHERMING;;;;;;;;;;;;;;;;;*-**-OB-BODEMBESCHERMING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1600;;http://digitalbuildingdata.tech/nlcs/def/74599cd7-63fb-4938-8ee8-61c0d44f1a2d;
DIJKBEKLEDING;*;-;**;-;OB;-;DIJKBEKLEDING;;;;;;;;;;;;;;;;;*-**-OB-DIJKBEKLEDING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1594;;http://digitalbuildingdata.tech/nlcs/def/130ad10a-8097-4673-8710-4df6f17c9864;
DUINBESCHERMING;*;-;**;-;OB;-;DUINBESCHERMING;;;;;;;;;;;;;;;;;*-**-OB-DUINBESCHERMING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1591;;http://digitalbuildingdata.tech/nlcs/def/426457fd-cff3-4706-9a43-c51a78d83442;
DUINBESCHERMING_PERKOENPAAL;*;-;**;-;OB;-;DUINBESCHERMING;_;PERKOENPAAL;;;;;;;;;;;;;;;*-**-OB-DUINBESCHERMING_PERKOENPAAL;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1592;1591;http://digitalbuildingdata.tech/nlcs/def/0bee123b-7c59-4d21-bf24-521461d0096b;http://digitalbuildingdata.tech/nlcs/def/426457fd-cff3-4706-9a43-c51a78d83442
GOLFBREKER;*;-;**;-;OB;-;GOLFBREKER;;;;;;;;;;;;;;;;;*-**-OB-GOLFBREKER;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1593;;http://digitalbuildingdata.tech/nlcs/def/d44fcbc4-cb08-4789-80b9-f48314d85539;
KLEI;*;-;**;-;OB;-;KLEI;;;;;;;;;;;;;;;;;*-**-OB-KLEI;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1583;;http://digitalbuildingdata.tech/nlcs/def/72fe0769-def9-4ae1-ace8-3869de0882c9;
KRIB;*;-;**;-;OB;-;KRIB;;;;;;;;;;;;;;;;;*-**-OB-KRIB;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1595;;http://digitalbuildingdata.tech/nlcs/def/044cf6e7-3086-480e-bf8e-74ac4708ae91;
NATUURLIJKE BESCHERMING;*;-;**;-;OB;-;NATUURLIJKE BESCHERMING;;;;;;;;;;;;;;;;;*-**-OB-NATUURLIJKE BESCHERMING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1598;;http://digitalbuildingdata.tech/nlcs/def/1892289b-4374-4228-b038-3f1e385fee74;
NATUUROEVER;*;-;**;-;OB;-;NATUUROEVER;;;;;;;;;;;;;;;;;*-**-OB-NATUUROEVER;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1597;;http://digitalbuildingdata.tech/nlcs/def/7a9c98bf-78ae-42ad-99eb-c5119a79a151;
OEVERVOORZIENING;*;-;**;-;OB;-;OEVERVOORZIENING;;;;;;;;;;;;;;;;;*-**-OB-OEVERVOORZIENING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1605;;http://digitalbuildingdata.tech/nlcs/def/ba49418a-551a-4f42-8f3a-8de0eab7eb38;
PEILVAK;*;-;**;-;OB;-;PEILVAK;;;;;;;;;;;;;;;;;*-**-OB-PEILVAK;0.18;90;92;90;90;253;OB-PEILVLAK-SO;0.35;90;92;90;90;253;OB-PEILVLAK-SO;0.35;90;92;90;90;253;V-OB-PEILVLAK-SO;0.35;90;92;90;90;253;OB-PEILVLAK-SO;;;1581;;http://digitalbuildingdata.tech/nlcs/def/a15cb311-2abd-4c59-8675-b7b78d0b95ac;
SCHANSKORF;*;-;**;-;OB;-;SCHANSKORF;;;;;;;;;;;;;;;;;*-**-OB-SCHANSKORF;0.18;7;7;7;7;253;OB-SCHANSKORF-SO;0.35;7;7;7;7;253;OB-SCHANSKORF-SO;0.35;7;7;7;7;253;V-OB-SCHANSKORF-SO;0.35;7;7;7;7;253;OB-SCHANSKORF-SO;;;1596;;http://digitalbuildingdata.tech/nlcs/def/face4216-402b-44be-b4ee-8425c9545d16;
STEENMATRASSEN;*;-;**;-;OB;-;STEENMATRASSEN;;;;;;;;;;;;;;;;;*-**-OB-STEENMATRASSEN;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1602;;http://digitalbuildingdata.tech/nlcs/def/330d62cd-5b31-4596-9ec0-a3f1fcfe1761;
STORTSTEEN;*;-;**;-;OB;-;STORTSTEEN;;;;;;;;;;;;;;;;;*-**-OB-STORTSTEEN;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1585;;http://digitalbuildingdata.tech/nlcs/def/88f7f213-54bc-431a-ae4a-a831cbed1488;
STREKDAM;*;-;**;-;OB;-;STREKDAM;;;;;;;;;;;;;;;;;*-**-OB-STREKDAM;0.18;7;7;7;7;0,0,0;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1603;;http://digitalbuildingdata.tech/nlcs/def/d7a5f828-a09a-4ab3-a2c7-9993448aa0c8;
TALUDBEKLEDING;*;-;**;-;OB;-;TALUDBEKLEDING;;;;;;;;;;;;;;;;;*-**-OB-TALUDBEKLEDING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1601;;http://digitalbuildingdata.tech/nlcs/def/a6812c22-f254-40c9-95dd-e03b5e1f194f;
VERANKERING;*;-;**;-;OB;-;VERANKERING;;;;;;;;;;;;;;;;;*-**-OB-VERANKERING;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1604;;http://digitalbuildingdata.tech/nlcs/def/25477cf0-78db-4f94-9180-5432ac162115;
WATERLIJN;*;-;**;-;OB;-;WATERLIJN;;;;;;;;;;;;;;;;;*-**-OB-WATERLIJN;0.18;150;152;150;150;253;CONTINUOUS;0.25;150;152;150;150;253;CONTINUOUS;;;;;;;;0.25;150;152;150;150;253;OB-WATERLIJN-SO;;;1582;;http://digitalbuildingdata.tech/nlcs/def/58823a8a-bd5c-4869-9b2b-fca3139bf372;
ZAND;*;-;**;-;OB;-;ZAND;;;;;;;;;;;;;;;;;*-**-OB-ZAND;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1584;;http://digitalbuildingdata.tech/nlcs/def/ee65e3e3-bd59-4fa6-b50b-ea54ffffc3c5;
ZETSTEEN;*;-;**;-;OB;-;ZETSTEEN;;;;;;;;;;;;;;;;;*-**-OB-ZETSTEEN;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1586;;http://digitalbuildingdata.tech/nlcs/def/064d023f-3635-414b-aecb-ff5e0a9ea72a;
ZINKCONSTRUCTIE;*;-;**;-;OB;-;ZINKCONSTRUCTIE;;;;;;;;;;;;;;;;;*-**-OB-ZINKCONSTRUCTIE;0.18;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;CONTINUOUS;0.35;7;7;7;7;253;V-CONTINUOUS-SO;0.35;7;7;7;7;253;CONTINUOUS;;;1590;;http://digitalbuildingdata.tech/nlcs/def/b3302124-555e-432c-8fa6-2c0c7e34bca3;
