OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;objectURI;kind_vanURI
AANKLEDING;X;-;XX;-;AL;-;AANKLEDING;;;;;;;;;;;;;;;;SAL-AANKLEDING;X-XX-AL-AANKLEDING;0.35;2;2;2;2;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;1;;http://digitalbuildingdata.tech/nlcs/def/d7424c0f-a027-451f-b6b2-26fc04374b9d;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
BLADVERWIJZING;X;-;XX;-;AL;-;BLADVERWIJZING;;;;;;;;;;;;;;;;;X-XX-AL-BLADVERWIJZING;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;2;;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a;
BLADVERWIJZING_AS;X;-;XX;-;AL;-;BLADVERWIJZING;_;AS;;;;;;;;;;;;;;;X-XX-AL-BLADVERWIJZING_AS;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;3;2;http://digitalbuildingdata.tech/nlcs/def/cbc84760-0b9a-4205-93b3-ae4b8279cd08;
BLADVERWIJZING_BLAD;X;-;XX;-;AL;-;BLADVERWIJZING;_;BLAD;;;;;;;;;;;;;;;X-XX-AL-BLADVERWIJZING_BLAD;0.35;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;4;2;http://digitalbuildingdata.tech/nlcs/def/e5aa0262-49bc-4a8b-9dc4-81debfa37345;
BLADVERWIJZING_CONTOUR;X;-;XX;-;AL;-;BLADVERWIJZING;_;CONTOUR;;;;;;;;;;;;;;;X-XX-AL-BLADVERWIJZING_CONTOUR;0.35;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;5;2;http://digitalbuildingdata.tech/nlcs/def/a9622d0d-facb-411a-987b-f6adf25910f4;
BLADVERWIJZING_DTM;X;-;XX;-;AL;-;BLADVERWIJZING;_;DTM;;;;;;;;;;;;;;;X-XX-AL-BLADVERWIJZING_DTM;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;6;2;http://digitalbuildingdata.tech/nlcs/def/7158aa53-1b03-40c5-bf95-8d31e2c72624;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
BLADVERWIJZING_KAART;X;-;XX;-;AL;-;BLADVERWIJZING;_;KAART;;;;;;;;;;;;;;;X-XX-AL-BLADVERWIJZING_KAART;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;7;2;http://digitalbuildingdata.tech/nlcs/def/3455519b-0969-441e-9066-defcb5245141;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
COORDINAATPUNT;X;-;XX;-;AL;-;COORDINAATPUNT;;;;;;;;;;;;;;;;;X-XX-AL-COORDINAATPUNT;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;3364;;http://digitalbuildingdata.tech/nlcs/def/a394f60d-1d36-4b97-80db-a568211f2980;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
LEGENDA;X;-;XX;-;AL;-;LEGENDA;;;;;;;;;;;;;;;;;X-XX-AL-LEGENDA;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;32;;http://digitalbuildingdata.tech/nlcs/def/b587d613-cd7c-4348-a3b4-24538c0cb9f2;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
ORIENTATIE;X;-;XX;-;AL;-;ORIENTATIE;;;;;;;;;;;;;;;;SAL-ORIENTATIE;X-XX-AL-ORIENTATIE;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;10;;http://digitalbuildingdata.tech/nlcs/def/1f26db84-c369-43cd-bc64-5af1eef71e7d;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
PROFIELBALK;X;-;XX;-;AL;-;PROFIELBALK;;;;;;;;;;;;;;;;;X-XX-AL-PROFIELBALK;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;34;;http://digitalbuildingdata.tech/nlcs/def/afa7666b-1c23-4d4e-a6ca-f8a9d64324dc;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
REFERENTIE;X;-;XX;-;AL;-;REFERENTIE;;;;;;;;;;;;;;;;;X-XX-AL-REFERENTIE;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;11;;http://digitalbuildingdata.tech/nlcs/def/836a066d-0781-4ce6-a760-4566c5dbfa5d;http://digitalbuildingdata.tech/nlcs/def/d98ba953-a03b-42f3-aed2-88ac9595dd7a
TEKENBLAD;X;-;XX;-;AL;-;TEKENBLAD;;;;;;;;;;;;;;;;SAL-TEKENBLAD;X-XX-AL-TEKENBLAD;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;12;;http://digitalbuildingdata.tech/nlcs/def/e982babe-06cc-4800-b3e9-7e44471737bd;http://digitalbuildingdata.tech/nlcs/def/cbc84760-0b9a-4205-93b3-ae4b8279cd08
TEKENBLAD_DEELKADER;X;-;XX;-;AL;-;TEKENBLAD;_;DEELKADER;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_DEELKADER;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;13;12;http://digitalbuildingdata.tech/nlcs/def/73554001-b372-4756-8df7-fe86ce5073c7;http://digitalbuildingdata.tech/nlcs/def/cbc84760-0b9a-4205-93b3-ae4b8279cd08
TEKENBLAD_KADER;X;-;XX;-;AL;-;TEKENBLAD;_;KADER;;;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_KADER;0.70;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;15;12;http://digitalbuildingdata.tech/nlcs/def/d4e4aefc-e55d-4e15-b524-2e3344e15eec;http://digitalbuildingdata.tech/nlcs/def/cbc84760-0b9a-4205-93b3-ae4b8279cd08
TEKENBLAD_KADER_AFSNIJMARKERING;X;-;XX;-;AL;-;TEKENBLAD;_;KADER;_;AFSNIJMARKERING;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_KADER_AFSNIJMARKERING;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;16;15;http://digitalbuildingdata.tech/nlcs/def/91cd8ded-2932-4cc1-bf16-1321ddb60b47;http://digitalbuildingdata.tech/nlcs/def/ae1369b0-0ece-4017-94a5-f001804b4188
TEKENBLAD_KADER_CENTERMARKERING;X;-;XX;-;AL;-;TEKENBLAD;_;KADER;_;CENTERMARKERING;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_KADER_CENTERMARKERING;0.70;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;17;15;http://digitalbuildingdata.tech/nlcs/def/183069c1-f792-472f-9713-477516c63199;http://digitalbuildingdata.tech/nlcs/def/ae1369b0-0ece-4017-94a5-f001804b4188
TEKENBLAD_KADER_ROOSTERVERDELING;X;-;XX;-;AL;-;TEKENBLAD;_;KADER;_;ROOSTERVERDELING;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_KADER_ROOSTERVERDELING;0.25;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;18;15;http://digitalbuildingdata.tech/nlcs/def/d366a885-c350-4366-afc0-1af4aa64d227;http://digitalbuildingdata.tech/nlcs/def/ae1369b0-0ece-4017-94a5-f001804b4188
TEKENBLAD_KADER_VOUWMERK;X;-;XX;-;AL;-;TEKENBLAD;_;KADER;_;VOUWMERK;;;;;;;;;;;;;X-XX-AL-TEKENBLAD_KADER_VOUWMERK;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;19;15;http://digitalbuildingdata.tech/nlcs/def/18b54499-57d3-49e4-ac4c-3048b64a7c69;http://digitalbuildingdata.tech/nlcs/def/ae1369b0-0ece-4017-94a5-f001804b4188
TEKENBLAD_SCHAALBALK;X;-;XX;-;AL;-;TEKENBLAD;_;SCHAALBALK;;;;;;;;;;;;;;SAL-SCHAALBALK;X-XX-AL-TEKENBLAD_SCHAALBALK;0.18;7;7;7;7;253;CONTINUOUS;;;;;;;;;;;;;;;;;;;;;;;;20;12;http://digitalbuildingdata.tech/nlcs/def/9f9c66dc-e5f0-4de1-85f9-82d36f81ff33;http://digitalbuildingdata.tech/nlcs/def/ae1369b0-0ece-4017-94a5-f001804b4188
