OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
PAAL;*;-;**;-;FC;-;PAAL;;;;;;;;;;;;;;;;;*-**-FC-PAAL;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2747;;http://digitalbuildingdata.tech/nlcs/def/2743e487-3a59-4760-b0d5-01b32e47e416;
PAAL_BETON;*;-;**;-;FC;-;PAAL;_;BETON;;;;;;;;;;;;;ACO-BETON;SFC-PAAL_BETON;*-**-FC-PAAL_BETON;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2750;2747;http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768;http://digitalbuildingdata.tech/nlcs/def/2743e487-3a59-4760-b0d5-01b32e47e416
PAAL_BETON_IN DE GRONDGEVORMD;*;-;**;-;FC;-;PAAL;_;BETON;_;IN DE GRONDGEVORMD;;;;;;;;;;;ACO-BETON;;*-**-FC-PAAL_BETON_IN DE GRONDGEVORMD;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2752;2750;http://digitalbuildingdata.tech/nlcs/def/3f4caa4c-de15-48ae-94c7-716aaa8ce71e;http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768
PAAL_BETON_IN DE GRONDGEVORMD_TREKPAAL;*;-;**;-;FC;-;PAAL;_;BETON;_;IN DE GRONDGEVORMD;_;TREKPAAL;;;;;;;;;ACO-BETON;;*-**-FC-PAAL_BETON_IN DE GRONDGEVORMD_TREKPAAL;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2753;2752;http://digitalbuildingdata.tech/nlcs/def/fa6ad7e6-dc05-44b1-ba0f-d47b0c0bf387;http://digitalbuildingdata.tech/nlcs/def/3f4caa4c-de15-48ae-94c7-716aaa8ce71e
PAAL_BETON_PREFAB;*;-;**;-;FC;-;PAAL;_;BETON;_;PREFAB;;;;;;;;;;;ACO-BETON;;*-**-FC-PAAL_BETON_PREFAB;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2751;2750;http://digitalbuildingdata.tech/nlcs/def/87244622-3bdf-4531-9809-2ff420c200ef;http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768
PAAL_BETON_SCHROEFPAAL;*;-;**;-;FC;-;PAAL;_;BETON;_;SCHROEFPAAL;;;;;;;;;;;ACO-BETON;;*-**-FC-PAAL_BETON_SCHROEFPAAL;0.18;40;252;90;10;254;CONTINUOUS;0.25;40;254;90;10;254;CONTINUOUS;0.25;40;252;90;10;254;V-CONTINUOUS-SO;0.25;40;252;90;10;254;CONTINUOUS;;;2754;2750;http://digitalbuildingdata.tech/nlcs/def/82dc3579-8ff4-4629-97aa-7cb01f2e0371;http://digitalbuildingdata.tech/nlcs/def/2010e285-3998-4277-ae01-a25c57ca5768
PAAL_HOUT;*;-;**;-;FC;-;PAAL;_;HOUT;;;;;;;;;;;;;ACO-HOUT;SFC-PAAL_HOUT;*-**-FC-PAAL_HOUT;0.18;30;252;40;10;254;CONTINUOUS;0.25;30;252;40;10;254;CONTINUOUS;0.25;30;252;40;10;254;V-CONTINUOUS-SO;0.25;30;252;40;10;254;CONTINUOUS;;;2748;2747;http://digitalbuildingdata.tech/nlcs/def/cb01a44e-db14-4d5a-abff-948156574df2;http://digitalbuildingdata.tech/nlcs/def/2743e487-3a59-4760-b0d5-01b32e47e416
PAAL_HOUT_OPLANGER;*;-;**;-;FC;-;PAAL;_;HOUT;_;OPLANGER;;;;;;;;;;;ACO-HOUT;;*-**-FC-PAAL_HOUT_OPLANGER;0.18;30;252;40;10;254;CONTINUOUS;0.25;30;252;40;10;254;CONTINUOUS;0.25;30;252;40;10;254;V-CONTINUOUS-SO;0.25;30;252;40;10;254;CONTINUOUS;;;2749;2748;http://digitalbuildingdata.tech/nlcs/def/e61fe527-d8e2-4da9-a8c2-08a7471558a3;http://digitalbuildingdata.tech/nlcs/def/cb01a44e-db14-4d5a-abff-948156574df2
PAAL_STAALBUIS;*;-;**;-;FC;-;PAAL;_;STAALBUIS;;;;;;;;;;;;;;SFC-PAAL_STAAL;*-**-FC-PAAL_STAALBUIS;0.18;140;252;130;10;254;CONTINUOUS;0.25;140;252;130;10;254;CONTINUOUS;0.25;140;252;130;10;254;V-CONTINUOUS-SO;0.25;140;252;130;10;254;CONTINUOUS;;;2755;2747;http://digitalbuildingdata.tech/nlcs/def/96594b66-a988-4a5c-81a7-3f26e09f53f3;http://digitalbuildingdata.tech/nlcs/def/2743e487-3a59-4760-b0d5-01b32e47e416
PAAL_STAALBUIS_SCHROEFPAAL;*;-;**;-;FC;-;PAAL;_;STAALBUIS;_;SCHROEFPAAL;;;;;;;;;;;;;*-**-FC-PAAL_STAALBUIS_SCHROEFPAAL;0.18;140;252;130;10;254;CONTINUOUS;0.25;140;252;130;10;254;CONTINUOUS;0.25;140;252;130;10;254;V-CONTINUOUS-SO;0.25;140;252;130;10;254;CONTINUOUS;;;2756;2755;http://digitalbuildingdata.tech/nlcs/def/42cf5700-3da1-4251-9230-9f727a5401b8;http://digitalbuildingdata.tech/nlcs/def/96594b66-a988-4a5c-81a7-3f26e09f53f3
REPARATIES;*;-;**;-;FC;-;REPARATIES;;;;;;;;;;;;;;;;;*-**-FC-REPARATIES;0.18;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;CONTINUOUS;0.25;170;172;170;170;253;V-CONTINUOUS-SO;0.25;170;172;170;170;253;CONTINUOUS;;;2767;;http://digitalbuildingdata.tech/nlcs/def/4a8c1bf0-b74e-41de-bc60-6584e15e4a78;
