OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
DIJK_KNIKLIJN;*;-;**;-;GW;-;DIJK;_;KNIKLIJN;;;;;;;;;;;;;;;*-**-GW-DIJK_KNIKLIJN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;4088;432;http://digitalbuildingdata.tech/nlcs/def/49649bee-1d92-4f4b-ae25-73201fb93f6f;http://digitalbuildingdata.tech/nlcs/def/93b0b98a-97d8-48e5-b4e2-03eaec2a28fc
DIJK_KRUIN;*;-;**;-;GW;-;DIJK;_;KRUIN;;;;;;;;;;;;;;;*-**-GW-DIJK_KRUIN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;433;432;http://digitalbuildingdata.tech/nlcs/def/ce694fab-a751-418f-a685-0c978090ef84;http://digitalbuildingdata.tech/nlcs/def/93b0b98a-97d8-48e5-b4e2-03eaec2a28fc
DIJK_KRUIN_BINNEN;*;-;**;-;GW;-;DIJK;_;KRUIN;_;BINNEN;;;;;;;;;;;;;*-**-GW-DIJK_KRUIN_BINNEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;434;433;http://digitalbuildingdata.tech/nlcs/def/3972a6de-ba93-4883-b975-119653802055;http://digitalbuildingdata.tech/nlcs/def/ce694fab-a751-418f-a685-0c978090ef84
DIJK_KRUIN_BUITEN;*;-;**;-;GW;-;DIJK;_;KRUIN;_;BUITEN;;;;;;;;;;;;;*-**-GW-DIJK_KRUIN_BUITEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;435;433;http://digitalbuildingdata.tech/nlcs/def/2b14b380-9a47-4ea5-93d6-3a274b9b8b95;http://digitalbuildingdata.tech/nlcs/def/ce694fab-a751-418f-a685-0c978090ef84
DIJK_TALUD;*;-;**;-;GW;-;DIJK;_;TALUD;;;;;;;;;;;;;;;*-**-GW-DIJK_TALUD;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;4087;432;http://digitalbuildingdata.tech/nlcs/def/efeb8611-6301-46cb-9e6a-f3c172cc46fa;http://digitalbuildingdata.tech/nlcs/def/93b0b98a-97d8-48e5-b4e2-03eaec2a28fc
DIJK_TEEN;*;-;**;-;GW;-;DIJK;_;TEEN;;;;;;;;;;;;;;;*-**-GW-DIJK_TEEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;436;432;http://digitalbuildingdata.tech/nlcs/def/ed9a89f4-b142-45c8-8e11-a0b6545b3985;http://digitalbuildingdata.tech/nlcs/def/93b0b98a-97d8-48e5-b4e2-03eaec2a28fc
DIJK_TEEN_BINNEN;*;-;**;-;GW;-;DIJK;_;TEEN;_;BINNEN;;;;;;;;;;;;;*-**-GW-DIJK_TEEN_BINNEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;437;436;http://digitalbuildingdata.tech/nlcs/def/78ea421a-fdf2-4c94-8848-f83a5215afdf;http://digitalbuildingdata.tech/nlcs/def/ed9a89f4-b142-45c8-8e11-a0b6545b3985
DIJK_TEEN_BUITEN;*;-;**;-;GW;-;DIJK;_;TEEN;_;BUITEN;;;;;;;;;;;;;*-**-GW-DIJK_TEEN_BUITEN;0.18;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;CONTINUOUS;0.35;90;92;90;90;253;V-CONTINUOUS-SO;0.35;90;92;90;90;253;CONTINUOUS;;;438;436;http://digitalbuildingdata.tech/nlcs/def/c68843d5-d116-4144-a7be-5c2f981ecb28;http://digitalbuildingdata.tech/nlcs/def/ed9a89f4-b142-45c8-8e11-a0b6545b3985
GRONDSCHEIDINGEN;*;-;**;-;GW;-;GRONDSCHEIDINGEN;;;;;;;;;;;;;;;;;*-**-GW-GRONDSCHEIDINGEN;0.18;210;212;210;210;253;CONTINUOUS;0.50;210;212;210;210;253;CONTINUOUS;;;;;;;;0.18;210;212;210;210;253;CONTINUOUS;;;;;http://digitalbuildingdata.tech/nlcs/def/c4186ae5-89c1-45b3-ab14-14f19b31490d;
GRONDSCHEIDINGEN_ANTIWORTELDOEK;*;-;**;-;GW;-;GRONDSCHEIDINGEN;_;ANTIWORTELDOEK;;;;;;;;;;;;;;;*-**-GW-GRONDSCHEIDINGEN_ANTIWORTELDOEK;0.18;210;212;210;210;253;CONTINUOUS;0.50;210;212;210;210;253;CONTINUOUS;;;;;;;;0.18;210;212;210;210;253;CONTINUOUS;;;;;http://digitalbuildingdata.tech/nlcs/def/7edb3b41-6d17-4274-9e72-7b31b4c67bf7;http://digitalbuildingdata.tech/nlcs/def/c4186ae5-89c1-45b3-ab14-14f19b31490d
