OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;ID;KIND_VAN;URI;KIND_VAN_URI
MECHANISCHVORM_DRAAIEND;*;-;**;-;MC;-;MECHANISCHVORM;_;DRAAIEND;;;;;;;;;;;;;;;*-**-MC-MECHANISCHVORM_DRAAIEND;0.18;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;CONTINUOUS;0.35;7;252;7;7;253;V-CONTINUOUS-SO;0.35;7;252;7;7;253;CONTINUOUS;;;2827;2825;http://digitalbuildingdata.tech/nlcs/def/7199b164-e0d1-4303-be3e-9879ada02a71;http://digitalbuildingdata.tech/nlcs/def/4b453c86-41ca-4d91-b7f4-5875053209ce
AANGRENZENDECONSTRUCTIE_HOUT;*;-;**;-;MC;-;AANGRENZENDECONSTRUCTIE;_;HOUT;;;;;;;;;;;;;ACO-HOUT;;*-**-MC-AANGRENZENDECONSTRUCTIE_HOUT;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2841;2838;http://digitalbuildingdata.tech/nlcs/def/ea55b464-e8ce-44e5-932e-93640688a916;http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
HYDRAULIEKVORM_KLEPPEN;*;-;**;-;MC;-;HYDRAULIEKVORM;_;KLEPPEN;;;;;;;;;;;;;;;*-**-MC-HYDRAULIEKVORM_KLEPPEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2837;2834;http://digitalbuildingdata.tech/nlcs/def/2b37c24a-3dc6-4552-b89c-5fc1cffee038;http://digitalbuildingdata.tech/nlcs/def/8f5fb3af-58d9-4df6-ba49-79d23f73a2bc
PNEUMATIEKVORM_KLEPPEN;*;-;**;-;MC;-;PNEUMATIEKVORM;_;KLEPPEN;;;;;;;;;;;;;;;*-**-MC-PNEUMATIEKVORM_KLEPPEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2833;2830;http://digitalbuildingdata.tech/nlcs/def/4ec929e6-5c52-4bed-b018-eb14febd0c6c;http://digitalbuildingdata.tech/nlcs/def/94c35bd8-ee32-4b13-bba1-b12fd2b70b41
HYDRAULIEKVORM_LEIDINGEN;*;-;**;-;MC;-;HYDRAULIEKVORM;_;LEIDINGEN;;;;;;;;;;;;;;;*-**-MC-HYDRAULIEKVORM_LEIDINGEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2835;2834;http://digitalbuildingdata.tech/nlcs/def/01a85a45-f609-453c-bdf6-e697ddc2ca29;http://digitalbuildingdata.tech/nlcs/def/8f5fb3af-58d9-4df6-ba49-79d23f73a2bc
MECHANISCHVORM_LEIDINGEN;*;-;**;-;MC;-;MECHANISCHVORM;_;LEIDINGEN;;;;;;;;;;;;;;;*-**-MC-MECHANISCHVORM_LEIDINGEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2829;2825;http://digitalbuildingdata.tech/nlcs/def/b191f0f6-f656-4ddb-83e0-9ca00d18c029;http://digitalbuildingdata.tech/nlcs/def/4b453c86-41ca-4d91-b7f4-5875053209ce
PNEUMATIEKVORM_LEIDINGEN;*;-;**;-;MC;-;PNEUMATIEKVORM;_;LEIDINGEN;;;;;;;;;;;;;;;*-**-MC-PNEUMATIEKVORM_LEIDINGEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2831;2830;http://digitalbuildingdata.tech/nlcs/def/8db5f615-82e4-44a3-9123-75440e6785e8;http://digitalbuildingdata.tech/nlcs/def/94c35bd8-ee32-4b13-bba1-b12fd2b70b41
AANGRENZENDECONSTRUCTIE_METSELWERK;*;-;**;-;MC;-;AANGRENZENDECONSTRUCTIE;_;METSELWERK;;;;;;;;;;;;;ACO-METSELWERK;;*-**-MC-AANGRENZENDECONSTRUCTIE_METSELWERK;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;CONTINUOUS;0.18;7;253;7;20;253;V-CONTINUOUS-SO;0.18;7;253;7;20;253;CONTINUOUS;;;2842;2838;http://digitalbuildingdata.tech/nlcs/def/1948901b-5ce4-4805-8d28-be0e69330f75;http://digitalbuildingdata.tech/nlcs/def/f414e4fd-74ad-435d-87d5-f39d051129c0
HYDRAULIEKVORM_POMPEN;*;-;**;-;MC;-;HYDRAULIEKVORM;_;POMPEN;;;;;;;;;;;;;;;*-**-MC-HYDRAULIEKVORM_POMPEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2836;2834;http://digitalbuildingdata.tech/nlcs/def/ea648a16-afb9-408e-82ab-ec571aa76637;http://digitalbuildingdata.tech/nlcs/def/8f5fb3af-58d9-4df6-ba49-79d23f73a2bc
PNEUMATIEKVORM_POMPEN;*;-;**;-;MC;-;PNEUMATIEKVORM;_;POMPEN;;;;;;;;;;;;;;;*-**-MC-PNEUMATIEKVORM_POMPEN;0.18;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;CONTINUOUS;0.35;10;12;10;10;253;V-CONTINUOUS-SO;0.35;10;12;10;10;253;CONTINUOUS;;;2832;2830;http://digitalbuildingdata.tech/nlcs/def/bee48a51-d4da-49a0-9e5b-cb1af863a42a;http://digitalbuildingdata.tech/nlcs/def/94c35bd8-ee32-4b13-bba1-b12fd2b70b41
