;;; File   : RTW_geolayers-bc_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: geolayers-bc

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Beton-geometrie                                                                                                                           62 
42  bc-geo_50da2                            0    #         rtwdashed50    50   130       rtwdashed50    50   130       rtwdashed50         Geometrie 0.50 dashed 2
43  bc-geo_50dad1                           0    #         rtwcenter50    50   10        rtwcenter50    50   10        rtwcenter50         Geometrie 0.50 dashed-dot 1
44  bc-geo_50dad2                           0    #         rtwcenter50    50   253       rtwcenter50    50   253       rtwcenter50         Geometrie 0.50 dashed-dot 2
45  bc-geo_50dadd                           0    #         rtwphantom50   50   10        rtwphantom50   50   10        rtwphantom50        Geometrie 0.50 dashed-2dot
46  bc-geo_50dotted                         0    #         rtwdotted25    50   7         rtwdotted25    50   7         rtwdotted25         Geometrie 0.50 dotted
47  bc-geo_70cont1                          0    #         continuous     70   10        continuous     70   10        continuous          Geometrie 0.70 continuous 1
48  bc-geo_70cont2                          0    #         continuous     70   90        continuous     70   90        continuous          Geometrie 0.70 continuous 2
49  bc-geo_70da                             0    #         rtwdashed50    70   90        rtwdashed50    70   90        rtwdashed50         Geometrie 0.70 dashed
50  bc-geo_70dad                            0    #         rtwcenter50    70   10        rtwcenter50    70   10        rtwcenter50         Geometrie 0.70 dashed-dot
51  bc-geo_70dadd                           0    #         rtwphantom50   70   130       rtwphantom50   70   130       rtwphantom50        Geometrie 0.70 dashed-2dot
52  bc-stortnaad                            18   43        zz             35   10        zz             35   13        zz                  Stortnaden
53  bc-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Afbreeklijnen
54  bc-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
55  bc-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
56  ------------------------------------------
57  bc-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
58  bc-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
59  bc-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
60  bc-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
61  bc-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
62  bc-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

einde1
*------------                                                                                                                              0

*Tekeningopmaak                                                                                                                            26 
1   to-deelkader                            18   133       continuous     18   133       continuous     18   133       continuous          Deelkader
2   to-dsnlijn                              25   7         rtwcenter50    25   7         rtwcenter50    25   7         rtwcenter50         Doorsnedelijn
3   to-grid                                 18   8         continuous     18   8         continuous     18   8         continuous          Ruitkruisjes
4   to-hulpgeometrie                        35   53        continuous     35   50        continuous     35   50        continuous          Hulpgeometrie
5   to-kader                                25   7         continuous     25   7         continuous     25   7         continuous          Tekeningkader
6   to-klad                                 35   50        continuous     35   50        continuous     35   50        continuous          Kladlaag
7   to-noordpijl                            25   7         continuous     25   7         continuous     25   7         continuous          Noordpijl
8   to-overig                               25   7         continuous     25   7         continuous     25   7         continuous          Overig
