;;; File   : RTW_MX_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: 

Posities:
POS_AANTLAAGNAAM   60
POS_LAAGNAAM       5
POS_LW             45
POS_KL             50
POS_LT             60


    5                                       45   50        60

*alm                                                       11 
1   tekst018                                30   1         continuous                    18
2   lijn018                                 30   7         continuous                    19
3   tekst025                                30   7         continuous                    28
4   lijn025                                 30   7         continuous                    29
5   tekst035                                30   7         continuous                    38
6   lijn035                                 30   7         continuous                    39
7   tekst050                                30   7         continuous                    58
8   lijn050                                 30   7         continuous                    59
9   gdsstring                               30   1         continuous                    G
10  hulplijn                                30   7         continuous                    J
11  masterstring                            30   1         DASH                          M
*bdy                                                       2 
1   bdrymetz                                30   140       continuous                    BY  
2   bdryzonderz                             30   140       continuous                    BZ  
*bep                                                       19 
1   txtbeplanting                           30   140       continuous                    *B  
2   boom                                    30   4         continuous                    A   
3   bos                                     30   4         continuous                    B   
4   bosplantsoen                            30   4         continuous                    C   
5   groenstrook                             30   5         continuous                    D   
6   houtwal                                 30   21        DASH                          E   
7   bomenrij                                30   4         continuous                    F   
8   moeras                                  30   7         continuous                    G   
9   overige                                 30   7         continuous                    H   
10  bomenstruiken                           30   4         continuous                    I   
11  riet                                    30   3         continuous                    J   
12  struiken                                30   4         continuous                    L   
13  struweel                                30   4         continuous                    N   
14  hulplijn                                30   7         continuous                    O   
15  grasachtbegr                            30   5         continuous                    Q   
16  haagraster                              30   241       DASH                          R   
17  haag                                    30   241       DASH                          S   
18  grasland                                30   5         continuous                    T   
19  sierplantsoen                           30   1         continuous                    U   
*bwm                                                       5 
1   hulplijn                                30   21        continuous                    H   
2   mstringpoer                             30   1         DASH                          M   
3   poerAportaal                            30   7         continuous                    V1  
4   poeruithouder                           30   7         POERUITH123                   V2  
5   berekendepoer                           30   21        continuous                    X   
*con                                                       4 
1   hoogtelijn (index)                      30   140       continuous                    0   
2   bdrymetz                                30   140       continuous                    BY  
3   bdryzonderz                             30   140       continuous                    BZ  
4   hoogtelijn (normal)                     30   21        continuous                    D   
*cun                                                       12 
1   randverharding                          30   7         continuous                    A   
2   bdrymetz                                30   140       continuous                    BY  
3   bdryzonderz                             30   140       continuous                    BZ  
4   snijdingslijngrdwrk                     30   3         continuous                    I   
5   hulplijn                                30   8         continuous                    J   
6   kruinlijnen                             30   3         continuous                    K   
7   overige                                 30   3         continuous                    L   
8   masterstring                            30   1         continuous                    M   
9   watergang                               30   3         continuous                    N   
10  scheidingverhard                        30   2         continuous                    S0  
11  kniklijn                                30   7         DASH                          SK  
12  zoabsprong                              30   7         continuous                    Z   
*dfm                                                       92 
1   randverharding                          30   7         continuous                    A
2   streep(alle)                            30   7         continuous                    B
3   streep 0.101                            10   7         continuous                    B1
4   streep 0.102                            10   7         continuous                    B2
5   streep 0.103                            10   7         continuous                    B3
6   streep 0.151                            15   7         continuous                    B4
7   streep 0.152                            15   7         continuous                    B5
8   streep 0.153                            15   7         continuous                    B6
9   streep 0.201                            20   7         continuous                    B7
10  streep 0.202                            20   7         continuous                    B8
11  streep 0.203                            20   7         continuous                    B9
12  streep 0.05                             30   140       continuous                    BA
13  bdrymetz                                20   140       continuous                    BY
14  bdryzonderz                             30   7         DRIENEGE                      BZ
15  39streep 0.101                          30   7         DRIENEGE                      C1
16  39streep 0.102                          30   7         DRIENEGE                      C2
17  39streep 0.103                          30   7         DRIENEGE                      C3
18  39streep 0.151                          30   7         DRIENEGE                      C4
19  39streep 0.152                          30   7         DRIENEGE                      C5
20  39streep 0.153                          30   7         DRIENEGE                      C6
21  13streep 0.45                           30   7         EENDRI45                      D
22  11streep 0.10                           30   7         EENEEN                        E1
23  13streep 0.10                           30   7         EENDRIE                       E2
24  haaientd                                30   7         HAAITAND                      E3
25  13streep 0.30                           30   7         EENDRI30                      E4
26  93streep                                30   7         NEGEDRIE                      E5
27  6060streep                              30   7         FIETBL60                      E6
28  5050streep 0.50                         30   7         FIETST50                      E7
29  39streep 0.30                           30   7         DRIENEGE                      E8
30  31streep 0.10                           30   7         DRIEEENT                      E9
31  30270streep 0.10                        30   7         EENNEGEN                      EA
32  27030streep 0.10                        30   7         NEGENEEN                      EB
33  91streep 0.20                           30   7         NEGENEEN                      EC
34  5050streep 0.10                         30   7         FIETST50                      ED
35  13streep 0.20                           30   7         EENDRI30                      EE
36  33streep 0.15                           30   7         EENDRI30                      EF
37  13streep 0.40                           30   7         FIETST50                      EG
38  verdrijfstreep                          30   7         continuous                    F
39  gdsstring                               30   7         continuous                    G
40  bebouwing                               30   1         continuous                    H
41  dakgoot                                 30   1         continuous                    HD
42  grondvlak                               30   1         continuous                    HG
43  top                                     30   1         continuous                    HT
44  snijdingslijngrdwrk                     30   8         continuous                    I
45  hulplijn                                30   7         continuous                    J
46  kruinlijnen                             30   3         continuous                    K
47  grondwerk                               30   3         continuous                    L
48  masterstring                            30   1         DASH                          M
49  watergang                               30   3         continuous                    N
50  waterlijn                               30   4         continuous                    O
51  pijlrd750                               30   7         PIJLRESN                      Q1
52  pijlre750                               30   7         PIJLRSNE                      Q2
53  pijlli750                               30   7         PIJLLSNE                      Q3
54  pijlcombire750                          30   7         PIJCRSNE                      Q4
55  pijlcombili750                          30   7         PIJCLSNE                      Q5
56  pijlreverbod750                         30   7         PIRBNTSN                      Q6
57  pijlliverbod750                         30   7         PILBNTSN                      Q7
58  pijlverdrijf750                         30   7         PIJLASSN                      Q8
59  pijlrd500                               30   7         PIJLRESC                      R1
60  pijlre500                               30   7         PIJLRSCD                      R2
61  pijlli500                               30   7         PIJLLSCD                      R3
62  pijlcombire500                          30   7         PIJCRSCD                      R4
63  pijlcombili500                          30   7         PIJCLSCD                      R5
64  pijlreverbod500                         30   7         PIRBNTSC                      R6
65  pijlliverbod500                         30   7         PILBNTSC                      R7
66  pijlantispook                           30   7         PLSPOOK                       R8
67  scheidingverhard                        30   2         continuous                    S0
68  kniklijn                                30   7         DASH                          SK
69  stuw                                    30   8         continuous                    T1
70  duiker                                  30   8         continuous                    T2
71  lichtmast dubbel                        30   7         continuous                    T3
72  vlakverdichtingslijnen                  30   8         continuous                    U
