number,title,state,labels,milestone,release_notes
644,RIOOLPUTTEN hebben twee zoektermen bij de symbolen,CLOSED,RI_riolering-en-GWSW,Inhoudelijke issues Release 5.1,
645,MEUBILAIR_DIJKPAAL - gekoppeld aan groepen symbolen,CLOSED,IE-inrichtingselementen,Inhoudelijke issues Release 5.1,
646,MEUBILAIR_FIETSENKLUIS  er zijn twee groepen symbolen aan gekoppeld,CLOSED,IE-inrichtingselementen,Inhoudelijke issues Release 5.1,
647,Grote hoeveelheid symbolen: in database anders inrichten?,OPEN,Symbolen,Technische backlog,
648,COMPONENT_RASBAK heeft twee zoektermen,CLOSED,Stedelijk Spoor,Release Stedelijk Spoor​ Tram in NLCS 5.1,
649,"Voorselecties van NLCS Objecten voor ontwerpen, revisie, BGT",OPEN,publicatie,Technische backlog,
650,symbols need fase and optie,CLOSED,Symbolen; publicatie,Inhoudelijke issues Release 5.1,
651,30 Arceringen in NLCS 5.0 passen niet in AutoCAD & pat bestand mist prefix,CLOSED,Arceringen,Technische issues voor NLCS 5.1,
652,In beheeromgeving NLCS classificatie rioleringen: links naar IMBOR 2025 en GWSW (laatste versie) mogelijk maken,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
653,Project dynamische symbolen groeiplaatsen bomen,OPEN,GR-Groen-inclusief-bomen; dynamische symbolen,Inhoudelijke issues release xx,
654,Always work with search-term for symbolen / arceringen and new query objects classic,CLOSED,Symbolen; Arceringen,Technische issues voor NLCS 5.1,
655,"Query Arceringen, more columns",CLOSED,Arceringen,Technische issues voor NLCS 5.1,
656,Query symbolen needs more colums,CLOSED,Symbolen,Technische issues voor NLCS 5.1,
657,Omgang met wijzigingen,CLOSED,duplicate; Informatiemodel; ID en wijzigingen,Technische backlog,
658,Query lijntype aanvullen,CLOSED,Lijnen,Technische issues voor NLCS 5.1,
659,Checkvraag technische commissie; short name van symbolen / arceringen,CLOSED,publicatie,Technische issues voor NLCS 5.1,
660,Niveau waarop symbolen gekoppeld moeten zijn,OPEN,Symbolen,Inhoudelijke backlog,
661,Project NLCS drinkwater,OPEN,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
662,VW-MARKERING subobjecten tbv materialisatie?,OPEN,VW Verkeersmaatregelen Weg,Inhoudelijke issues release xx,
663,Afwijkende URI's,CLOSED,publicatie,Technische issues voor NLCS 5.1,
664,"Checks arceringen, expired objects?",CLOSED,publicatie,Technische issues voor NLCS 5.1,
665,all-objects-concept-51 misses values,CLOSED,publicatie,Technische issues voor NLCS 5.1,
666,CHECK DOUBLE id'S SYMBOLS,CLOSED,Symbolen,Technische issues voor NLCS 5.1,
667,CHECK MISSING SUBOBJECTS & CHANGE QUERY,CLOSED,publicatie,Technische issues voor NLCS 5.1,
668,check control query bewerkingen & new output,CLOSED,publicatie,,
669,check control query object name should be arcering name,CLOSED,publicatie,Technische issues voor NLCS 5.1,
670,fix missing id & symbolen fase / optie,CLOSED,publicatie,Technische issues voor NLCS 5.1,
671,unique ID check for BESCHOEIING_COMBINATIE,CLOSED,,,
672,Check/Fix mistakes in line weights,CLOSED,,,
673,.PAT generator,OPEN,Arceringen,Technische issues voor NLCS 5.1,
674,Nieuwe acceptatie-versie voor nlcs leveranciers,CLOSED,publicatie,Technische issues voor NLCS 5.1,
675,Foutive lijndiktes voor Object,CLOSED,OG-ondergrond,Inhoudelijke issues Release 5.1,
676,Naamgeving verhardingen 'gesloten verharding en openverharding en halfverharding,OPEN,VH - verhardingen,Inhoudelijke backlog,
677,feedback op acceptatieversie 5.0 van 1 juli,CLOSED,publicatie,Technische issues voor NLCS 5.1,
678,Beta-classificatie NLCS Verhardingen opnemen in beheeromgeving en publiceren op sparql-endpoint,OPEN,Ontologie,NLCS Objectgericht,
679,Beta-classificatie NLCS Verhardingen: links naar IMBOR opnemen en ontology alignment publiceren,OPEN,,NLCS Objectgericht,
680,IFC uitwisselen werkpakket 1: PVA & Verhaallijn en added value,OPEN,3D: IFC+Classificatie,NLCS Objectgericht,
681,"Revit Template Update bestaand  naar NLCS 5.1, proof of concept met kunstwerken",OPEN,3D softwaretemplates,NLCS Objectgericht,
682,Civil3D Template & Countrykit Fase 1 Update bestaand  proof of concept met verhardingen,OPEN,3D softwaretemplates,NLCS Objectgericht,
683,Gebruikersvraag inspectie / trekputten KL,OPEN,KL kabels en leidingen,Gebruikersvragen,
684,"Overzichtsissue Project NLCS Objectgericht, BIM Basis Infra & NLCS",OPEN,3D: IFC+Classificatie,NLCS Objectgericht,
685,Beta-classificatie NLCS BC Betonconstructies opnemen in beheeromgeving en publiceren op sparql-endpoint,OPEN,BC betonconstructies,NLCS Objectgericht,
686,Beta-classificatie NLCS BC; links naar IMBOR opnemen en publiceren op sparql-endpoint,OPEN,BC betonconstructies,NLCS Objectgericht,
687,Experiment Hoeveelheden berekenen met NLCS Classificatie VH door VolkerWessels,OPEN,,NLCS Objectgericht,
688,Experiment aansluiten op Assetinformatie beheerder met NLCS Classificatie VH door Gelderland,OPEN,,NLCS Objectgericht,
689,Experiment Hoeveelheden berekenen met NLCS Classificatie BC door VolkerWessels,OPEN,,NLCS Objectgericht,
690,Experiment aansluiten op asset informatie beheerder NLCS Classificatie BC door Gelderland,OPEN,,NLCS Objectgericht,
691,Go / No Go besluit voor Classificaties NLCS Objectgericht VH + BC,OPEN,3D: IFC+Classificatie,NLCS Objectgericht,
692,Go / No Go besluit voor Beta Templates NLCS Objectgericht,OPEN,,NLCS Objectgericht,
693,"Kleurenkolommen en kind van kolommen  in objectentabellen geen geheel getal, maar decimaal",CLOSED,,Technische issues voor NLCS 5.1,
694,"Hoofdgroep constructies typefout ""Acceptatie versie 5.1.4""",CLOSED,disciplines,Technische issues voor NLCS 5.1,
695,GitHub inrichten met releases zodat we elke test versie goed kunnen tracken,CLOSED,publicatie,Technische issues voor NLCS 5.1,
698,"Feedback on ""Acceptatie versie 5.1.4""",CLOSED,publicatie,Technische issues voor NLCS 5.1,
699,Gebruikersvraag lijndiktes: verschil in diktes van de verschillende soorten lagen per materiaal,OPEN,BC betonconstructies; Lijnen; VH - verhardingen; GW-grondwerk,Gebruikersvragen,
700,missing values SO and phase for linetypes,CLOSED,Lijnen,Technische issues voor NLCS 5.1,
701,overbodige patterns in NLCS 5.0,OPEN,Bespreken EC; Arceringen,Inhoudelijke backlog,
702,'doorsnede' en 'niet zichtbaar',OPEN,Bespreken EC; CAD-elementen,Inhoudelijke backlog,
703,Lijndiktes,OPEN,Lijnen; CAD-elementen,Inhoudelijke issues Release 5.1,
704,Feedback rv5.1.5,CLOSED,publicatie,Technische issues voor NLCS 5.1,
705,end of lines in linetypes,CLOSED,,Technische issues voor NLCS 5.1,
706,add column URI's to symbols-query,CLOSED,,Technische issues voor NLCS 5.1,
708,1 Kick-off en analyse informatiebehoefte,OPEN,,NLCS Objectgericht,
709,2 Analyseren Revit workflow,OPEN,,NLCS Objectgericht,
710,3 Analyseren Calculatie behoefte,OPEN,,NLCS Objectgericht,
711,4 Beschrijven gewenste informatie structuur,OPEN,,NLCS Objectgericht,
712,5 Realiseren gewenste output in IFC voor eerste testbatch,OPEN,,NLCS Objectgericht,
713,6 Testen IFC testbatch in IBIS,OPEN,,NLCS Objectgericht,
714,7 Evaluatie eerste batch 8 uur,OPEN,,NLCS Objectgericht,
716,Check documentatie op toevoegingen netbeheerders,CLOSED,,Inhoudelijke issues Release 5.1,
717,Afspraken lagenopbouw NLCS drinkwater,CLOSED,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
718,NLCS Informatiemodel Drinkwater - Inventarisatie MVP datamodel,OPEN,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
719,Use cases samenhang standaarden NLCS - GWSW,CLOSED,RI_riolering-en-GWSW,Inhoudelijke backlog,
720,10% versie NLCS ontologie Rioleringen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
721,10% versie NLCS ontologie-IMBOR/GWSW,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
722,10% versie alignment NLCS ontologie - NLCS voor rioleringen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
723,Klassieke mappingstabel gwsw-nlcs genereren uit 10% versie,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
724,"Vraag over BEWERKING: alleen nieuw of tijdelijk, wordt in revisietekeningen niet aangeduid wat er gedaan is?",OPEN,status&bewerking,Inhoudelijke backlog,
725,Documentatie maken objectgericht informatiemodel NLCS,CLOSED,Informatiemodel,Alignment GWSW,
726,STROMINGSRICHTING of STROOMRICHTING,CLOSED,RI_riolering-en-GWSW,,
727,Herkennen van objecten in tekeningen: legenda,OPEN,CAD interoperabiliteit,Technische backlog,
728,Vraag NLCS voor landmeters,OPEN,landmeten,Gebruikersvragen,
729,Verzamelen gebruikte individuele CAD-bibliotheken met symbolen door drinkwaterbedrijven,OPEN,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
730,Volgorde en inhoud objecten subobjecten drinkwater bepalen,OPEN,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
731,Voorstel omgang met kleuren voor Expert- en technische commissie,OPEN,kleuren,Inhoudelijke issues release xx,
732,Gebruikersvraag kleuren van teksten,CLOSED,kleuren,Gebruikersvragen,
733,feedback eisen aan tekeningen en modellen 5.1,CLOSED,documentation,Inhoudelijke issues Release 5.1,
734,Check technische commissie op software-impact toevoeging bedrijfstoestand in CAD-database netbeheerders,OPEN,Netbeheer; status&bewerking; KL kabels en leidingen,Technische backlog,
735,Bold (vet) lijkt niet te werken op .ttf font,OPEN,,,
736,"Feedback 5.1 ID nummers, twee versies in de lucht houden in de software en aansluiting maatwerk bibliotheken",OPEN,publicatie; ID en wijzigingen,Technische issues voor NLCS 5.1,
737,SIS-symbolen hebben unit ipv unitless,CLOSED,IS installaties spoor,Technische issues voor NLCS 5.1,
738,IS-objecten: feedback,CLOSED,duplicate; IS installaties spoor,Inhoudelijke issues Release 5.1,
739,feedback op eisen aan softwareimplementatie,OPEN,eisen aan NLCS applicaties,,
740,feedback op functionele beschrijving,OPEN,documentation,Inhoudelijke issues Release 5.1,
741,feedback 5.1.5,CLOSED,publicatie,Technische issues voor NLCS 5.1,
742,5.2.3 Naamgeving en plaatsing van symbolen,OPEN,documentation; Symbolen,,
743,Vele klachten rondom lijntypes kantopsluitingen,OPEN,VH - verhardingen,,
744,Feedback dubbele objecten of worden bewerkingen niet goed verwerkt in test 5.1 in CAD-applicaties,OPEN,RI_riolering-en-GWSW; status&bewerking; GW-grondwerk,Technische issues voor NLCS 5.1,
745,Feedback documentatie 5.1,OPEN,documentation; Lijnen,Inhoudelijke issues Release 5.1,
746,Feedback test 5.1 applicatie,OPEN,GR-Groen-inclusief-bomen; VH - verhardingen,Inhoudelijke issues Release 5.1,
747,aanpassen functionele beschrijving 5.1 hoofdgroepen stedelijk spoor kloppen niet meer,OPEN,documentation; Stedelijk Spoor,Inhoudelijke issues Release 5.1,
748,Onderzoeken of er een koppeling met de ETIM nodig is voor bestellen van producten op basis van tekening,OPEN,NLCS drinkwater,Inhoudelijke backlog,
749,LIN bestand probleem?,OPEN,Lijnen,Technische issues voor NLCS 5.1,
750,feedback 5.1 symbolen zijn niet geoptimaliseerd,OPEN,Symbolen,Technische issues voor NLCS 5.1,
751,"Relaties NLCS versus GWSW, inhoudelijke vragen",OPEN,RI_riolering-en-GWSW,Alignment GWSW,
752,testlinks naar ontologie vanuit beheeromgeving nlcs weghalen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
753,Gebruikersvraag BGT-mapping NLCS5.0,OPEN,BGT,Gebruikersvragen,
754,"Relaties NLCS - GWSW, modelleertechnische vragen",CLOSED,Informatiemodel; RI_riolering-en-GWSW,Alignment GWSW,
755,"Vragen GWSW versus NLCS, afsluiter, afsluitstuk, eindkap",CLOSED,,Alignment GWSW,
756,"Beoordelen symbolen rioleringen, of dit apart objecten in de taxonomie moeten worden",OPEN,RI_riolering-en-GWSW,Alignment GWSW,
757, queries opstellen rioleringsontologie en alignments met voorbeeld output in ReadME,OPEN,RI_riolering-en-GWSW,Alignment GWSW,
758,Rioleringsclassifcatie: Samenstellingen maken onder stelseltypes,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
759,"beheerogeving rioleringsontologie, matter?",CLOSED,RI_riolering-en-GWSW; publicatie,Alignment GWSW,
760,"beheeromgeving classificatie rioleringen, links naar NLCS tonen alleen uri",CLOSED,RI_riolering-en-GWSW; publicatie,Alignment GWSW,
761,feedback 5.1 probleem sbs arceringen,OPEN,VH - verhardingen; Arceringen,Technische issues voor NLCS 5.1,
762,B-status symbolen bij gelijk uiterlijk?,OPEN,Symbolen; KL kabels en leidingen,Inhoudelijke issues Release 5.1,
763,"Zoekfilters symbolen > KAST? BAKEN, DRIS, MINUS, enz hebben allemaal dezelfde symbolen als hun parent.",OPEN,Symbolen; IS installaties spoor,Inhoudelijke issues Release 5.1,
764,Objecten met haakjes,CLOSED,publicatie,Technische issues voor NLCS 5.1,
765,Controlequeries nlcs-gwsw mapping,CLOSED,duplicate; RI_riolering-en-GWSW,Alignment GWSW,
766,Opstellen minimale dataset rioleringsrevisie,OPEN,RI_riolering-en-GWSW,Alignment GWSW,
767,Relatie van classificatie naar tekenstandaard: described by maken,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
768,"Gebruikersvraag: nieuwe, vervallen, gewijzigde objecten",CLOSED,ID en wijzigingen,Technische issues voor NLCS 5.1,
769,Feedbacklijst 5.1 technische issues,OPEN,publicatie,Technische issues voor NLCS 5.1,
770,Experttoets release 5.1.5,OPEN,publicatie,Technische issues voor NLCS 5.1,
771,"Relaties GWSW - NLCS, URI overnemen?",CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
772,Binnenonderkant buis,CLOSED,Informatiemodel; RI_riolering-en-GWSW,Alignment GWSW,
773,"OVERIG: soms bedoelen we ""ander stelsel"" uit GWSW, soms bedoelen we ""geen stelsel""",OPEN,RI_riolering-en-GWSW,Alignment GWSW,
774,VACUUMLEIDING_RIOOLLEIDING_MATERIAAL is dit een tekstlaag? moeten we zeggen dat er altijd een materiaal moet worden opgegeven? ,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
775,"Technische commissie: heroverweg om twee ""kolommen"" terug in de publicaties te nemen: - en G/A/S",OPEN,,Technische issues voor NLCS 5.1,
776,Beheercommissie: Besluit NLCS Objectgericht,CLOSED,GroeipadDSGO/NLCS,NLCS Objectgericht,
777,Beheercommissie: besluit jaarplan,CLOSED,Stedelijk Spoor; BOMOS,Gebruikersvragen,
778,Gebruikersvraag: versxchillen tussen 4.2 en 5.0 versie van NLCS,CLOSED,implementatie; 3D softwaretemplates; ID en wijzigingen,Gebruikersvragen,
779,fout in bestandsnaam AOG-BELEMMERING_LEIDINGSTRSO,OPEN,OG-ondergrond,Inhoudelijke backlog,
780,Benaming tekststijlhoogte,CLOSED,documentation; maatvoering-leaders-teksten,Inhoudelijke issues Release 5.1,
781,Gebruikersvraag: ANWB font,OPEN,maatvoering-leaders-teksten,Inhoudelijke issues Release 5.1,
782,verbeteren documentatie Benaming van maatvoeringstijlen,CLOSED,maatvoering-leaders-teksten,Inhoudelijke issues Release 5.1,
783,Verzoek wijziging volgorde maatvoeringsstijlen,OPEN,maatvoering-leaders-teksten,Technische issues voor NLCS 5.1,
784,Vergelijking NLCS - IMBOR - GWSW: lijst met niet-gelijke objecten,OPEN,RI_riolering-en-GWSW,Alignment GWSW,
785,Harmonicamodel leidt soms tot niet-gebruikte objecttypen zoals HULPSTUK,OPEN,RI_riolering-en-GWSW,Alignment GWSW,
786,Controle-query dubbele ID's maken,OPEN,publicatie,Technische issues voor NLCS 5.1,
787,"Controle query zelfde object, nieuwe ID",OPEN,publicatie,Technische issues voor NLCS 5.1,
788,check controle queries / nlcs exporter: fase and option symbolen/arceringen,OPEN,publicatie,Technische issues voor NLCS 5.1,
789,Maken controle-query ongeldige karakters,CLOSED,publicatie,Technische issues voor NLCS 5.1,
790,Maken controle query lijntypes V-naam mogen alleen gekoppeld zijn aan fase V,OPEN,publicatie,Technische issues voor NLCS 5.1,
791,"Controle-query maken ""RGB-colors""",CLOSED,publicatie,Technische issues voor NLCS 5.1,
792,Controle-query kleuren,CLOSED,publicatie,Technische issues voor NLCS 5.1,
793,"Cotrole-query op invullen van kleuren, lijnen enzovoorts bij objecten",CLOSED,publicatie,Technische issues voor NLCS 5.1,
794,Controle queries & NLCS-exporter,OPEN,publicatie,Technische issues voor NLCS 5.1,
795,Riolering persleiding en vacuumleiding indeling harmonicamodel niet correct,OPEN,RI_riolering-en-GWSW; Bespreken EC,Inhoudelijke issues Release 5.1,
796,GWA_RIOOLLEIDING_BETON_EI kind van beton?,OPEN,RI_riolering-en-GWSW,Inhoudelijke issues Release 5.1,
797,implementatievraag: changelog ook uitdraaien tussen acceptatie-versies,OPEN,implementatie,Technische issues voor NLCS 5.1,
798,Kwaliteitsborging Publicaties standaard,OPEN,BOMOS,Technische issues voor NLCS 5.1,
799,missing controle-querys in nlcs exporter,CLOSED,publicatie,Technische issues voor NLCS 5.1,
800,"Input technische commissie controle naamgeving objecten, symbolen, arceringen, lijntypes",OPEN,publicatie,Technische issues voor NLCS 5.1,
801,Verbeteren inrichting GitHub voor duidelijker overzicht per publicatie,OPEN,publicatie,Technische issues voor NLCS 5.1,
802,Generate html for control queries instead of csv,OPEN,,,
803,NLCS drinkwater: vraag diepgang & l;abels / objectinformatie,OPEN,KL kabels en leidingen; objectattributen,NLCS Drinkwater,
804,"NLCS drinkwater: vraag scope, wanneer ander groep dan WATER? HoogSpanning en KathodischeBescherming?",CLOSED,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
805,Drainagestelsel en Infiltratiestelsel,OPEN,RI_riolering-en-GWSW,Alignment GWSW,
806,Druk en perssystemen,OPEN,RI_riolering-en-GWSW,Alignment GWSW,
807,Is een transportleiding een objectsoort of een functie?,OPEN,RI_riolering-en-GWSW; Bespreken EC,Alignment GWSW,
808,Zoektermen IE-symbolen,OPEN,IE-inrichtingselementen,Inhoudelijke issues Release 5.1,"In de hoofdgroep IE misten in een acceptatie-versie van de 5.1.5 op hoger niveau de ""zoektermen"" voor objecten na de herordening van deze hoofdgroep uit 5.0 waarbij MEUBILAIR_WEG en MEUBILAIR_WATER samengevoegd zijn. Op niveau ""MEUBILAR"" is nu de zoekterm ""SIE-MEUBILAIR"" toegevoegd. Bij CONSTRUCTIEVE AFSCHEIDINGEN is de zoekterm SIE-CONSTRUCTIEVE AFSCHEIDING toegevoegd."
809,Vraag VRI's,OPEN,VRI; IW installaties weg,Inhoudelijke issues Release 5.1,
810,Gebruikersvraag oriëntatie NLCS-tekening,CLOSED,tekenblad,Gebruikersvragen,
811,link laagtabellen,CLOSED,publicatie,Gebruikersvragen,De ReadME van de 5.0 is aangepast nadat de main branch is opgeschoond tot puur de 5.0 publicatie zonder historie.
812,Onterechte ID wijzigingen Hoofdgroep VW,OPEN,VW Verkeersmaatregelen Weg,Technische issues voor NLCS 5.1,
813,"Hoofdgroep IE: balustrade onderdeel BGT mapping, moet daarom als object blijven bestaan",OPEN,IE-inrichtingselementen,Inhoudelijke issues Release 5.1,
814,Gebruikersvraag Toepassing NLCS voor vastleggen planstudies,CLOSED,BGT; implementatie,Gebruikersvragen,
815,Gebruikersvraag inlezen standaard in een CAD-applicatie,CLOSED,implementatie,Gebruikersvragen,
816,"Extra controlequery nodig: komt zoekterm ook voor in de onderliggende , arceringnaam",OPEN,Symbolen; publicatie; VH - verhardingen,Inhoudelijke issues Release 5.1,
817,Zoeken van symbolen: wat is de regel?,OPEN,publicatie,Technische backlog,
818,404 dead URL op hoofdpagina,CLOSED,,Gebruikersvragen,
819,Benadering rioolputtten in de NLCS,OPEN,RI_riolering-en-GWSW,,
820,Vuilwaterriolering,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
821,*.pat materialen werkt niet goed,OPEN,,,
822,Tekenen van mantelbuizen,OPEN,KL kabels en leidingen; NLCS drinkwater,NLCS Drinkwater,
823,file url in linked data publicatie / styulesheet moet aangepast worden naar nieuwe github structuur,OPEN,publicatie,Technische backlog,
