number,title,state,labels,milestone,release_notes
499,"Hectometerpaal, hectometrering: AM, VW of beide?",CLOSED,VW Verkeersmaatregelen Weg; AM assen en metrering,Inhoudelijke issues Release 5.1,
500,"GELEIDECONSTRUCTIE_GELEIDERAIL_KOPPELING_SCHILDMUUR: foutje in BV, alle schildmuren zitten in RI?",CLOSED,RI_riolering-en-GWSW; BV bermbeveiligingsvoorziening,Inhoudelijke issues Release 5.1,
501,Bomen - dynamische blocks bij een gebruiker....,CLOSED,GR-Groen-inclusief-bomen; dynamische symbolen,Inhoudelijke backlog,
502,AL - twee objecten hebben geen kleuren mee gekregen,CLOSED,publicatie; AL - Algemeen,Inhoudelijke issues Release 5.1,
503,Onderzoek NLCS Classificatie verhardingen en kunstwerken,CLOSED,3D: IFC+Classificatie,Gebruikersvragen,
504,Opvolging issue #51: afwijkende lijndikte voor sommige symbolen opnemen in de database,OPEN,Symbolen,Inhoudelijke backlog,
505,Automatiseren controles publicatie database,CLOSED,publicatie,NLCS release Vaststellen 5.02 als linked data​,
506,"check arceringen, harde returns probleem opgelost? ",CLOSED,publicatie,Inhoudelijke issues Release 5.1,
507,Toevoeging beheerhandleiding voor aanpassen stylesheet vóór release,CLOSED,,Inhoudelijke issues Release 5.1,
510,GK - deel van de objecten is niet gepubliceerd ;opnemen in beheerhandleigingh,CLOSED,publicatie,Inhoudelijke issues Release 5.1,
511,"4 Symbolen concept-5.1 te laat toegevoegd voor Microstation conversie, wel beschikbaar in dwg",CLOSED,GR-Groen-inclusief-bomen,Inhoudelijke issues Release 5.1,
512,uitleg lijndiktes opnemen in beheerhandleiding ,OPEN,BOMOS,Inhoudelijke backlog,
513,Attributen op eigen lagen plaatsen,OPEN,GR-Groen-inclusief-bomen; Symbolen; objectattributen; dynamische symbolen,Inhoudelijke backlog,
514,"GK keerwand heeft geen bestaande visualisatie in publiccatie, wel in database",CLOSED,publicatie,Inhoudelijke issues Release 5.1,
515,"query objects levert zes-dubbele rijen op bij sommige IE objecten, zonder relaties naar arceringen/objecten",CLOSED,IE-inrichtingselementen,Inhoudelijke issues Release 5.1,
516,B-symbolen SIW komen niet voor in de publicatie,CLOSED,publicatie; IW installaties weg,Inhoudelijke issues Release 5.1,
517,link naar nieuwe versie beheerdocument digigo ook in beheerhandleiding opnemen,OPEN,BOMOS,Inhoudelijke backlog,
518,"SRI-KOLK_ZANDVANGPUT er zijn wel symbolen, maar geen bijpassende objecten?",CLOSED,RI_riolering-en-GWSW,Inhoudelijke issues Release 5.1,
519,DRAINAGE_RIOOLLEIDING_GRES komt niet voor in de publicatie,CLOSED,RI_riolering-en-GWSW; publicatie,Inhoudelijke issues Release 5.1,
