omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
BESCHOEIING_NATUURVRIENDELIJK,*,-,**,-,GK,-,BESCHOEIING,_,NATUURVRIENDELIJK,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_NATUURVRIENDELIJK-G,0.18,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,CONTINUOUS,0.35,90,92,90,90,253,V-CONTINUOUS-SO,0.35,90,92,90,90,253,CONTINUOUS,,,352,339,,
BESCHOEIING_STAAL,*,-,**,-,GK,-,BESCHOEIING,_,STAAL,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING-SO,0.35,130,132,130,130,253,GK-BESCHOEIING-SO,,,349,339,,
BESCHOEIING1,*,-,**,-,GK,-,BESCHOEIING1,,,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,0,,
BESCHOEIING1_BETON,*,-,**,-,GK,-,BESCHOEIING1,_,BETON,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,339,,
BESCHOEIING1_DAMWAND,*,-,**,-,GK,-,BESCHOEIING1,_,DAMWAND,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_DAMWAND-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,339,,
BESCHOEIING1_DAMWAND_BETON,*,-,**,-,GK,-,BESCHOEIING1,_,DAMWAND,_,BETON,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_DAMWAND_BETON-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,340,,
BESCHOEIING1_DAMWAND_HOUT,*,-,**,-,GK,-,BESCHOEIING1,_,DAMWAND,_,HOUT,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_DAMWAND_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,340,,
BESCHOEIING1_DAMWAND_KUNSTSTOF,*,-,**,-,GK,-,BESCHOEIING1,_,DAMWAND,_,KUNSTSTOF,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_DAMWAND_KUNSTSTOF-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,340,,
BESCHOEIING1_DAMWAND_STAAL,*,-,**,-,GK,-,BESCHOEIING1,_,DAMWAND,_,STAAL,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_DAMWAND_STAAL-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,340,,
BESCHOEIING1_HOUT,*,-,**,-,GK,-,BESCHOEIING1,_,HOUT,,,,,,,,,,,-,G,,,,,*-**-GK-BESCHOEIING1_HOUT-G,0.18,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,V-GK-BESCHOEIING1-SO,0.35,130,132,130,130,253,GK-BESCHOEIING1-SO,,,,339,,
