OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN;
DATA_STRAALZENDER;*;-;**;-;KL;-;DATA;_;STRAALZENDER;;;;;;;;;;;-;G/S;;;;SKL-DATA_STRAALZENDER;*-**-KL-DATA_STRAALZENDER-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;4.2;4.2: dubbel met 3425;VERVALLEN;3434;720;
DATA_STUURKABEL;*;-;**;-;KL;-;DATA;_;STUURKABEL;;;;;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;801;720;
DATA_STUURKABEL_GLASVEZEL;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;GLASVEZEL;;;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_GLASVEZEL-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;802;801;
DATA_STUURKABEL_HULPSTUK;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;HULPSTUK;;;;;;;;;-;G/S;;;;SKL-DATA_HULP;*-**-KL-DATA_STUURKABEL_HULPSTUK-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;803;801;
DATA_STUURKABEL_HULPSTUK_AANSLUITPUNT;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;HULPSTUK;_;AANSLUITPUNT;;;;;;;-;G/S;;;;SKL-DATA_AANSLUITPUNT;*-**-KL-DATA_STUURKABEL_HULPSTUK_AANSLUITPUNT-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;804;803;
DATA_STUURKABEL_HULPSTUK_MOF;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;HULPSTUK;_;MOF;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_HULPSTUK_MOF-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;805;803;
DATA_STUURKABEL_HULPSTUK_OVERIG;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;HULPSTUK;_;OVERIG;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_HULPSTUK_OVERIG-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;3.1;;VERVALLEN;806;803;
DATA_STUURKABEL_KAST;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;KAST;;;;;;;;;-;G/S;;;;SKL-DATA_TERREINKAST;*-**-KL-DATA_STUURKABEL_KAST-G/S;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;807;801;
DATA_STUURKABEL_KAST_LASKAST;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;KAST;_;LASKAST;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_KAST_LASKAST-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;808;807;
DATA_STUURKABEL_KAST_PUTKAST;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;KAST;_;PUTKAST;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_KAST_PUTKAST-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;809;807;
DATA_STUURKABEL_KAST_VERDEELKAST;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;KAST;_;VERDEELKAST;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_KAST_VERDEELKAST-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;810;807;
DATA_STUURKABEL_KOPER;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;KOPER;;;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_KOPER-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.3;;;811;801;
DATA_STUURKABEL_MANTELBUIS;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;MANTELBUIS;;;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_MANTELBUIS-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;2.5;;;812;801;
DATA_STUURKABEL_OVERIG;*;-;**;-;KL;-;DATA;_;STUURKABEL;_;OVERIG;;;;;;;;;-;G;;;;;*-**-KL-DATA_STUURKABEL_OVERIG-G;0.18;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;0.35;90;92;90;90;90;V-KL-STUURKABEL-SO;0.35;90;92;90;90;90;KL-STUURKABEL-SO;;;3.1;;VERVALLEN;813;801;
DATA_TELECOM;*;-;**;-;KL;-;DATA;_;TELECOM;;;;;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM-G;0.18;90;92;90;90;90;KL-TELECOM-SO;0.35;90;92;90;90;90;KL-TELECOM-SO;0.35;90;92;90;90;90;V-KL-TELECOM-SO;0.35;90;92;90;90;90;KL-TELECOM-SO;;;2.3;;;814;720;
DATA_TELECOM_GLASVEZEL;*;-;**;-;KL;-;DATA;_;TELECOM;_;GLASVEZEL;;;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_GLASVEZEL-G;0.18;90;92;90;90;90;KL-TELECOM-SO;0.35;90;92;90;90;90;KL-TELECOM-SO;0.35;90;92;90;90;90;V-KL-TELECOM-SO;0.35;90;92;90;90;90;KL-TELECOM-SO;;;2.3;;;815;814;
DATA_TELECOM_HULPSTUK;*;-;**;-;KL;-;DATA;_;TELECOM;_;HULPSTUK;;;;;;;;;-;G/S;;;;SKL-DATA_HULP;*-**-KL-DATA_TELECOM_HULPSTUK-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;816;814;
DATA_TELECOM_HULPSTUK_AANSLUITPUNT;*;-;**;-;KL;-;DATA;_;TELECOM;_;HULPSTUK;_;AANSLUITPUNT;;;;;;;-;G/S;;;;SKL-DATA_AANSLUITPUNT;*-**-KL-DATA_TELECOM_HULPSTUK_AANSLUITPUNT-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;817;816;
DATA_TELECOM_HULPSTUK_MOF;*;-;**;-;KL;-;DATA;_;TELECOM;_;HULPSTUK;_;MOF;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_HULPSTUK_MOF-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;818;816;
DATA_TELECOM_HULPSTUK_OVERIG;*;-;**;-;KL;-;DATA;_;TELECOM;_;HULPSTUK;_;OVERIG;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_HULPSTUK_OVERIG-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;3.1;;VERVALLEN;819;816;
DATA_TELECOM_KAST;*;-;**;-;KL;-;DATA;_;TELECOM;_;KAST;;;;;;;;;-;G/S;;;;SKL-TELECOM_TERREINKAST;*-**-KL-DATA_TELECOM_KAST-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;820;814;
DATA_TELECOM_KAST_LASKAST;*;-;**;-;KL;-;DATA;_;TELECOM;_;KAST;_;LASKAST;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_KAST_LASKAST-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;821;820;
DATA_TELECOM_KAST_PUTKAST;*;-;**;-;KL;-;DATA;_;TELECOM;_;KAST;_;PUTKAST;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_KAST_PUTKAST-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;822;820;
DATA_TELECOM_KAST_VERDEELKAST;*;-;**;-;KL;-;DATA;_;TELECOM;_;KAST;_;VERDEELKAST;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_KAST_VERDEELKAST-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;823;820;
DATA_TELECOM_KOPER;*;-;**;-;KL;-;DATA;_;TELECOM;_;KOPER;;;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_KOPER-G;0.18;90;92;90;90;90;KL-TELECOM-SO;0.35;90;92;90;90;90;KL-TELECOM-SO;0.35;90;92;90;90;90;V-KL-TELECOM-SO;0.35;90;92;90;90;90;KL-TELECOM-SO;;;2.3;;;824;814;
DATA_TELECOM_MANTELBUIS;*;-;**;-;KL;-;DATA;_;TELECOM;_;MANTELBUIS;;;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_MANTELBUIS-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.5;;;825;814;
DATA_TELECOM_OVERIG;*;-;**;-;KL;-;DATA;_;TELECOM;_;OVERIG;;;;;;;;;-;G;;;;;*-**-KL-DATA_TELECOM_OVERIG-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;3.1;;VERVALLEN;826;814;
DATA_TELPAAL;*;-;**;-;KL;-;DATA;_;TELPAAL;;;;;;;;;;;-;G/S;;;;SKL-DATA_TELPAAL;*-**-KL-DATA_TELPAAL-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;4.1;;NIEUW;3426;720;
DATA_TELPAAL;*;-;**;-;KL;-;DATA;_;TELPAAL;;;;;;;;;;;-;G/S;;;;SKL-DATA_TELPAAL;*-**-KL-DATA_TELPAAL-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;4.2;4.2: dubbel met 3426;VERVALLEN;3435;720;
DATA_WAN;*;-;**;-;KL;-;DATA;_;WAN;;;;;;;;;;;-;G;;;;;*-**-KL-DATA_WAN-G;0.18;90;92;90;90;90;KL-WAN-SO;0.35;90;92;90;90;90;KL-WAN-SO;0.35;90;92;90;90;90;V-KL-WAN-SO;0.35;90;92;90;90;90;KL-WAN-SO;;;2.3;;;827;720;
DATA_WAN_GLASVEZEL;*;-;**;-;KL;-;DATA;_;WAN;_;GLASVEZEL;;;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_GLASVEZEL-G;0.18;90;92;90;90;90;KL-WAN-SO;0.35;90;92;90;90;90;KL-WAN-SO;0.35;90;92;90;90;90;V-KL-WAN-SO;0.35;90;92;90;90;90;KL-WAN-SO;;;2.3;;;828;827;
DATA_WAN_HULPSTUK;*;-;**;-;KL;-;DATA;_;WAN;_;HULPSTUK;;;;;;;;;-;G/S;;;;SKL-DATA_HULP;*-**-KL-DATA_WAN_HULPSTUK-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;829;827;
DATA_WAN_HULPSTUK_AANSLUITPUNT;*;-;**;-;KL;-;DATA;_;WAN;_;HULPSTUK;_;AANSLUITPUNT;;;;;;;-;G/S;;;;SKL-DATA_AANSLUITPUNT;*-**-KL-DATA_WAN_HULPSTUK_AANSLUITPUNT-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;830;829;
DATA_WAN_HULPSTUK_MOF;*;-;**;-;KL;-;DATA;_;WAN;_;HULPSTUK;_;MOF;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_HULPSTUK_MOF-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;831;829;
DATA_WAN_HULPSTUK_OVERIG;*;-;**;-;KL;-;DATA;_;WAN;_;HULPSTUK;_;OVERIG;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_HULPSTUK_OVERIG-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;3.1;;VERVALLEN;832;829;
DATA_WAN_KAST;*;-;**;-;KL;-;DATA;_;WAN;_;KAST;;;;;;;;;-;G/S;;;;SKL-DATA_TERREINKAST;*-**-KL-DATA_WAN_KAST-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;833;827;
DATA_WAN_KAST_LASKAST;*;-;**;-;KL;-;DATA;_;WAN;_;KAST;_;LASKAST;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_KAST_LASKAST-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;834;833;
DATA_WAN_KAST_PUTKAST;*;-;**;-;KL;-;DATA;_;WAN;_;KAST;_;PUTKAST;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_KAST_PUTKAST-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;835;833;
DATA_WAN_KAST_VERDEELKAST;*;-;**;-;KL;-;DATA;_;WAN;_;KAST;_;VERDEELKAST;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_KAST_VERDEELKAST-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.3;;;836;833;
DATA_WAN_MANTELBUIS;*;-;**;-;KL;-;DATA;_;WAN;_;MANTELBUIS;;;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_MANTELBUIS-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;2.5;;;837;827;
DATA_WAN_OVERIG;*;-;**;-;KL;-;DATA;_;WAN;_;OVERIG;;;;;;;;;-;G;;;;;*-**-KL-DATA_WAN_OVERIG-G;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;3.1;;VERVALLEN;838;827;
DATA_ZENDMAST;*;-;**;-;KL;-;DATA;_;ZENDMAST;;;;;;;;;;;-;G/S;;;;SKL-DATA_ZENDMAST;*-**-KL-DATA_ZENDMAST-G/S;0.18;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;CONTINUOUS;0.35;90;92;90;90;90;V-CONTINUOUS-SO;0.35;90;92;90;90;90;CONTINUOUS;;;5.0;SYMBOOLNAAM AANGEPAST;GEWIJZIGD;839;720;
DRIP;*;-;**;-;KL;-;DRIP;;;;;;;;;;;;;-;G;;;;;*-**-KL-DRIP-G;0.18;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;CONTINUOUS;0.35;170;172;170;170;253;V-CONTINUOUS-SO;0.35;170;172;170;170;253;CONTINUOUS;;;3.1;;GEWIJZIGD;1388;0;
DRIP_KABEL;*;-;**;-;KL;-;DRIP;_;KABEL;;;;;;;;;;;-;G;;;;;*-**-KL-DRIP_KABEL-G;0.18;170;172;170;170;253;KL-DRIP-SO;0.35;170;172;170;170;253;KL-DRIP-SO;0.35;170;172;170;170;253;V-KL-DRIP-SO;0.35;170;172;170;170;253;KL-DRIP-SO;;;4.2;4.2:Lijnstijl toegevoegd;GEWIJZIGD;1389;1388;
ET;*;-;**;-;KL;-;ET;;;;;;;;;;;;;-;G;;;;;*-**-KL-ET-G;0.18;10;12;10;10;10;KL-ELECTRICITEIT-SO;0.35;10;12;10;10;10;KL-ELECTRICITEIT-SO;0.35;10;12;10;10;10;V-KL-ELECTRICITEIT-SO;0.35;10;12;10;10;10;KL-ELECTRICITEIT-SO;;;2.3;;;840;0;
ET_AARDING;*;-;**;-;KL;-;ET;_;AARDING;;;;;;;;;;;-;G/S;;;;SKL-ET_AARDING;*-**-KL-ET_AARDING-G/S;0.18;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;V-KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;;;2.3;;;841;840;
ET_AARDING_AARDELECTRODE;*;-;**;-;KL;-;ET;_;AARDING;_;AARDELECTRODE;;;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_AARDELECTRODE-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;842;841;
ET_AARDING_AARDRAIL;*;-;**;-;KL;-;ET;_;AARDING;_;AARDRAIL;;;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_AARDRAIL-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;843;841;
ET_AARDING_BLIKSEMAFLEIDER;*;-;**;-;KL;-;ET;_;AARDING;_;BLIKSEMAFLEIDER;;;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_BLIKSEMAFLEIDER-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;844;841;
ET_AARDING_BLIKSEMAFLEIDER_AFSPANDRAAD;*;-;**;-;KL;-;ET;_;AARDING;_;BLIKSEMAFLEIDER;_;AFSPANDRAAD;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_BLIKSEMAFLEIDER_AFSPANDRAAD-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;845;844;
ET_AARDING_BLIKSEMAFLEIDER_STIJGPUNT;*;-;**;-;KL;-;ET;_;AARDING;_;BLIKSEMAFLEIDER;_;STIJGPUNT;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_BLIKSEMAFLEIDER_STIJGPUNT-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;846;844;
ET_AARDING_BLIKSEMAFLEIDER_VANGMAST;*;-;**;-;KL;-;ET;_;AARDING;_;BLIKSEMAFLEIDER;_;VANGMAST;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_BLIKSEMAFLEIDER_VANGMAST-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;847;844;
ET_AARDING_HULPSTUK;*;-;**;-;KL;-;ET;_;AARDING;_;HULPSTUK;;;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_HULPSTUK-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;848;841;
ET_AARDING_HULPSTUK_AANSLUITPUNT;*;-;**;-;KL;-;ET;_;AARDING;_;HULPSTUK;_;AANSLUITPUNT;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_HULPSTUK_AANSLUITPUNT-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;849;848;
ET_AARDING_HULPSTUK_AARDTEGEL;*;-;**;-;KL;-;ET;_;AARDING;_;HULPSTUK;_;AARDTEGEL;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_HULPSTUK_AARDTEGEL-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;850;848;
ET_AARDING_HULPSTUK_MOF;*;-;**;-;KL;-;ET;_;AARDING;_;HULPSTUK;_;MOF;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_HULPSTUK_MOF-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;851;848;
ET_AARDING_HULPSTUK_OVERIG;*;-;**;-;KL;-;ET;_;AARDING;_;HULPSTUK;_;OVERIG;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_HULPSTUK_OVERIG-G;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;3.1;;VERVALLEN;852;848;
ET_AARDING_KABEL;*;-;**;-;KL;-;ET;_;AARDING;_;KABEL;;;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_KABEL-G;0.18;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;V-KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;;;2.3;;;853;841;
ET_AARDING_KABEL_BLIKSEMAFLEIDINGSKABEL;*;-;**;-;KL;-;ET;_;AARDING;_;KABEL;_;BLIKSEMAFLEIDINGSKABEL;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_KABEL_BLIKSEMAFLEIDINGSKABEL-G;0.18;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;V-KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;;;2.3;;;854;853;
ET_AARDING_KABEL_POTENTIAALKABEL;*;-;**;-;KL;-;ET;_;AARDING;_;KABEL;_;POTENTIAALKABEL;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_KABEL_POTENTIAALKABEL-G;0.18;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;V-KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;;;2.3;;;855;853;
ET_AARDING_KABEL_VEILIGHEIDSKABEL;*;-;**;-;KL;-;ET;_;AARDING;_;KABEL;_;VEILIGHEIDSKABEL;;;;;;;-;G;;;;;*-**-KL-ET_AARDING_KABEL_VEILIGHEIDSKABEL-G;0.18;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;0.35;7;7;7;7;7;V-KL-AARDING-SO;0.35;7;7;7;7;7;KL-AARDING-SO;;;2.3;;;856;853;
ET_AARDING_KAST;*;-;**;-;KL;-;ET;_;AARDING;_;KAST;;;;;;;;;-;G/S;;;;SKL-ET_TERREINKAST;*-**-KL-ET_AARDING_KAST-G/S;0.18;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;CONTINUOUS;0.35;7;7;7;7;7;V-CONTINUOUS-SO;0.35;7;7;7;7;7;CONTINUOUS;;;2.3;;;857;841;
