OMSCHRIJVING;STATUS;-;DISCIPLINE;-;HOOFDGROEP;-;OBJECT;_;SUBOBJECT01;_;SUBOBJECT02;_;SUBOBJECT03;_;SUBOBJECT04;_;SUBOBJECT05;-;BEWERKING;-;ELEMENT;-;SCHAAL;ARCERING;SYMBOOL;LAAGNAAM;B lineweight;B color;B color A;B color GD;B color GN;B color V;B linetype;N lineweight;N color;N color A;N color GD;N color GN;N color V;N linetype;V lineweight;V color;V color A;V color GD;V color GN;V color V;V linetype;T lineweight;T color;T color A;T color GD;T color GN;T color V;T linetype;VRKL_kort;VRKL_lang;VERSIE;WIJZIGING;STATUS;ID;KIND_VAN;
BRANDSTOF_MANTELBUIS;*;-;**;-;KL;-;BRANDSTOF;_;MANTELBUIS;;;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_MANTELBUIS-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.5;;;628;620;
BRANDSTOF_OVERIG;*;-;**;-;KL;-;BRANDSTOF;_;OVERIG;;;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_OVERIG-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;3.1;;VERVALLEN;629;620;
BRANDSTOF_PUT;*;-;**;-;KL;-;BRANDSTOF;_;PUT;;;;;;;;;;;-;G/S;;;;SKL-BENZINEPUT_OLIEPUT;*-**-KL-BRANDSTOF_PUT-G/S;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;4.2;4.2:symbool gewijzigd;GEWIJZIGD;630;620;
BRANDSTOF_TANK;*;-;**;-;KL;-;BRANDSTOF;_;TANK;;;;;;;;;;;-;G/S;;;;SKL-TANK;*-**-KL-BRANDSTOF_TANK-G/S;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;631;620;
BRANDSTOF_TRANSPORTLEIDING;*;-;**;-;KL;-;BRANDSTOF;_;TRANSPORTLEIDING;;;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_TRANSPORTLEIDING-G;0.18;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;V-KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;;;2.3;;;632;620;
BRANDSTOF_TRANSPORTLEIDING_GVK;*;-;**;-;KL;-;BRANDSTOF;_;TRANSPORTLEIDING;_;GVK;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_TRANSPORTLEIDING_GVK-G;0.18;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;V-KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;;;2.3;;;633;632;
BRANDSTOF_TRANSPORTLEIDING_PE;*;-;**;-;KL;-;BRANDSTOF;_;TRANSPORTLEIDING;_;PE;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_TRANSPORTLEIDING_PE-G;0.18;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;V-KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;;;2.3;;;634;632;
BRANDSTOF_TRANSPORTLEIDING_STAAL;*;-;**;-;KL;-;BRANDSTOF;_;TRANSPORTLEIDING;_;STAAL;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_TRANSPORTLEIDING_STAAL-G;0.18;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;0.35;40;42;40;40;40;V-KL-BRANDSTOF-SO;0.35;40;42;40;40;40;KL-BRANDSTOF-SO;;;2.3;;;635;632;
BRANDSTOF_VULPUNT;*;-;**;-;KL;-;BRANDSTOF;_;VULPUNT;;;;;;;;;;;-;G;;;;;*-**-KL-BRANDSTOF_VULPUNT-G;0.18;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;CONTINUOUS;0.35;40;42;40;40;40;V-CONTINUOUS-SO;0.35;40;42;40;40;40;CONTINUOUS;;;2.3;;;636;620;
CCTV;*;-;**;-;KL;-;CCTV;;;;;;;;;;;;;-;G;;;;;*-**-KL-CCTV-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;3.0;;NIEUW;1418;0;
CCTV_KABEL;*;-;**;-;KL;-;CCTV;_;KABEL;;;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;3.0;;NIEUW;1419;1418;
CCTV_KABEL_COMBI;*;-;**;-;KL;-;CCTV;_;KABEL;_;COMBI;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL_COMBI-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;4.1;;NIEUW;3432;1419;
CCTV_KABEL_COMBI;*;-;**;-;KL;-;CCTV;_;KABEL;_;COMBI;;;;;;;;;-;G;;;;;*-**-KL-CCTV_KABEL_COMBI-G;0.18;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;CONTINUOUS;0.35;70;72;70;70;253;V-CONTINUOUS-SO;0.35;70;72;70;70;253;CONTINUOUS;;;4.2;4.2: dubbel met 3432;VERVALLEN;3441;1419;
