omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
RWZI_PROCESLEIDING;*;-;**;-;RI;-;RWZI;_;PROCESLEIDING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_PROCESLEIDING-G;0.18;30;32;30;30;253;RI-RWZI_PROCESLEIDING-SO;0.35;30;32;30;30;253;RI-RWZI_PROCESLEIDING-SO;0.35;30;32;30;30;253;V-RI-RWZI_PROCESLEIDING-SO;0.35;30;32;30;30;253;RI-RWZI_PROCESLEIDING-SO;;;3453;3451;;
RWZI_RECIRCULATIELEIDING;*;-;**;-;RI;-;RWZI;_;RECIRCULATIELEIDING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_RECIRCULATIELEIDING-G;0.18;60;62;60;60;253;RI-RWZI_RECIRCULATIELEIDING-SO;0.35;60;62;60;60;253;RI-RWZI_RECIRCULATIELEIDING-SO;0.35;60;62;60;60;253;V-RI-RWZI_RECIRCULATIELEIDING-SO;0.35;60;62;60;60;253;RI-RWZI_RECIRCULATIELEIDING-SO;;;3460;3451;;
RWZI_RETOURSLIBLEIDING;*;-;**;-;RI;-;RWZI;_;RETOURSLIBLEIDING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_RETOURSLIBLEIDING-G;0.18;180;182;180;180;253;RI-RWZI_RETOURSLIBLEIDING-SO;0.35;180;182;180;180;253;RI-RWZI_RETOURSLIBLEIDING-SO;0.35;180;182;180;180;253;V-RI-RWZI_RETOURSLIBLEIDING-SO;0.35;180;182;180;180;253;RI-RWZI_RETOURSLIBLEIDING-SO;;;3461;3451;;
RWZI_SLIBLEIDING;*;-;**;-;RI;-;RWZI;_;SLIBLEIDING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_SLIBLEIDING-G;0.18;40;42;40;40;253;RI-RWZI_SLIBLEIDING-SO;0.35;40;42;40;40;253;RI-RWZI_SLIBLEIDING-SO;0.35;40;42;40;40;253;V-RI-RWZI_SLIBLEIDING-SO;0.35;40;42;40;40;253;RI-RWZI_SLIBLEIDING-SO;;;3456;3451;;
RWZI_SURPLUSSLEIDING;*;-;**;-;RI;-;RWZI;_;SURPLUSSLEIDING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_SURPLUSSLEIDING-G;0.18;190;192;190;190;253;RI-RWZI_SURPLUSSLEIDING-SO;0.35;190;192;190;190;253;RI-RWZI_SURPLUSSLEIDING-SO;0.35;190;192;190;190;253;V-RI-RWZI_SURPLUSSLEIDING-SO;0.35;190;192;190;190;253;RI-RWZI_SURPLUSSLEIDING-SO;;;3462;3451;;
RWZI_TERREINRIOLERING;*;-;**;-;RI;-;RWZI;_;TERREINRIOLERING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_TERREINRIOLERING-G;0.18;10;12;10;10;253;RI-RWZI_TERREINRIOLERING-SO;0.35;10;12;10;10;253;RI-RWZI_TERREINRIOLERING-SO;0.35;10;12;10;10;253;V-RI-RWZI_TERREINRIOLERING-SO;0.35;10;12;10;10;253;RI-RWZI_TERREINRIOLERING-SO;;;3452;3451;;
RWZI_TERREINWATERLEIDING;*;-;**;-;RI;-;RWZI;_;TERREINWATERLEIDING;;;;;;;;;;;-;G;;;;;*-**-RI-RWZI_TERREINWATERLEIDING-G;0.18;120;122;120;120;253;RI-RWZI_TERREINWATERLEIDING-SO;0.35;120;122;120;120;253;RI-RWZI_TERREINWATERLEIDING-SO;0.35;120;122;120;120;253;V-RI-RWZI_TERREINWATERLEIDING-SO;0.35;120;122;120;120;253;RI-RWZI_TERREINWATERLEIDING-SO;;;3459;3451;;
SWA;*;-;**;-;RI;-;SWA;;;;;;;;;;;;;-;G;;;;;*-**-RI-SWA-G;0.18;130;132;130;130;253;RI-SWA-SO;0.35;130;132;130;130;253;RI-SWA-SO;0.35;130;132;130;130;253;V-RI-SWA-SO;0.35;130;132;130;130;253;RI-SWA-SO;;;2083;0;;
SWA_AANSLUITPUT;*;-;**;-;RI;-;SWA;_;AANSLUITPUT;;;;;;;;;;;-;G/S;;;;SRI-PUT_ONTSTOPPINGSPUT;*-**-RI-SWA_AANSLUITPUT-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;3879;2083;;
SWA_AANSLUITPUT_ONTSTOPPINGSPUT;*;-;**;-;RI;-;SWA;_;AANSLUITPUT;_;ONTSTOPPINGSPUT;;;;;;;;;-;G/S;;;;SRI-PUT_ONTSTOPPINGSPUT;*-**-RI-SWA_AANSLUITPUT_ONTSTOPPINGSPUT-G/S;0.18;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;CONTINUOUS;0.35;130;132;130;130;253;V-CONTINUOUS-SO;0.35;130;132;130;130;253;CONTINUOUS;;;2120;3879;;
