omschrijving,status,underscore,discipline,underscore2,hoofdgroep,underscore3,object,underscore4,subobject01,underscore5,subobject02,underscore6,subobject03,underscore7,subobject04,underscore8,subobject05,streepje,bewerking,streepje3,element,streepje2,schaal,aobject,sobject,laagnaam,lw_b,kl_b,kl_b_a,kl_b_gd,kl_b_gn,kl_b_v,lt_b,lw_n,kl_n,kl_n_a,kl_n_gd,kl_n_gn,kl_n_v,lt_n,lw_v,kl_v,kl_v_a,kl_v_gd,kl_v_gn,kl_v_v,lt_v,lw_t,kl_t,kl_t_a,kl_t_gd,kl_t_gn,kl_t_v,lt_t,vrkl_kort,vrkl_lang,id_nummer,kind_van,objectURI,kind_vanURI
MEUBILAIR_WEGMEUBILAIR_TRAP,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,TRAP,,,,,,,,,-,G,,,,,*-**-IE-MEUBILAIR_WEGMEUBILAIR_TRAP-G,0.18,60,62,60,60,253,CONTINUOUS,0.35,60,62,60,60,253,CONTINUOUS,0.35,60,62,60,60,253,V-CONTINUOUS-SO,0.35,60,62,60,60,253,CONTINUOUS,,,535,522,,
MEUBILAIR_WEGMEUBILAIR_TRAP,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,TRAP,,,,,,,,,-,G/S,,,,SIE-WEG_TRAP,*-**-IE-MEUBILAIR_WEGMEUBILAIR_TRAP-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3399,522,,
MEUBILAIR_WEGMEUBILAIR_VERKEERSBORD,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,VERKEERSBORD,,,,,,,,,-,G/S,,,,SIE-WEG_VERKEERSBORD,*-**-IE-MEUBILAIR_WEGMEUBILAIR_VERKEERSBORD-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3410,522,,
MEUBILAIR_WEGMEUBILAIR_VERKEERSLICHT,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,VERKEERSLICHT,,,,,,,,,-,G/S,,,,SIE-WEG_VERKEERSLICHT,*-**-IE-MEUBILAIR_WEGMEUBILAIR_VERKEERSLICHT-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3411,522,,
MEUBILAIR_WEGMEUBILAIR_VERKEERSTEKEN,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,VERKEERSTEKEN,,,,,,,,,-,G/S,,,,SIE-WEG_VERKEERSTEKEN,*-**-IE-MEUBILAIR_WEGMEUBILAIR_VERKEERSTEKEN-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3577,522,,
MEUBILAIR_WEGMEUBILAIR_VLAGGENMAST,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,VLAGGENMAST,,,,,,,,,-,G/S,,,,SIE-WEG_VLAGGENMAST,*-**-IE-MEUBILAIR_WEGMEUBILAIR_VLAGGENMAST-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3412,522,,
MEUBILAIR_WEGMEUBILAIR_WEGWIJZER,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,WEGWIJZER,,,,,,,,,-,G/S,,,,SIE-WEG_WEGWIJZER,*-**-IE-MEUBILAIR_WEGMEUBILAIR_WEGWIJZER-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3576,522,,
MEUBILAIR_WEGMEUBILAIR_ZITBANK,*,-,**,-,IE,-,MEUBILAIR,_,WEGMEUBILAIR,_,ZITBANK,,,,,,,,,-,G/S,,,,SIE-WEG_ZITBANK,*-**-IE-MEUBILAIR_WEGMEUBILAIR_ZITBANK-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3413,522,,
MEUBILAIR_WINDZAK,*,-,**,-,IE,-,MEUBILAIR,_,WINDZAK,,,,,,,,,,,-,G/S,,,,SIE-WEG_WINDZAK,*-**-IE-MEUBILAIR_WINDZAK-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3575,521,,
MEUBILAIR_ZONNEPANEEL,*,-,**,-,IE,-,MEUBILAIR,_,ZONNEPANEEL,,,,,,,,,,,-,G/S,,,,SIE-ZONNEPANEEL,*-**-IE-MEUBILAIR_ZONNEPANEEL-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3100,521,,
PUT,*,-,**,-,IE,-,PUT,,,,,,,,,,,,,-,G/S,,,,,*-**-IE-PUT-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,2908,0,,
SIRENE,*,-,**,-,IE,-,SIRENE,,,,,,,,,,,,,-,G/S,,,,SIE-SIRENE,*-**-IE-SIRENE-G/S,0.18,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,CONTINUOUS,0.35,7,7,7,7,253,V-CONTINUOUS-SO,0.35,7,7,7,7,253,CONTINUOUS,,,3417,0,,
TERREINAFSCHEIDING,*,-,**,-,IE,-,TERREINAFSCHEIDING,,,,,,,,,,,,,-,G,,,,,*-**-IE-TERREINAFSCHEIDING-G,0.18,210,212,210,210,253,IE-TERREINAFSCHEIDING-SO,0.35,210,212,210,210,253,IE-TERREINAFSCHEIDING-SO,0.35,210,212,210,210,253,V-IE-TERREINAFSCHEIDING-SO,0.35,210,212,210,210,253,IE-TERREINAFSCHEIDING-SO,,,545,0,,
