omschrijving;status;underscore;discipline;underscore2;hoofdgroep;underscore3;object;underscore4;subobject01;underscore5;subobject02;underscore6;subobject03;underscore7;subobject04;underscore8;subobject05;streepje;bewerking;streepje3;element;streepje2;schaal;aobject;sobject;laagnaam;lw_b;kl_b;kl_b_a;kl_b_gd;kl_b_gn;kl_b_v;lt_b;lw_n;kl_n;kl_n_a;kl_n_gd;kl_n_gn;kl_n_v;lt_n;lw_v;kl_v;kl_v_a;kl_v_gd;kl_v_gn;kl_v_v;lt_v;lw_t;kl_t;kl_t_a;kl_t_gd;kl_t_gn;kl_t_v;lt_t;vrkl_kort;vrkl_lang;id_nummer;kind_van;objectURI;kind_vanURI
DREMPEL_PREFAB_ELEMENT;*;-;**;-;VH;-;DREMPEL;_;PREFAB;_;ELEMENT;;;;;;;;;-;G/S;;;;SVH-DREMPEL_PREFAB;*-**-VH-DREMPEL_PREFAB_ELEMENT-G/S;0.18;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.25;30;32;30;30;253;V-CONTINUOUS-SO;0.25;30;32;30;30;253;CONTINUOUS;;;2346;2345;;
DREMPEL_TALUD;*;-;**;-;VH;-;DREMPEL;_;TALUD;;;;;;;;;;;-;G;;;;;*-**-VH-DREMPEL_TALUD-G;0.18;30;32;30;30;253;CONTINUOUS;0.35;30;32;30;30;253;CONTINUOUS;0.25;30;32;30;30;253;V-CONTINUOUS-SO;0.25;30;32;30;30;253;CONTINUOUS;;;2347;2342;;
FUNDERING;*;-;**;-;VH;-;FUNDERING;;;;;;;;;;;;;-;G/S/A;;;AVH-FUNDERING;SVH-FUNDERING;*-**-VH-FUNDERING-G/S/A;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2492;0;;
FUNDERING_BIMS;*;-;**;-;VH;-;FUNDERING;_;BIMS;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_BIMS-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2493;2492;;
FUNDERING_EPS;*;-;**;-;VH;-;FUNDERING;_;EPS;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_EPS-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2494;2492;;
FUNDERING_GRANULAAT;*;-;**;-;VH;-;FUNDERING;_;GRANULAAT;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_GRANULAAT-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2495;2492;;
FUNDERING_GRANULAAT_BETON;*;-;**;-;VH;-;FUNDERING;_;GRANULAAT;_;BETON;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_GRANULAAT_BETON-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2496;2495;;
FUNDERING_GRANULAAT_MENG;*;-;**;-;VH;-;FUNDERING;_;GRANULAAT;_;MENG;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_GRANULAAT_MENG-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2497;2495;;
FUNDERING_GRANULAAT_MENG_HYDRAULISCH;*;-;**;-;VH;-;FUNDERING;_;GRANULAAT;_;MENG;_;HYDRAULISCH;;;;;;;-;G;;;;;*-**-VH-FUNDERING_GRANULAAT_MENG_HYDRAULISCH-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2498;2497;;
FUNDERING_SCHUIMBETON;*;-;**;-;VH;-;FUNDERING;_;SCHUIMBETON;;;;;;;;;;;-;G;;;;;*-**-VH-FUNDERING_SCHUIMBETON-G;0.18;7;252;7;7;254;CONTINUOUS;0.35;7;252;7;7;254;CONTINUOUS;0.25;7;252;7;7;254;V-CONTINUOUS-SO;0.25;7;252;7;7;254;CONTINUOUS;;;2499;2492;;
