15  go-zw_sond_wm                           go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Zware sondering - pl waterspmeting
16  go-midzw_sond                           go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Middelzware sondering
17  go-midzw_sond_pl_wm                     go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Middelzware sondering - pl waterspmeting
18  go-ezw_sond                             go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Extra zware sondering
19  go-ezw_sond_pl_wdm                      go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Extra zware sondering - pl wrijving- en dichtheidsmeting
20  go-ezw_sond_pl_whm                      go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Extra zware sondering - pl wrijving- en hellingsmeting
21  go-ezw_sond_pl_wm                       go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Extra zware sondering - pl wrijvingmeting
22  go-ezw_sond_pl_wwm                      go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Extra zware sondering - pl wrijving- en waterspmeting
23  go-ezw_sond_wm                          go-**-sondering               **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Extra zware sondering - pl waterspmeting
24  go-open_peilbuis                        go-**-peilbuis                **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Open peilbuis
25  go-vane_proef                           go-**-boring                  **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Vane proef
26  go-waterspm                             go-**-boring                  **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Waterspanningsmeter
27  go-zakbaak                              go-**-baken                   **-bs-geo_18cont4             **-**-geo_35cont4             22   1    2    1              11   go                            .                                                 .                                                 .                                                 Zakbaak
*Aankleding                                                                                                                                74 
1   auto1_achter                            *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto1_achter
2   auto1_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto1_boven
3   auto1_voor                              *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto1_voor
4   auto1_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto1_zij
5   auto2_achter                            *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto2_achter
6   auto2_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto2_boven
7   auto2_voor                              *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto2_voor
8   auto2_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 auto2_zij
9   boom1_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom1_boven
10  boom1_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom1_zij
11  boom2_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom2_boven
12  boom2_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom2_zij
13  boom3_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom3_boven
14  boom3_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom3_zij
15  boom4_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom4_boven
16  boom4_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boom4_zij
17  boomstronk_zij                          *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 boomstronk_zij
18  busje1_achter                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 busje1_achter
19  busje1_boven                            *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 busje1_boven
20  busje1_voor                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 busje1_voor
21  busje1_zij                              *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 busje1_zij
22  bus_achter                              *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 bus_achter
23  bus_boven                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 bus_boven
24  bus_voor                                *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 bus_voor
25  bus_zij                                 *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 bus_zij
26  fietser_boven                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 fietser_boven
27  fietser_zij                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 fietser_zij
28  fietster_achter                         *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 fietster_achter
29  fietster_voor                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 fietster_voor
30  hekwerkpaal_1-2m                        *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hekwerkpaal_1-2m
31  hekwerkpaal_1-5m                        *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hekwerkpaal_1-5m
32  hekwerkpaal_1m                          *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hekwerkpaal_1m
33  hekwerkpaal_2-5m                        *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hekwerkpaal_2-5m
34  hekwerkpaal_2m                          *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hekwerkpaal_2m
35  hek_gaas_1-2m                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_1-2m
36  hek_gaas_1-5m                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_1-5m
37  hek_gaas_1m                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_1m
38  hek_gaas_2-5m                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_2-5m
39  hek_gaas_2m                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_2m
40  hek_gaas_puntdraad_1-3m                 *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_puntdraad_1-3m
41  hek_gaas_puntdraad_1-5m                 *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_puntdraad_1-5m
42  hek_gaas_puntdraad_1-8m                 *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_puntdraad_1-8m
43  hek_gaas_puntdraad_2-3m                 *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_puntdraad_2-3m
44  hek_gaas_puntdraad_2-8m                 *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 hek_gaas_puntdraad_2-8m
45  leunhek_1m                              *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 leunhek_1m
46  motor_achter                            *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 motor_achter
47  motor_boven                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 motor_boven
48  motor_voor                              *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 motor_voor
49  motor_zij                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 motor_zij
50  plantsoenhek_0-4m                       *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 plantsoenhek_0-4m
51  praatpaal_zij                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 praatpaal_zij
52  spijlenhek_1-2m                         *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 spijlenhek_1-2m
53  spijlenhek_1-5m                         *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 spijlenhek_1-5m
54  spijlenhek_1m                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 spijlenhek_1m
55  spijlenhek_2-5m                         *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 spijlenhek_2-5m
56  spijlenhek_2m                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 spijlenhek_2m
57  struik1_zij                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 struik1_zij
58  struik2_zij                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 struik2_zij
59  tractor_achter                          *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 tractor_achter
60  tractor_boven                           *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 tractor_boven
61  tractor_voor                            *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 tractor_voor
62  tractor_zij                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 tractor_zij
63  tram_voor                               *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 tram_voor
64  trein1_voor                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 trein1_voor
65  trein2_voor                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 trein2_voor
66  trein3_voor                             *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 trein3_voor
67  vrachtauto_aanhang_boven_17-5m          *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_aanhang_boven_17-5m
68  vrachtauto_aanhang_zij_17-5m            *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_aanhang_zij_17-5m
69  vrachtauto_achter                       *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_achter
70  vrachtauto_boven_18-5m                  *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_boven_18-5m
71  vrachtauto_boven_9-5m                   *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_boven_9-5m
72  vrachtauto_voor                         *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_voor
73  vrachtauto_zij_18-5m                    *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_zij_18-5m
74  vrachtauto_zij_9-5m                     *                             *                             *                             22   2    1    1              11   aankl                         .                                                 .                                                 .                                                 vrachtauto_zij_9-5m

einde
