;;; File   : RTW_HATCH1.dat
;;; Functie: Tabel met alle RTW hatch

Posities:
POS_AANTHATCH      145
POS_HATCHNAAM      5
POS_HATCHLAYER     45
POS_HATCHLAYER1    75
POS_SCALE          105
POS_ROT            125
POS_INFO           145


    5                                       45                            75                            105                 125                 145
    vd-betonverharding                      vh-**-**                      *                             12.7                0                   betonverharding
    vd-gietasfalt                           vh-**-**                      *                             1000                0                   gietasfalt

*Materialen in doorsnede                                                                                                                        24 
    md-metselwerk                           *                             *                             1                   0                   metselwerk
    md-natuursteen                          *                             *                             1                   0                   natuursteen
    md-ongewapendbeton                      bv-**-**                      *                             1                   0                   ongewapend beton
    md-gewapendbeton                        bv-**-**                      *                             1                   0                   gewapend beton
    solid-md-gewapendbeton                  bv-**-**                      *                             1                   0                   gewapend beton (solid)
    md-voorgespannenbeton                   bv-**-**                      *                             1                   0                   voorgespannen beton
    md-prefabbeton                          bv-**-**                      *                             1                   0                   prefab beton
    md-voorgesp-prefabbeton                 bv-**-**                      *                             1                   0                   voorgespannen prefab beton
    md-werkvloerbeton                       bv-**-**                      *                             1                   0                   werkvloer beton
    md-ballastbeton                         bv-**-**                      *                             1                   0                   ballastbeton
    md-onderwaterbeton                      bv-**-**                      *                             1                   0                   onderwaterbeton
    md-betondetail                          bv-**-**                      *                             1                   0                   beton (detailtekeningen)
    md-betondetail1                         bv-**-**                      *                             1                   0                   beton (detailtekeningen puntjesraster)
    md-hout                                 *                             *                             1                   0                   hout
    md-staal                                *                             *                             1                   0                   staal (voor schaal 1:5 - 1:1solid zwart )
    md-steenwolplaten                       *                             *                             1                   0                   steenwolplaten
    md-carifalt                             *                             *                             1                   0                   carifalt
    md-asfaltbeton_verh                     *                             *                             1                   0                   asfaltbeton (verharding)
    md-asfaltbeton_overig                   *                             *                             1                   0                   asfaltbeton (overige toepassingen)
    md-rubber                               *                             *                             1                   0                   rubber
    md-kunsthars                            *                             *                             1                   0                   kunsthars
    md-materiaal-on-acht                    *                             *                             1                   0                   materiaal tbv onder- en achtervulling
    md-stortsteen                           *                             *                             1                   0                   stortsteen
    md-hittewerende-bek                     *                             *                             1                   0                   hittewerende bekleding

*Eigendom, beheer en onderhoud                                                                                                                  20 
    eb-e_min_venw                           ga-**-**                      *                             5000                0                   Verkeer & Waterstaat(E)
    eb-e_dienst_domeinen                    ga-**-**                      *                             1000                0                   DienstDomeinen(E)
    eb-e_defensie                           ga-**-**                      *                             2000                0                   Defensie(E)
    eb-e_financien                          ga-**-**                      *                             2000                0                   Financiën(E)
    eb-e_landbouw                           ga-**-**                      *                             2000                0                   Landbouw(E)
    eb-e_vrom                               ga-**-**                      *                             1000                0                   VROM(E)
    eb-e_ns                                 ga-**-**                      *                             1000                0                   NS(E)
    eb-e_prov                               ga-**-**                      *                             1000                0                   provincie(E)
    eb-e_waterschap                         ga-**-**                      *                             2000                0                   waterschap(E)
    eb-e_gemeente                           ga-**-**                      *                             2000                0                   gemeente(E)
    eb-b_o_rijk                             ga-**-**                      *                             2000                0                   rijk(BO)
    eb-b_e_rijk_o_gemeente                  ga-**-**                      *                             1000                0                   rijk(EB)gemeente(O)
    eb-b_o_e_provincie                      ga-**-**                      *                             1000                0                   provincie(EBO)
    eb-b_o_prov_e_rijk                      ga-**-**                      *                             1000                0                   provincie(BO)rijk(E)
    eb-b_o_e_waterschap                     ga-**-**                      *                             1000                0                   waterschap(EBO)
    eb-b_o_waterschap_e_rijk                ga-**-**                      *                             1000                0                   waterschap(BO)rijk(E)
    eb-b_waterschap_o_e_rijk                ga-**-**                      *                             1000                0                   waterschap(B)rijk(EO)
    eb-b_o_e_gemeente                       ga-**-**                      *                             1000                0                   gemeente(EBO)
    eb-b_e_gemeente_o_rijk                  ga-**-**                      *                             1000                0                   gemeente(EB)rijk(O)
    eb-kunstwerk_b_o_e_rijk                 ga-**-**                      *                             1000                0                   kunstwerk rijk(EBO)

*Beplanting                                                                                                                                     4 
    bp-gras                                 bp-**-**                      *                             500                 0                   gras
    bp-bomen                                bp-**-**                      *                             1000                0                   bomen
    bp-struiken                             bp-**-**                      *                             1000                0                   struiken
    bp-begroeiingverwijderen                bp-**-**                      *                             10                  0                   begroeiing verwijderen

*Overige in Situatie                                                                                                                            2 
    os-slopenopstallen                      og-**-**                      *                             1000                0                   slopen opstallen
    os-dempenwatergang                      gw-**-**                      *                             500                 0                   dempen watergang

*Algemeen mechanisch                                                                                                                            5 
    mc-streep                               mv-**-**                      *                             1                   0                   algemene arcering
    mc-streep                               mv-**-**                      *                             2                   0                   algemene arcering 2 mm
    mc-streep                               mv-**-**                      *                             5                   0                   algemene arcering 5 mm
    mc-streep                               mv-**-**                      *                             10                  0                   algemene arcering 10 mm
    mc-streep                               mv-**-**                      *                             20                  0                   algemene arcering 20 mm

*Algemeen staal                                                                                                                                 5 
    sc-streep                               sv-**-**                      *                             1                   0                   algemene arcering
    sc-streep                               sv-**-**                      *                             2                   0                   algemene arcering 2 mm
    sc-streep                               sv-**-**                      *                             5                   0                   algemene arcering 5 mm
    sc-streep                               sv-**-**                      *                             10                  0                   algemene arcering 10 mm
    sc-streep                               sv-**-**                      *                             20                  0                   algemene arcering 20 mm

*Algemeen                                                                                                                                       10 
    am-streep                               *                             *                             1                   0                   algemene arcering streep
    am-streep                               *                             *                             2                   0                   algemene arcering streep 2 mm
    am-streep                               *                             *                             5                   0                   algemene arcering streep 5 mm
    am-streep                               *                             *                             10                  0                   algemene arcering streep 10 mm
    am-streep                               *                             *                             20                  0                   algemene arcering streep 20 mm
    am-rooster                              *                             *                             1                   0                   algemene rooster
    am-rooster                              *                             *                             2                   0                   algemene rooster 2 mm
    am-rooster                              *                             *                             5                   0                   algemene rooster 5 mm
    am-rooster                              *                             *                             10                  0                   algemene rooster 10 mm
